,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K00775,ENSGT00530000062975,QHGIAVM,TF335356,NA,NOG40915,HOG000273888,HBG004464,NA,Q96L15
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96L15,NAR5_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q96L15,NAR5_HUMAN,8.0,1,1,1,1,,1,1,1,,1
P70352,NAR5_MOUSE,8.0,1,1,1,1,,1,1,1,,1
P70352,NAR5_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q5XHY4,NAR5_RAT,6.0,1,1,1,,,1,1,,,1
O35975,NAR2B_MOUSE,5.0,1,1,,1,,,1,1,,
P20974,NAR2B_RAT,4.0,1,1,,1,,,,1,,
F6ZMF8,F6ZMF8_MACMU,4.0,1,1,1,1,,,,,,
Q9CRA0,NAR4_MOUSE,4.0,,1,,1,,,1,1,,
A7E328,A7E328_BOVIN,4.0,1,,,,,1,1,1,,
F7C7K8,F7C7K8_HORSE,4.0,1,1,1,1,,,,,,
Q60935,NAR1_MOUSE,4.0,,1,,1,,,1,1,,
H2R3K6,H2R3K6_PANTR,4.0,1,1,1,1,,,,,,
G3W093,G3W093_SARHA,4.0,1,1,1,1,,,,,,
F7A3I9,F7A3I9_MONDO,4.0,1,1,1,1,,,,,,
P52961,NAR1_HUMAN,4.0,,1,,1,,,1,1,,
E2QWH3,E2QWH3_CANFA,4.0,1,1,1,1,,,,,,
G3TAK2,G3TAK2_LOXAF,3.0,,1,1,1,,,,,,
Q8R2G4,NAR3_MOUSE,3.0,1,1,,1,,,,,,
P17981,NAR2A_MOUSE,3.0,1,,,,,,1,1,,
P55807,NRT2_CHICK,3.0,,,,1,,,1,1,,
K7GDG8,K7GDG8_PELSI,3.0,,1,1,1,,,,,,
G1LWS0,G1LWS0_AILME,3.0,,1,1,1,,,,,,
G1PN51,G1PN51_MYOLU,3.0,,1,1,1,,,,,,
Q95KR4,Q95KR4_PIG,3.0,,,,,,1,1,1,,
Q93070,NAR4_HUMAN,3.0,,,,1,,,1,1,,
H0UTD7,H0UTD7_CAVPO,3.0,,1,1,1,,,,,,
G1R9D9,G1R9D9_NOMLE,3.0,1,1,,1,,,,,,
G3SFL6,G3SFL6_GORGO,3.0,1,1,,1,,,,,,
E1BI74,E1BI74_BOVIN,3.0,,1,1,1,,,,,,
Q6AYJ9,Q6AYJ9_RAT,3.0,1,1,,1,,,,,,
G3R4G3,G3R4G3_GORGO,3.0,,1,1,1,,,,,,
Q0VC22,NAR5_BOVIN,3.0,1,,,,,1,1,,,
Q13508,NAR3_HUMAN,3.0,1,1,,1,,,,,,
F1SUY8,F1SUY8_PIG,3.0,,1,1,1,,,,,,
Q5M8F6,Q5M8F6_XENTR,3.0,,1,,1,,,1,,,
E2QSG3,E2QSG3_CANFA,3.0,1,1,,1,,,,,,
F1RYU5,F1RYU5_PIG,3.0,1,1,,1,,,,,,
F1MHV9,F1MHV9_BOVIN,3.0,1,1,,1,,,,,,
F1MUE3,F1MUE3_BOVIN,3.0,1,1,,1,,,,,,
F6VNP7,F6VNP7_CALJA,3.0,,1,1,1,,,,,,
F6RZQ4,F6RZQ4_MONDO,3.0,1,1,,1,,,,,,
K7F397,K7F397_PELSI,3.0,1,1,,1,,,,,,
H2NEI7,H2NEI7_PONAB,3.0,,1,1,1,,,,,,
H3A5Y5,H3A5Y5_LATCH,2.0,,1,,1,,,,,,
