,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K03849,ENSGT00550000074967,WKLKYPF,TF315002,NA,NOG277067,HOG000168174,HBG024332,NA,Q9BVK2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BVK2,ALG8_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9BVK2,ALG8_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q6P8H8,ALG8_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q566T2,Q566T2_DANRE,7.0,1,1,1,1,,1,1,1,,
P40351,ALG8_YEAST,6.0,1,1,1,,,1,1,,,1
Q10479,ALG8_SCHPO,5.0,1,,1,,,1,1,,,1
O80505,ALG8_ARATH,5.0,1,,1,,,1,1,,,1
Q497D1,Q497D1_RAT,5.0,1,,,,,1,1,1,,1
A7RNB8,A7RNB8_NEMVE,5.0,1,,1,,,1,1,,,1
D2H3T6,D2H3T6_AILME,5.0,1,1,1,1,,,1,,,
F1STY3,F1STY3_PIG,4.0,1,1,1,1,,,,,,
Q6CJR2,ALG8_KLULA,4.0,1,,1,,,1,1,,,
Q7RXP5,ALG8_NEUCR,4.0,1,,,,,1,1,,,1
A7F7T1,A7F7T1_SCLS1,4.0,1,,1,,,1,,,,1
C3XX45,C3XX45_BRAFL,4.0,1,,1,,,1,,,,1
Q5AWM9,ALG8_EMENI,4.0,1,,1,,,1,1,,,
B8C862,B8C862_THAPS,4.0,1,,,,,1,1,,,1
A4IHH8,A4IHH8_XENTR,4.0,1,,,,,1,1,1,,
B3RIR0,B3RIR0_TRIAD,4.0,1,,1,,,1,1,,,
B0W3F5,B0W3F5_CULQU,4.0,1,,1,,,1,1,,,
Q2UB20,ALG8_ASPOR,4.0,1,,1,,,1,1,,,
Q17GG0,Q17GG0_AEDAE,4.0,1,,1,,,1,1,,,
Q9W3V8,ALG8_DROME,4.0,1,1,,,,1,,,,1
Q7Q2B4,Q7Q2B4_ANOGA,4.0,1,,,,,1,1,,,1
Q0P5D9,ALG8_BOVIN,4.0,1,,,,,1,1,1,,
E2RM31,E2RM31_CANFA,4.0,1,1,1,1,,,,,,
H2NES4,H2NES4_PONAB,4.0,1,1,1,1,,,,,,
F6WKY0,F6WKY0_MONDO,4.0,1,1,1,1,,,,,,
F7FEU8,F7FEU8_CALJA,4.0,1,1,1,1,,,,,,
G1T0Z3,G1T0Z3_RABIT,4.0,1,1,1,1,,,,,,
C5Y0U4,C5Y0U4_SORBI,4.0,1,,1,,,1,1,,,
M3ZXK5,M3ZXK5_XIPMA,3.0,1,1,1,,,,,,,
B4MJ94,B4MJ94_DROWI,3.0,1,,1,,,1,,,,
F1NPY2,F1NPY2_CHICK,3.0,,1,1,1,,,,,,
B4JLV7,B4JLV7_DROGR,3.0,1,,1,,,1,,,,
