,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11592,ENSGT00510000046789,HSTIVPE,TF330258,EOG78PV82,COG1111,HOG000001567,HBG107811,NA,Q9UPY3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UPY3,DICER_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9UPY3,DICER_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q6TV19,DICER_DANRE,6.0,1,1,,1,1,,1,,,1
Q6TV19,DICER_DANRE,6.0,1,1,,1,1,,1,,,1
F8VQ54,F8VQ54_MOUSE,5.0,1,1,1,1,1,,,,,
P34529,DCR1_CAEEL,5.0,1,1,,,1,1,,,,1
Q9VCU9,DCR1_DROME,5.0,1,1,1,,1,,,,,1
H2R458,H2R458_PANTR,5.0,1,1,1,1,1,,,,,
H2NM60,H2NM60_PONAB,5.0,1,1,1,1,1,,,,,
G1S694,G1S694_NOMLE,5.0,1,1,1,1,1,,,,,
G1KND9,G1KND9_ANOCA,5.0,1,1,1,1,1,,,,,
K7FW15,K7FW15_PELSI,5.0,1,1,1,1,1,,,,,
E9PU15,E9PU15_RAT,5.0,1,1,1,1,1,,,,,
F6SLC3,F6SLC3_MACMU,5.0,1,1,1,1,1,,,,,
E2RIN4,E2RIN4_CANFA,4.0,,1,1,1,1,,,,,
F7BUF1,F7BUF1_HORSE,4.0,,1,1,1,1,,,,,
F1MCQ5,F1MCQ5_BOVIN,4.0,,1,1,1,1,,,,,
F6RSN3,F6RSN3_MONDO,4.0,,1,1,1,1,,,,,
B0W7S3,B0W7S3_CULQU,4.0,1,,1,,1,,1,,,
Q25BN1,DICER_CHICK,4.0,1,,,,,1,1,,,1
Q17KP3,Q17KP3_AEDAE,4.0,1,,1,,1,,1,,,
B4JIF0,B4JIF0_DROGR,4.0,1,,1,,1,1,,,,
F7DMW3,F7DMW3_ORNAN,4.0,1,1,,1,1,,,,,
F6SRY9,F6SRY9_XENTR,4.0,,1,1,1,1,,,,,
I3NGE2,I3NGE2_SPETR,4.0,,1,1,1,1,,,,,
H3CIQ2,H3CIQ2_TETNG,4.0,,1,1,1,1,,,,,
G3QMF9,G3QMF9_GORGO,4.0,1,1,1,1,,,,,,
H2M5U0,H2M5U0_ORYLA,4.0,,1,1,1,1,,,,,
H0X3B0,H0X3B0_OTOGA,4.0,,1,1,1,1,,,,,
G1T047,G1T047_RABIT,4.0,,1,1,1,1,,,,,
F7BYR6,F7BYR6_CALJA,4.0,1,1,1,1,,,,,,
G1P1F4,G1P1F4_MYOLU,4.0,,1,1,1,1,,,,,
G1NKJ0,G1NKJ0_MELGA,4.0,,1,1,1,1,,,,,
H0V2N3,H0V2N3_CAVPO,4.0,,1,1,1,1,,,,,
G3Q9N5,G3Q9N5_GASAC,4.0,,1,1,1,1,,,,,
G1LIU4,G1LIU4_AILME,4.0,,1,1,1,1,,,,,
H0ZQZ5,H0ZQZ5_TAEGU,4.0,,1,1,1,1,,,,,
Q9BYX4,IFIH1_HUMAN,3.0,,1,,1,,1,,,,
