,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063979,LAQNLIC,TF335133,EOG73JKW1,NOG41229,HOG000060187,HBG080389,NA,Q6ZR62
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6ZR62,ZCH16_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3URY0,ZCH16_MOUSE,7.0,,1,,1,1,1,1,1,,1
Q3URY0,ZCH16_MOUSE,7.0,,1,,1,1,1,1,1,,1
D4A5N6,D4A5N6_RAT,5.0,,1,1,1,1,,,,,1
D4A5N6,D4A5N6_RAT,5.0,,1,1,1,1,,,,,1
F6YLG0,F6YLG0_HORSE,4.0,,1,1,1,1,,,,,
F7E8I3,F7E8I3_MACMU,4.0,,1,1,1,1,,,,,
G1MMT1,G1MMT1_AILME,4.0,,1,1,1,1,,,,,
H0W8P8,H0W8P8_CAVPO,4.0,,1,1,1,1,,,,,
E2RKQ4,E2RKQ4_CANFA,4.0,,1,1,1,1,,,,,
I3MFU7,I3MFU7_SPETR,4.0,,1,1,1,1,,,,,
H2PWI5,H2PWI5_PONAB,4.0,,1,1,1,1,,,,,
H2QZ07,H2QZ07_PANTR,4.0,,1,1,1,1,,,,,
M3W5G5,M3W5G5_FELCA,3.0,,1,1,,1,,,,,
M3Z417,M3Z417_MUSPF,3.0,,1,1,,1,,,,,
F6XPX6,F6XPX6_XENTR,3.0,,1,,1,1,,,,,
G1PVP5,G1PVP5_MYOLU,3.0,,1,,1,1,,,,,
G3TRD4,G3TRD4_LOXAF,3.0,,1,,1,1,,,,,
G1SNS2,G1SNS2_RABIT,3.0,,1,,1,1,,,,,
H0XRM8,H0XRM8_OTOGA,3.0,,1,,1,1,,,,,
H9GST3,H9GST3_ANOCA,2.0,,1,,1,,,,,,
G5E5B2,G5E5B2_BOVIN,2.0,,1,,1,,,,,,
G1U3Q5,G1U3Q5_RABIT,2.0,,1,,1,,,,,,
H9GTQ8,H9GTQ8_ANOCA,2.0,,1,,1,,,,,,
H0WAD2,H0WAD2_CAVPO,2.0,,1,,1,,,,,,
E9Q3F7,E9Q3F7_MOUSE,2.0,,1,,1,,,,,,
G1QNH6,G1QNH6_NOMLE,2.0,,1,,1,,,,,,
F7DVU2,F7DVU2_XENTR,2.0,,1,,1,,,,,,
F6ZSH7,F6ZSH7_XENTR,2.0,,1,,1,,,,,,
F6U9Z5,F6U9Z5_HORSE,2.0,,1,,1,,,,,,
H0XSE5,H0XSE5_OTOGA,2.0,,1,,1,,,,,,
F6V223,F6V223_XENTR,2.0,,1,,1,,,,,,
G1U0F1,G1U0F1_RABIT,2.0,,1,,1,,,,,,
G1S0A5,G1S0A5_NOMLE,2.0,,1,,1,,,,,,
H2R3P0,H2R3P0_PANTR,2.0,,1,,1,,,,,,
D3ZH95,D3ZH95_RAT,2.0,,1,,1,,,,,,
F7IMX4,F7IMX4_CALJA,2.0,,1,,1,,,,,,
F6TI78,F6TI78_CALJA,2.0,,1,,1,,,,,,
G1MLV9,G1MLV9_AILME,2.0,,1,,1,,,,,,
G1NXP6,G1NXP6_MYOLU,2.0,,1,,1,,,,,,
G1MGW4,G1MGW4_AILME,2.0,,1,,1,,,,,,
G1KY79,G1KY79_ANOCA,2.0,,1,,,1,,,,,
Q86TG7,PEG10_HUMAN,2.0,,1,,1,,,,,,
Q6P1Y1,Q6P1Y1_MOUSE,2.0,,1,,1,,,,,,
G1KZ79,G1KZ79_ANOCA,2.0,,1,,,1,,,,,
Q8N8U3,ZCHC5_HUMAN,2.0,,1,,1,,,,,,
J9P6Z2,J9P6Z2_CANFA,2.0,,1,,1,,,,,,
I3N8R5,I3N8R5_SPETR,2.0,,1,,1,,,,,,
H9KY63,H9KY63_CALJA,2.0,,1,,1,,,,,,
G3RB02,G3RB02_GORGO,2.0,,1,,1,,,,,,
I3NHH4,I3NHH4_SPETR,2.0,,1,,1,,,,,,
G1KVJ1,G1KVJ1_ANOCA,1.0,,1,,,,,,,,
G1KWI9,G1KWI9_ANOCA,1.0,,1,,,,,,,,
G1KWC9,G1KWC9_ANOCA,1.0,,1,,,,,,,,
G1KWA1,G1KWA1_ANOCA,1.0,,1,,,,,,,,
G1KW68,G1KW68_ANOCA,1.0,,1,,,,,,,,
G1KW66,G1KW66_ANOCA,1.0,,1,,,,,,,,
G1KV45,G1KV45_ANOCA,1.0,,1,,,,,,,,
G1KW49,G1KW49_ANOCA,1.0,,1,,,,,,,,
G1KVZ4,G1KVZ4_ANOCA,1.0,,1,,,,,,,,
G1KVX9,G1KVX9_ANOCA,1.0,,1,,,,,,,,
G1KVF6,G1KVF6_ANOCA,1.0,,1,,,,,,,,
G1KVR4,G1KVR4_ANOCA,1.0,,1,,,,,,,,
G1KVN5,G1KVN5_ANOCA,1.0,,1,,,,,,,,
G1KVL6,G1KVL6_ANOCA,1.0,,1,,,,,,,,
G1KUZ6,G1KUZ6_ANOCA,1.0,,1,,,,,,,,
G1KVI6,G1KVI6_ANOCA,1.0,,1,,,,,,,,
G1KVV9,G1KVV9_ANOCA,1.0,,1,,,,,,,,
W5PJI5,W5PJI5_SHEEP,1.0,,1,,,,,,,,
G1KUX3,G1KUX3_ANOCA,1.0,,1,,,,,,,,
A0A096MAR9,A0A096MAR9_POEFO,1.0,,1,,,,,,,,
A0A087WX23,A0A087WX23_HUMAN,1.0,,1,,,,,,,,
A0A087WXK2,A0A087WXK2_HUMAN,1.0,,1,,,,,,,,
A0A087WYS2,A0A087WYS2_HUMAN,1.0,,1,,,,,,,,
A0A087WZG9,A0A087WZG9_HUMAN,1.0,,1,,,,,,,,
A0A096LQ27,A0A096LQ27_POEFO,1.0,,1,,,,,,,,
A0A096LQ93,A0A096LQ93_POEFO,1.0,,1,,,,,,,,
A0A096LQI3,A0A096LQI3_POEFO,1.0,,1,,,,,,,,
A0A096LQL2,A0A096LQL2_POEFO,1.0,,1,,,,,,,,
A0A096LTK7,A0A096LTK7_POEFO,1.0,,1,,,,,,,,
A0A096LUT6,A0A096LUT6_POEFO,1.0,,1,,,,,,,,
A0A096LWZ1,A0A096LWZ1_POEFO,1.0,,1,,,,,,,,
A0A096M8S7,A0A096M8S7_POEFO,1.0,,1,,,,,,,,
