,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063385,KKWPLMR,TF332339,EOG783MX4,NOG39210,HOG000035134,HBG055552,NA,Q8IUW5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B0BNL7,B0BNL7_RAT,8.0,,1,1,1,1,1,1,1,,1
B0BNL7,B0BNL7_RAT,8.0,,1,1,1,1,1,1,1,,1
Q8IUW5,RELL1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8IUW5,RELL1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8K2J7,RELL1_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q8K2J7,RELL1_MOUSE,7.0,,1,1,1,1,1,,1,,1
Q08DP3,RELL1_BOVIN,7.0,,1,1,1,1,1,1,1,,
A9JSN6,A9JSN6_XENTR,7.0,,1,1,1,1,1,1,1,,
Q5F3A4,RELL1_CHICK,5.0,,1,,,,1,1,1,,1
H0ZFQ4,H0ZFQ4_TAEGU,4.0,,1,1,1,1,,,,,
G1LXP4,G1LXP4_AILME,4.0,,1,1,1,1,,,,,
G1NIE9,G1NIE9_MELGA,4.0,,1,1,1,1,,,,,
H2RA90,H2RA90_PANTR,4.0,,1,1,1,1,,,,,
G1SJN8,G1SJN8_RABIT,4.0,,1,1,1,1,,,,,
K7G929,K7G929_PELSI,4.0,,1,1,1,1,,,,,
I3LYG7,I3LYG7_SPETR,4.0,,1,1,1,1,,,,,
G3RG41,G3RG41_GORGO,4.0,,1,1,1,1,,,,,
H3CP16,H3CP16_TETNG,4.0,,1,1,1,1,,,,,
E2QUZ0,E2QUZ0_CANFA,4.0,,1,1,1,1,,,,,
G3VB66,G3VB66_SARHA,4.0,,1,1,1,1,,,,,
H2UJZ1,H2UJZ1_TAKRU,4.0,,1,1,1,1,,,,,
H0WJ04,H0WJ04_OTOGA,4.0,,1,1,1,1,,,,,
G1S573,G1S573_NOMLE,4.0,,1,1,1,1,,,,,
G1PZR4,G1PZR4_MYOLU,4.0,,1,1,1,1,,,,,
F1S4K9,F1S4K9_PIG,4.0,,1,1,1,1,,,,,
F7ENJ0,F7ENJ0_MONDO,4.0,,1,1,1,1,,,,,
F7FUT1,F7FUT1_CALJA,4.0,,1,1,1,1,,,,,
F6V8T3,F6V8T3_HORSE,4.0,,1,1,1,1,,,,,
F6W385,F6W385_MACMU,4.0,,1,1,1,1,,,,,
H2LRL7,H2LRL7_ORYLA,3.0,,1,1,1,,,,,,
M3Y3G0,M3Y3G0_MUSPF,3.0,,1,1,,1,,,,,
H9GC73,H9GC73_ANOCA,3.0,,1,,1,1,,,,,
G3Q6K8,G3Q6K8_GASAC,3.0,,1,,1,1,,,,,
I3JRZ4,I3JRZ4_ORENI,3.0,,,1,1,1,,,,,
G3TGP2,G3TGP2_LOXAF,3.0,,1,,1,1,,,,,
M3VTZ2,M3VTZ2_FELCA,3.0,,1,1,,1,,,,,
F6SID9,F6SID9_ORNAN,3.0,,1,,1,1,,,,,
H0VFC5,H0VFC5_CAVPO,3.0,,1,,1,1,,,,,
F1QK31,F1QK31_DANRE,3.0,,1,,1,1,,,,,
A4QP38,A4QP38_DANRE,3.0,,,,,,1,1,1,,
G3VZC5,G3VZC5_SARHA,2.0,,1,,1,,,,,,
G3RJT5,G3RJT5_GORGO,2.0,,1,,1,,,,,,
F1SUT4,F1SUT4_PIG,2.0,,1,,1,,,,,,
G3UHW8,G3UHW8_LOXAF,2.0,,1,,1,,,,,,
G3WBW4,G3WBW4_SARHA,2.0,,1,,1,,,,,,
G3U553,G3U553_LOXAF,2.0,,1,,1,,,,,,
H0VQN3,H0VQN3_CAVPO,2.0,,1,,1,,,,,,
F6RLV8,F6RLV8_CALJA,2.0,,1,,1,,,,,,
H0W6Q0,H0W6Q0_CAVPO,2.0,,1,,1,,,,,,
H0WGT2,H0WGT2_OTOGA,2.0,,1,,1,,,,,,
H0WH39,H0WH39_OTOGA,2.0,,1,,1,,,,,,
F1Q830,F1Q830_DANRE,2.0,,1,,1,,,,,,
F7G897,F7G897_MONDO,2.0,,1,,1,,,,,,
F1PVM5,F1PVM5_CANFA,2.0,,1,,1,,,,,,
G3R437,G3R437_GORGO,2.0,,1,,1,,,,,,
F7I7U0,F7I7U0_CALJA,2.0,,1,,1,,,,,,
F1LVW5,F1LVW5_RAT,2.0,,1,,1,,,,,,
F7DFM6,F7DFM6_MACMU,2.0,,1,,1,,,,,,
G1MFZ1,G1MFZ1_AILME,2.0,,1,,1,,,,,,
F7CKG0,F7CKG0_HORSE,2.0,,1,,1,,,,,,
G1PLG3,G1PLG3_MYOLU,2.0,,1,,1,,,,,,
F1N3F7,F1N3F7_BOVIN,2.0,,1,,1,,,,,,
F7CFS4,F7CFS4_HORSE,2.0,,1,,1,,,,,,
G1Q7Z2,G1Q7Z2_MYOLU,2.0,,1,,1,,,,,,
G1RES6,G1RES6_NOMLE,2.0,,1,,1,,,,,,
F7BLC2,F7BLC2_MONDO,2.0,,1,,1,,,,,,
G1S5K0,G1S5K0_NOMLE,2.0,,1,,1,,,,,,
G1TSH0,G1TSH0_RABIT,2.0,,1,,1,,,,,,
G1TVJ2,G1TVJ2_RABIT,2.0,,1,,1,,,,,,
G3NZV4,G3NZV4_GASAC,2.0,,1,,1,,,,,,
F6V688,F6V688_MACMU,2.0,,1,,1,,,,,,
W5PJ17,W5PJ17_SHEEP,2.0,,1,1,,,,,,,
Q08CR3,Q08CR3_DANRE,2.0,,,,,,,1,1,,
Q6DIW4,Q6DIW4_XENTR,2.0,,1,,1,,,,,,
K7G7A7,K7G7A7_PELSI,2.0,,1,,1,,,,,,
M4ALI7,M4ALI7_XIPMA,2.0,,1,,,1,,,,,
Q1JQ03,Q1JQ03_DANRE,2.0,,,,,,,1,1,,
Q1RLT5,Q1RLT5_DANRE,2.0,,1,,1,,,,,,
Q2KI80,RELL2_BOVIN,2.0,,1,,1,,,,,,
D2GUM0,D2GUM0_AILME,2.0,,1,,1,,,,,,
Q5FVJ4,RELL2_RAT,2.0,,1,,1,,,,,,
Q8BRJ3,RELL2_MOUSE,2.0,,1,,1,,,,,,
I3MN14,I3MN14_SPETR,2.0,,1,,1,,,,,,
Q8BX43,TR19L_MOUSE,2.0,,1,,1,,,,,,
Q8NC24,RELL2_HUMAN,2.0,,1,,1,,,,,,
Q969Z4,TR19L_HUMAN,2.0,,1,,1,,,,,,
R0L1T1,R0L1T1_ANAPL,2.0,,1,1,,,,,,,
U3K3Z3,U3K3Z3_FICAL,2.0,,1,1,,,,,,,
W5LFX6,W5LFX6_ASTMX,2.0,,1,1,,,,,,,
W5MTS3,W5MTS3_LEPOC,2.0,,1,1,,,,,,,
I3MR67,I3MR67_SPETR,2.0,,1,,1,,,,,,
F1RMS4,F1RMS4_PIG,2.0,,1,,1,,,,,,
D6RBN9,D6RBN9_HUMAN,2.0,,1,,,,,1,,,
E2R240,E2R240_CANFA,2.0,,1,,1,,,,,,
H2LRL6,H2LRL6_ORYLA,2.0,,1,,,1,,,,,
H2M3B6,H2M3B6_ORYLA,2.0,,1,,1,,,,,,
H2NEL3,H2NEL3_PONAB,2.0,,1,,1,,,,,,
H2PGW4,H2PGW4_PONAB,2.0,,1,,1,,,,,,
H2Q4D4,H2Q4D4_PANTR,2.0,,1,,1,,,,,,
H2QRN7,H2QRN7_PANTR,2.0,,1,,1,,,,,,
H3AXV4,H3AXV4_LATCH,2.0,,1,,1,,,,,,
H2SS04,H2SS04_TAKRU,2.0,,1,,1,,,,,,
H3CY58,H3CY58_TETNG,2.0,,1,,1,,,,,,
E9Q812,E9Q812_MOUSE,1.0,,1,,,,,,,,
A0A096NRL1,A0A096NRL1_PAPAN,1.0,,1,,,,,,,,
A0A087XTI0,A0A087XTI0_POEFO,1.0,,1,,,,,,,,
A0A096LTS6,A0A096LTS6_POEFO,1.0,,1,,,,,,,,
F1Q831,F1Q831_DANRE,1.0,,1,,,,,,,,
A0A096MC30,A0A096MC30_POEFO,1.0,,1,,,,,,,,
E1C3V8,E1C3V8_CHICK,1.0,,1,,,,,,,,
A0A096MCV5,A0A096MCV5_POEFO,1.0,,1,,,,,,,,
A0A096MJ67,A0A096MJ67_RAT,1.0,,1,,,,,,,,
