,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063675,MPGIEDS,TF331127,NA,NOG38868,HOG000111308,HBG057061,NA,Q6P4E1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6P2L7,CASC4_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q6P2L7,CASC4_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q6P4E1,CASC4_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q6P4E1,CASC4_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q5ZKQ5,CASC4_CHICK,4.0,,,,,,1,1,1,,1
A2VE10,CASC4_BOVIN,4.0,,1,,1,,,1,1,,
H3AQ04,H3AQ04_LATCH,3.0,,1,1,1,,,,,,
H2Q9B8,H2Q9B8_PANTR,3.0,,1,1,1,,,,,,
E7FBP9,E7FBP9_DANRE,3.0,,1,1,1,,,,,,
F6THQ4,F6THQ4_XENTR,3.0,,1,1,1,,,,,,
F6W8V0,F6W8V0_HORSE,3.0,,1,1,1,,,,,,
H3CVI3,H3CVI3_TETNG,3.0,,1,1,1,,,,,,
F6W989,F6W989_CALJA,3.0,,1,1,1,,,,,,
H2NN32,H2NN32_PONAB,3.0,,1,1,1,,,,,,
E2QWT1,E2QWT1_CANFA,3.0,,1,1,1,,,,,,
H2LPE3,H2LPE3_ORYLA,3.0,,1,1,1,,,,,,
H0ZI19,H0ZI19_TAEGU,3.0,,1,1,1,,,,,,
H0WL23,H0WL23_OTOGA,3.0,,1,1,1,,,,,,
G3WUK8,G3WUK8_SARHA,3.0,,1,1,1,,,,,,
G3SN25,G3SN25_LOXAF,3.0,,1,1,1,,,,,,
F7FHF4,F7FHF4_MONDO,3.0,,1,1,1,,,,,,
G3PSE5,G3PSE5_GASAC,3.0,,1,1,1,,,,,,
G1PDU8,G1PDU8_MYOLU,3.0,,1,1,1,,,,,,
G1M9E5,G1M9E5_AILME,3.0,,1,1,1,,,,,,
K7FMT5,K7FMT5_PELSI,3.0,,1,1,1,,,,,,
F7H3W8,F7H3W8_MACMU,3.0,,1,1,1,,,,,,
D3ZW58,D3ZW58_RAT,3.0,,1,1,1,,,,,,
A2AR60,A2AR60_MOUSE,3.0,,1,,,,,1,1,,
D4AEL2,D4AEL2_RAT,2.0,,1,,1,,,,,,
W5LIW8,W5LIW8_ASTMX,2.0,,1,1,,,,,,,
M3ZZJ5,M3ZZJ5_XIPMA,2.0,,1,1,,,,,,,
U3JQV5,U3JQV5_FICAL,2.0,,1,1,,,,,,,
H0YXU7,H0YXU7_TAEGU,2.0,,1,,1,,,,,,
F7ATS5,F7ATS5_HORSE,2.0,,1,,1,,,,,,
F7AZE6,F7AZE6_XENTR,2.0,,1,,1,,,,,,
H0WMS3,H0WMS3_OTOGA,2.0,,1,,1,,,,,,
W5P089,W5P089_SHEEP,2.0,,1,1,,,,,,,
H0V1S6,H0V1S6_CAVPO,2.0,,1,,1,,,,,,
F7ELM3,F7ELM3_MONDO,2.0,,1,,1,,,,,,
G3W1F4,G3W1F4_SARHA,2.0,,1,,1,,,,,,
F7FEM7,F7FEM7_CALJA,2.0,,1,,1,,,,,,
G3T950,G3T950_LOXAF,2.0,,1,,1,,,,,,
G3SJU1,G3SJU1_GORGO,2.0,,1,,1,,,,,,
U3IJL7,U3IJL7_ANAPL,2.0,,1,1,,,,,,,
G3SFZ6,G3SFZ6_GORGO,2.0,,1,,1,,,,,,
G3R9T4,G3R9T4_GORGO,2.0,,1,,1,,,,,,
G3NXW2,G3NXW2_GASAC,2.0,,1,,1,,,,,,
G1SNS3,G1SNS3_RABIT,2.0,,1,,1,,,,,,
G1SGL2,G1SGL2_RABIT,2.0,,1,,1,,,,,,
G1R0H6,G1R0H6_NOMLE,2.0,,1,,1,,,,,,
G1QUE7,G1QUE7_NOMLE,2.0,,1,,1,,,,,,
W5N8J9,W5N8J9_LEPOC,2.0,,1,1,,,,,,,
G1P668,G1P668_MYOLU,2.0,,1,,1,,,,,,
G1NCY4,G1NCY4_MELGA,2.0,,1,,1,,,,,,
G1LBT0,G1LBT0_AILME,2.0,,1,,1,,,,,,
F7FX41,F7FX41_MACMU,2.0,,1,,1,,,,,,
