,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10630,ENSGT00530000063620,TQDIRLW,TF323486,NA,NOG249934,NA,HBG061515,NA,Q9BYM8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BYM8,HOIL1_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q9BYM8,HOIL1_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q9WUB0,HOIL1_MOUSE,7.0,1,1,1,1,,1,,1,,1
Q9WUB0,HOIL1_MOUSE,7.0,1,1,1,1,,1,,1,,1
Q1JPC8,Q1JPC8_BOVIN,6.0,1,1,1,1,,1,,1,,
A9JTG5,HOIL1_DANRE,6.0,1,1,,1,,1,,1,,1
G3VSL8,G3VSL8_SARHA,4.0,1,1,1,1,,,,,,
E2RLX1,E2RLX1_CANFA,4.0,1,1,1,1,,,,,,
F6VDA7,F6VDA7_MONDO,4.0,1,1,1,1,,,,,,
Q1RL70,Q1RL70_CIOIN,4.0,1,1,,1,,1,,,,
Q6GMF9,Q6GMF9_DANRE,4.0,1,1,,1,,,,1,,
H2QJS6,H2QJS6_PANTR,4.0,1,1,1,1,,,,,,
F7IDS1,F7IDS1_CALJA,4.0,1,1,1,1,,,,,,
C3YV25,C3YV25_BRAFL,4.0,1,,1,,,1,,,,1
Q62921,HOIL1_RAT,4.0,1,,,,,1,,1,,1
F7CKH7,F7CKH7_MACMU,3.0,,1,1,1,,,,,,
I3MXF3,I3MXF3_SPETR,3.0,,1,1,1,,,,,,
H9GCI4,H9GCI4_ANOCA,3.0,1,1,,1,,,,,,
F7DKI3,F7DKI3_HORSE,3.0,,1,1,1,,,,,,
M3W023,M3W023_FELCA,3.0,1,1,1,,,,,,,
H2TYB2,H2TYB2_TAKRU,3.0,,1,1,1,,,,,,
W5QCS0,W5QCS0_SHEEP,3.0,1,1,1,,,,,,,
H2P1H7,H2P1H7_PONAB,3.0,,1,1,1,,,,,,
H2LNF9,H2LNF9_ORYLA,3.0,,1,1,1,,,,,,
G1M615,G1M615_AILME,3.0,,1,1,1,,,,,,
H0XL81,H0XL81_OTOGA,3.0,,1,1,1,,,,,,
H0V650,H0V650_CAVPO,3.0,,1,1,1,,,,,,
G1PEY6,G1PEY6_MYOLU,3.0,,1,1,1,,,,,,
G1REC3,G1REC3_NOMLE,3.0,,1,1,1,,,,,,
G3TRC8,G3TRC8_LOXAF,3.0,,1,1,1,,,,,,
G3NRQ1,G3NRQ1_GASAC,3.0,,1,1,1,,,,,,
H3DBI0,H3DBI0_TETNG,3.0,,1,1,1,,,,,,
G1STH2,G1STH2_RABIT,3.0,,1,1,1,,,,,,
A7SAP2,A7SAP2_NEMVE,3.0,1,,,,,1,,,,1
B7Q644,B7Q644_IXOSC,3.0,1,,,,,1,,,,1
B7QDK2,B7QDK2_IXOSC,2.0,1,,,,,1,,,,
H2TT84,H2TT84_TAKRU,2.0,,1,,1,,,,,,
F7DI45,F7DI45_MACMU,2.0,,1,,1,,,,,,
H9GDM4,H9GDM4_ANOCA,2.0,,1,,1,,,,,,
B0WCQ8,B0WCQ8_CULQU,2.0,1,,,,,1,,,,
Q5TNH2,Q5TNH2_ANOGA,2.0,1,,,,,1,,,,
H3CRU2,H3CRU2_TETNG,2.0,,1,,1,,,,,,
H3C843,H3C843_TETNG,2.0,,1,,1,,,,,,
H3AS07,H3AS07_LATCH,2.0,,1,,1,,,,,,
H3A7A9,H3A7A9_LATCH,2.0,,1,,1,,,,,,
H2ZD14,H2ZD14_CIOSA,2.0,,1,,1,,,,,,
F7ES70,F7ES70_MONDO,2.0,,1,,1,,,,,,
H2SXC1,H2SXC1_TAKRU,2.0,,1,,1,,,,,,
Q9H0F6,SHRPN_HUMAN,2.0,,1,,1,,,,,,
H2PRF7,H2PRF7_PONAB,2.0,,1,,1,,,,,,
G1LHH3,G1LHH3_AILME,2.0,,1,,1,,,,,,
H2LT45,H2LT45_ORYLA,2.0,,1,,1,,,,,,
G1P7Y4,G1P7Y4_MYOLU,2.0,,1,,1,,,,,,
H0WW90,H0WW90_OTOGA,2.0,,1,,1,,,,,,
H0VNA6,H0VNA6_CAVPO,2.0,,1,,1,,,,,,
G3VUU5,G3VUU5_SARHA,2.0,,1,,1,,,,,,
G3S946,G3S946_GORGO,2.0,,1,,1,,,,,,
G1RHN5,G1RHN5_NOMLE,2.0,,1,,1,,,,,,
