,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000005235,NA,NA,NA,NOG70623,HOG000039973,HBG098015,NA,Q9NW61
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NW61,PKHJ1_HUMAN,5.0,,1,,,,1,1,1,,1
Q9D240,PKHJ1_MOUSE,5.0,,1,,,,1,1,1,,1
B4F791,B4F791_RAT,5.0,,1,,,,1,1,1,,1
Q6P4L6,PKHJ1_XENTR,4.0,,1,,,,1,1,1,,
Q3ZCI3,PKHJ1_BOVIN,4.0,,1,,,,1,1,1,,
Q6P0G8,PKHJ1_DANRE,4.0,,,,,,1,1,1,,1
Q5ZLT5,PKHJ1_CHICK,3.0,,1,,,,,,1,,1
B0S660,B0S660_DANRE,2.0,,1,,,,,,1,,
C3XXW5,C3XXW5_BRAFL,2.0,,,,,,1,,,,1
G1QNR1,G1QNR1_NOMLE,1.0,,1,,,,,,,,
G3PR77,G3PR77_GASAC,1.0,,1,,,,,,,,
G3PR81,G3PR81_GASAC,1.0,,1,,,,,,,,
G3QUQ7,G3QUQ7_GORGO,1.0,,1,,,,,,,,
W5PY13,W5PY13_SHEEP,1.0,,1,,,,,,,,
G1MT46,G1MT46_MELGA,1.0,,1,,,,,,,,
G3U1L1,G3U1L1_LOXAF,1.0,,1,,,,,,,,
G3WDJ9,G3WDJ9_SARHA,1.0,,1,,,,,,,,
H0XFF8,H0XFF8_OTOGA,1.0,,1,,,,,,,,
G1P2D5,G1P2D5_MYOLU,1.0,,1,,,,,,,,
F6R758,F6R758_MACMU,1.0,,1,,,,,,,,
F7G299,F7G299_CALJA,1.0,,1,,,,,,,,
F7DWQ5,F7DWQ5_ORNAN,1.0,,1,,,,,,,,
F7C7W8,F7C7W8_HORSE,1.0,,1,,,,,,,,
F6U739,F6U739_MONDO,1.0,,1,,,,,,,,
H2MKG4,H2MKG4_ORYLA,1.0,,1,,,,,,,,
F1S8I9,F1S8I9_PIG,1.0,,1,,,,,,,,
B7QAK6,B7QAK6_IXOSC,1.0,,,,,,,,,,1
A7S8R7,A7S8R7_NEMVE,1.0,,,,,,,,,,1
A0A0A0MWH6,A0A0A0MWH6_PAPAN,1.0,,1,,,,,,,,
H0YPV7,H0YPV7_TAEGU,1.0,,1,,,,,,,,
H2TDZ6,H2TDZ6_TAKRU,1.0,,1,,,,,,,,
H2NWW5,H2NWW5_PONAB,1.0,,1,,,,,,,,
K7ERW3,K7ERW3_HUMAN,1.0,,1,,,,,,,,
U3KH78,U3KH78_FICAL,1.0,,1,,,,,,,,
U3ITW4,U3ITW4_ANAPL,1.0,,1,,,,,,,,
Q801R7,PKHJ1_XENLA,1.0,,,,,,,,1,,
Q7Q4U8,Q7Q4U8_ANOGA,1.0,,,,,,,,,,1
Q7Q4U8,Q7Q4U8_ANOGA,1.0,,,,,,,,,,1
Q4RV49,Q4RV49_TETNG,1.0,,,,,,1,,,,
M4AY21,M4AY21_XIPMA,1.0,,1,,,,,,,,
M3XG60,M3XG60_FELCA,1.0,,1,,,,,,,,
K7FYC9,K7FYC9_PELSI,1.0,,1,,,,,,,,
K7ERH2,K7ERH2_HUMAN,1.0,,1,,,,,,,,
H2QEV9,H2QEV9_PANTR,1.0,,1,,,,,,,,
K7EIZ3,K7EIZ3_HUMAN,1.0,,1,,,,,,,,
K7EIW9,K7EIW9_HUMAN,1.0,,1,,,,,,,,
J9P4U6,J9P4U6_CANFA,1.0,,1,,,,,,,,
I3MTH2,I3MTH2_SPETR,1.0,,1,,,,,,,,
H9G373,H9G373_ANOCA,1.0,,1,,,,,,,,
H3DCY7,H3DCY7_TETNG,1.0,,1,,,,,,,,
H3AKB1,H3AKB1_LATCH,1.0,,1,,,,,,,,
H2TDZ7,H2TDZ7_TAKRU,1.0,,1,,,,,,,,
W5JZC0,W5JZC0_ASTMX,1.0,,1,,,,,,,,
A0A087YD87,A0A087YD87_POEFO,1.0,,1,,,,,,,,
