,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00720000108822,NGEHSRD,TF315473,EOG7BKCV3,NOG304934,HOG000007159,HBG101388,NA,Q8TDR0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q149C2,MIPT3_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8TDR0,MIPT3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8TDR0,MIPT3_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9VFL0,Q9VFL0_DROME,5.0,,1,1,,1,1,,,,1
B0S7L7,B0S7L7_DANRE,5.0,,1,1,1,1,,,1,,
E1BRS6,E1BRS6_CHICK,5.0,,1,1,1,1,,,,,1
A7RXQ3,A7RXQ3_NEMVE,5.0,,,1,,1,1,1,,,1
H3CU11,H3CU11_TETNG,4.0,,1,1,1,1,,,,,
H0V4X3,H0V4X3_CAVPO,4.0,,1,1,1,1,,,,,
B0WJG0,B0WJG0_CULQU,4.0,,,1,,1,1,1,,,
K7FY95,K7FY95_PELSI,4.0,,1,1,1,1,,,,,
I3MYW8,I3MYW8_SPETR,4.0,,1,1,1,1,,,,,
G1MTQ3,G1MTQ3_MELGA,4.0,,1,1,1,1,,,,,
G1RKL3,G1RKL3_NOMLE,4.0,,1,1,1,1,,,,,
H2R5X7,H2R5X7_PANTR,4.0,,1,1,1,1,,,,,
H2SSE7,H2SSE7_TAKRU,4.0,,1,1,1,1,,,,,
H2MV47,H2MV47_ORYLA,4.0,,1,1,1,1,,,,,
H2P934,H2P934_PONAB,4.0,,1,1,1,1,,,,,
Q17595,Q17595_CAEEL,4.0,,1,1,,1,1,,,,
G3NC32,G3NC32_GASAC,4.0,,1,1,1,1,,,,,
H3AZ77,H3AZ77_LATCH,4.0,,1,1,1,1,,,,,
G3RQ08,G3RQ08_GORGO,4.0,,1,1,1,1,,,,,
H0X5V8,H0X5V8_OTOGA,4.0,,1,1,1,1,,,,,
G3W5Z2,G3W5Z2_SARHA,4.0,,1,1,1,1,,,,,
Q17J13,Q17J13_AEDAE,4.0,,,1,,1,1,1,,,
F1LN20,F1LN20_RAT,4.0,,1,1,1,1,,,,,
F6SZX7,F6SZX7_MACMU,4.0,,1,1,1,1,,,,,
Q6PGZ3,MIPT3_DANRE,4.0,,,,,,1,1,1,,1
