,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000012377,DELFCSR,TF332440,EOG7GQXW2,NOG74316,HOG000111815,HBG081261,NA,Q4W4Y0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4W4Y0,CN028_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q4KL13,CN028_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q2KIN3,CN028_BOVIN,7.0,,1,1,1,1,1,1,1,,
D2I0W5,D2I0W5_AILME,5.0,,1,1,1,1,,1,,,
H0W6W8,H0W6W8_CAVPO,4.0,,1,1,1,1,,,,,
F6UAS5,F6UAS5_MACMU,4.0,,1,1,1,1,,,,,
H0WV75,H0WV75_OTOGA,4.0,,1,1,1,1,,,,,
F1SIN4,F1SIN4_PIG,4.0,,1,1,1,1,,,,,
G3VZR5,G3VZR5_SARHA,4.0,,1,1,1,1,,,,,
F6SZD7,F6SZD7_ORNAN,4.0,,1,1,1,1,,,,,
G3TNS2,G3TNS2_LOXAF,4.0,,1,1,1,1,,,,,
G3S8J3,G3S8J3_GORGO,4.0,,1,1,1,1,,,,,
G1SVR8,G1SVR8_RABIT,4.0,,1,1,1,1,,,,,
G3NTC8,G3NTC8_GASAC,4.0,,1,1,1,1,,,,,
H2NL46,H2NL46_PONAB,4.0,,1,1,1,1,,,,,
G1QW77,G1QW77_NOMLE,4.0,,1,1,1,1,,,,,
G1NSP3,G1NSP3_MYOLU,4.0,,1,1,1,1,,,,,
F7I579,F7I579_CALJA,4.0,,1,1,1,1,,,,,
F7GJY3,F7GJY3_MONDO,4.0,,1,1,1,1,,,,,
H2MRN9,H2MRN9_ORYLA,4.0,,1,1,1,1,,,,,
H2U495,H2U495_TAKRU,4.0,,1,1,1,1,,,,,
H2Q882,H2Q882_PANTR,4.0,,1,1,1,1,,,,,
F7DJ97,F7DJ97_HORSE,4.0,,1,1,1,1,,,,,
H3A4Q1,H3A4Q1_LATCH,4.0,,1,1,1,1,,,,,
H3DJB3,H3DJB3_TETNG,4.0,,1,1,1,1,,,,,
H9GXZ2,H9GXZ2_DANRE,4.0,,1,1,1,1,,,,,
I3MDE8,I3MDE8_SPETR,4.0,,1,1,1,1,,,,,
K7FRZ4,K7FRZ4_PELSI,4.0,,1,1,1,1,,,,,
D4A3H4,D4A3H4_RAT,4.0,,1,1,1,1,,,,,
F7DLM7,F7DLM7_XENTR,4.0,,1,1,1,1,,,,,
E2RS37,E2RS37_CANFA,3.0,,1,1,1,,,,,,
I3K2M4,I3K2M4_ORENI,3.0,,,1,1,1,,,,,
M3VWJ7,M3VWJ7_FELCA,3.0,,1,1,,1,,,,,
M3XZZ0,M3XZZ0_MUSPF,3.0,,1,1,,1,,,,,
M3ZW96,M3ZW96_XIPMA,3.0,,1,1,,1,,,,,
E2QSB8,E2QSB8_CANFA,2.0,,1,,,1,,,,,
W5PGY6,W5PGY6_SHEEP,2.0,,1,1,,,,,,,
W5MZL4,W5MZL4_LEPOC,2.0,,1,1,,,,,,,
Q4RLM2,Q4RLM2_TETNG,2.0,,,,,,1,,1,,
G3NTD2,G3NTD2_GASAC,1.0,,1,,,,,,,,
G3V4G8,G3V4G8_HUMAN,1.0,,1,,,,,,,,
H2U496,H2U496_TAKRU,1.0,,1,,,,,,,,
J9P3S3,J9P3S3_CANFA,1.0,,1,,,,,,,,
Q8N0U0,Q8N0U0_HUMAN,1.0,,,,,,,,1,,
A0A096NUQ9,A0A096NUQ9_PAPAN,1.0,,1,,,,,,,,
A0A087XSD0,A0A087XSD0_POEFO,1.0,,1,,,,,,,,
