,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000111186,AGEDCLW,TF332572,EOG754HQV,NOG40456,HOG000036834,HBG054420,NA,Q96DD7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96DD7,SHSA4_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A0MV40,A0MV40_RAT,8.0,,1,1,1,1,1,1,1,,1
Q8CA71,SHSA4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8CA71,SHSA4_MOUSE,8.0,,1,1,1,1,1,1,1,,1
A5WUR8,A5WUR8_DANRE,7.0,,1,1,1,1,1,1,1,,
Q08CZ7,Q08CZ7_XENTR,5.0,,1,1,1,1,,,1,,
G1ST59,G1ST59_RABIT,4.0,,1,1,1,1,,,,,
H0UUN6,H0UUN6_CAVPO,4.0,,1,1,1,1,,,,,
F6TZ63,F6TZ63_MACMU,4.0,,1,1,1,1,,,,,
H2U6W7,H2U6W7_TAKRU,4.0,,1,1,1,1,,,,,
H2R890,H2R890_PANTR,4.0,,1,1,1,1,,,,,
F6U9J3,F6U9J3_MONDO,4.0,,1,1,1,1,,,,,
H3CNL1,H3CNL1_TETNG,4.0,,1,1,1,1,,,,,
I3MSU9,I3MSU9_SPETR,4.0,,1,1,1,1,,,,,
F6T970,F6T970_HORSE,4.0,,1,1,1,1,,,,,
H0WTL6,H0WTL6_OTOGA,4.0,,1,1,1,1,,,,,
G5E5Y6,G5E5Y6_BOVIN,4.0,,1,1,1,1,,,,,
G3T9N2,G3T9N2_LOXAF,4.0,,1,1,1,1,,,,,
G3WAT8,G3WAT8_SARHA,4.0,,1,1,1,1,,,,,
G1M019,G1M019_AILME,4.0,,1,1,1,1,,,,,
H2N469,H2N469_PONAB,3.0,,1,,1,1,,,,,
G1S8Y2,G1S8Y2_NOMLE,3.0,,1,,1,1,,,,,
G3RZJ9,G3RZJ9_GORGO,3.0,,1,,1,1,,,,,
I3K026,I3K026_ORENI,3.0,,,1,1,1,,,,,
K7FHL9,K7FHL9_PELSI,3.0,,1,1,,1,,,,,
F7G5U5,F7G5U5_ORNAN,3.0,,1,,1,1,,,,,
M3VUS4,M3VUS4_FELCA,3.0,,1,1,,1,,,,,
M3YHJ0,M3YHJ0_MUSPF,3.0,,1,1,,1,,,,,
M3ZUY1,M3ZUY1_XIPMA,3.0,,1,1,,1,,,,,
G1KDF9,G1KDF9_ANOCA,3.0,,1,,1,1,,,,,
F7HUA0,F7HUA0_CALJA,3.0,,1,,1,1,,,,,
H3AYY6,H3AYY6_LATCH,3.0,,1,1,,1,,,,,
G3QV93,G3QV93_GORGO,2.0,,1,1,,,,,,,
G3NSB7,G3NSB7_GASAC,2.0,,1,,,1,,,,,
G3NSC1,G3NSC1_GASAC,2.0,,1,,1,,,,,,
H2LJ51,H2LJ51_ORYLA,2.0,,1,,1,,,,,,
H2LMI3,H2LMI3_ORYLA,2.0,,1,,1,,,,,,
H2LMI2,H2LMI2_ORYLA,2.0,,1,,,1,,,,,
F7HWS8,F7HWS8_CALJA,2.0,,1,1,,,,,,,
