,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000015785,NA,TF338381,EOG776SRN,NOG43982,HOG000112942,HBG107981,NA,Q9NWW0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NWW0,HPIP_HUMAN,7.0,,1,,1,1,1,1,1,,1
Q9CYQ5,HPIP_MOUSE,7.0,,1,,1,1,1,1,1,,1
Q9NWW0,HPIP_HUMAN,7.0,,1,,1,1,1,1,1,,1
Q2M2S6,HPIP_BOVIN,6.0,,1,,1,1,1,1,1,,
H0VCF7,H0VCF7_CAVPO,3.0,,1,,1,1,,,,,
H2QZK2,H2QZK2_PANTR,3.0,,1,,1,1,,,,,
F7DB82,F7DB82_MACMU,3.0,,1,,1,1,,,,,
G1LFW1,G1LFW1_AILME,3.0,,1,,1,1,,,,,
G1NVH9,G1NVH9_MYOLU,3.0,,1,,1,1,,,,,
G1REG3,G1REG3_NOMLE,3.0,,1,,1,1,,,,,
G1TD72,G1TD72_RABIT,3.0,,1,,1,1,,,,,
G3QR18,G3QR18_GORGO,3.0,,1,,1,1,,,,,
G3TTM0,G3TTM0_LOXAF,3.0,,1,,1,1,,,,,
H0WYS8,H0WYS8_OTOGA,3.0,,1,,1,1,,,,,
H2NPX1,H2NPX1_PONAB,3.0,,1,,1,1,,,,,
F6Q9A2,F6Q9A2_HORSE,3.0,,1,,1,1,,,,,
F6QY27,F6QY27_MONDO,3.0,,1,,1,1,,,,,
E2R8M7,E2R8M7_CANFA,3.0,,1,,1,1,,,,,
I3LFV5,I3LFV5_PIG,3.0,,1,,1,1,,,,,
D3ZRN4,D3ZRN4_RAT,3.0,,1,,1,1,,,,,
I3MET6,I3MET6_SPETR,3.0,,1,,1,1,,,,,
B4DES3,B4DES3_HUMAN,2.0,,,,,,,1,1,,
K7ED95,K7ED95_ORNAN,2.0,,1,,,1,,,,,
M3W7F2,M3W7F2_FELCA,2.0,,1,,,1,,,,,
F7FDA6,F7FDA6_CALJA,2.0,,1,,1,,,,,,
Q80V38,HPIP_RAT,2.0,,,,,,1,,1,,
F6W8B5,F6W8B5_CALJA,2.0,,1,,,1,,,,,
D2I6Z6,D2I6Z6_AILME,1.0,,,,,,,1,,,
E2R8M8,E2R8M8_CANFA,1.0,,1,,,,,,,,
W5NRV1,W5NRV1_SHEEP,1.0,,1,,,,,,,,
F6RQY4,F6RQY4_MACMU,1.0,,1,,,,,,,,
I3L174,I3L174_HUMAN,1.0,,1,,,,,,,,
I3L1N5,I3L1N5_HUMAN,1.0,,1,,,,,,,,
I3LLR5,I3LLR5_PIG,1.0,,1,,,,,,,,
J3KNY1,J3KNY1_HUMAN,1.0,,1,,,,,,,,
J3QPD4,J3QPD4_MOUSE,1.0,,1,,,,,,,,
A0A096NL93,A0A096NL93_PAPAN,1.0,,1,,,,,,,,
