,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11214,NA,FQCSVYS,TF315140,NA,COG1070,HOG000008078,HBG050796,NA,Q9UHJ6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UHJ6,SHPK_HUMAN,7.0,1,,1,1,,1,1,1,,1
Q3MID4,Q3MID4_RAT,6.0,1,,1,1,,,1,1,,1
Q1JPE3,Q1JPE3_BOVIN,6.0,1,,1,1,,1,1,1,,
Q9D5J6,SHPK_MOUSE,6.0,1,,1,1,,,1,1,,1
B0R184,B0R184_DANRE,5.0,,,1,1,,1,1,1,,
A7SWA4,A7SWA4_NEMVE,5.0,1,,1,,,1,1,,,1
B3RJK7,B3RJK7_TRIAD,4.0,1,,1,,,1,1,,,
B0BMP8,B0BMP8_XENTR,4.0,1,,,,,1,1,1,,
G1LRJ3,G1LRJ3_AILME,3.0,1,,1,1,,,,,,
F7BK56,F7BK56_CALJA,3.0,1,,1,1,,,,,,
C3YCW8,C3YCW8_BRAFL,3.0,1,,1,,,,,,,1
K7GI24,K7GI24_PELSI,3.0,1,,1,1,,,,,,
B7Q920,B7Q920_IXOSC,3.0,1,,,,,1,,,,1
Q0IH30,Q0IH30_XENLA,2.0,1,,,,,,,1,,
A6V5E5,A6V5E5_PSEA7,2.0,,,,,,1,,,,1
A9UWA0,A9UWA0_MONBE,2.0,1,,,,,,,,,1
A6V5E5,A6V5E5_PSEA7,2.0,,,,,,1,,,,1
A9U710,A9U710_PHYPA,2.0,1,,,,,,,,,1
E0V9X2,E0V9X2_PEDHC,2.0,1,,1,,,,,,,
E1BXJ6,E1BXJ6_CHICK,2.0,,,1,1,,,,,,
F1RLI9,F1RLI9_PIG,2.0,,,1,1,,,,,,
F6UZF3,F6UZF3_XENTR,2.0,,,1,1,,,,,,
F6YCD0,F6YCD0_HORSE,2.0,,,1,1,,,,,,
F7A7G5,F7A7G5_ORNAN,2.0,,,1,1,,,,,,
P39211,XYLB_BACSU,2.0,,,,,,1,,,,1
H3CSZ0,H3CSZ0_TETNG,2.0,,,1,1,,,,,,
P39211,XYLB_BACSU,2.0,,,,,,1,,,,1
M3W8M5,M3W8M5_FELCA,2.0,1,,1,,,,,,,
