,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000015704,PGQVQTF,TF332238,EOG79CZ16,NOG46846,HOG000126892,HBG083664,NA,Q9BVC6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3UBX0,TM109_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9BVC6,TM109_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6AYQ4,TM109_RAT,8.0,,1,1,1,1,1,1,1,,1
Q6AYQ4,TM109_RAT,8.0,,1,1,1,1,1,1,1,,1
Q3UBX0,TM109_MOUSE,8.0,,1,1,1,1,1,1,1,,1
D2I0J9,D2I0J9_AILME,5.0,,1,1,1,1,,1,,,
Q29RH9,Q29RH9_BOVIN,5.0,,1,1,1,1,,,1,,
H2Q3T3,H2Q3T3_PANTR,4.0,,1,1,1,1,,,,,
F7FWL8,F7FWL8_MONDO,4.0,,1,1,1,1,,,,,
F7G7E5,F7G7E5_MACMU,4.0,,1,1,1,1,,,,,
G1RTI5,G1RTI5_NOMLE,4.0,,1,1,1,1,,,,,
G1TA10,G1TA10_RABIT,4.0,,1,1,1,1,,,,,
G3W6Z9,G3W6Z9_SARHA,4.0,,1,1,1,1,,,,,
G3QZZ1,G3QZZ1_GORGO,4.0,,1,1,1,1,,,,,
I3N0Z3,I3N0Z3_SPETR,4.0,,1,1,1,1,,,,,
H2ND94,H2ND94_PONAB,4.0,,1,1,1,1,,,,,
G3T6K5,G3T6K5_LOXAF,4.0,,1,1,1,1,,,,,
F6YCV8,F6YCV8_HORSE,4.0,,1,1,1,1,,,,,
H0WCQ0,H0WCQ0_CAVPO,4.0,,1,1,1,1,,,,,
H0XG28,H0XG28_OTOGA,4.0,,1,1,1,1,,,,,
F1RIA7,F1RIA7_PIG,4.0,,1,1,1,1,,,,,
K7FNV2,K7FNV2_PELSI,4.0,,1,1,1,1,,,,,
J9P616,J9P616_CANFA,4.0,,1,1,1,1,,,,,
M3XFK8,M3XFK8_FELCA,3.0,,1,1,,1,,,,,
H0Z7G5,H0Z7G5_TAEGU,3.0,,1,1,,1,,,,,
A7E3R8,A7E3R8_BOVIN,3.0,,,,,,1,1,1,,
O77751,TM109_RABIT,3.0,,,,,,1,1,1,,
M3YSK8,M3YSK8_MUSPF,3.0,,1,1,,1,,,,,
F6SUH3,F6SUH3_ORNAN,3.0,,1,,1,1,,,,,
F7CA15,F7CA15_CALJA,3.0,,1,1,1,,,,,,
H9GPP7,H9GPP7_ANOCA,3.0,,1,,1,1,,,,,
G1MVX9,G1MVX9_MELGA,2.0,,1,,,1,,,,,
B4E1S3,B4E1S3_HUMAN,2.0,,,,,,,1,1,,
F7AQ77,F7AQ77_CALJA,2.0,,1,,,1,,,,,
U3KC56,U3KC56_FICAL,2.0,,1,1,,,,,,,
D3Z0I8,D3Z0I8_MOUSE,2.0,,1,,,,,1,,,
W5Q2H1,W5Q2H1_SHEEP,2.0,,1,1,,,,,,,
H2ZS64,H2ZS64_LATCH,2.0,,1,,1,,,,,,
H2ZS63,H2ZS63_LATCH,2.0,,1,,,1,,,,,
H0XIW0,H0XIW0_OTOGA,1.0,,,,1,,,,,,
H3DEE6,H3DEE6_TETNG,1.0,,,,1,,,,,,
I3KCE0,I3KCE0_ORENI,1.0,,,,1,,,,,,
F6U0Z3,F6U0Z3_XENTR,1.0,,,,1,,,,,,
I3N4X2,I3N4X2_SPETR,1.0,,,,1,,,,,,
K7F608,K7F608_PELSI,1.0,,,,1,,,,,,
F1RFP4,F1RFP4_PIG,1.0,,,,1,,,,,,
F1PRI5,F1PRI5_CANFA,1.0,,,,1,,,,,,
F1NBR2,F1NBR2_CHICK,1.0,,,,1,,,,,,
D3Z7P2,D3Z7P2_MOUSE,1.0,,1,,,,,,,,
D3Z3Z2,D3Z3Z2_MOUSE,1.0,,1,,,,,,,,
K7GJT6,K7GJT6_PELSI,1.0,,,,1,,,,,,
D3YX08,D3YX08_MOUSE,1.0,,1,,,,,,,,
Q5U3Z5,Q5U3Z5_RAT,1.0,,,,1,,,,,,
Q8BXV2,BRI3B_MOUSE,1.0,,,,1,,,,,,
B2R9T9,B2R9T9_HUMAN,1.0,,,,,,,,1,,
Q8WY22,BRI3B_HUMAN,1.0,,,,1,,,,,,
A5PJF5,A5PJF5_BOVIN,1.0,,,,1,,,,,,
A2CEA9,A2CEA9_DANRE,1.0,,,,1,,,,,,
H9GLA8,H9GLA8_ANOCA,1.0,,,,1,,,,,,
F7D368,F7D368_HORSE,1.0,,,,1,,,,,,
F7CM78,F7CM78_MACMU,1.0,,,,1,,,,,,
H0VTP3,H0VTP3_CAVPO,1.0,,,,1,,,,,,
G9KTR7,G9KTR7_MUSPF,1.0,,,1,,,,,,,
H0Z3E5,H0Z3E5_TAEGU,1.0,,,,1,,,,,,
G3VZT2,G3VZT2_SARHA,1.0,,,,1,,,,,,
H2LM00,H2LM00_ORYLA,1.0,,,,1,,,,,,
G3SZQ6,G3SZQ6_LOXAF,1.0,,,,1,,,,,,
G3R4T0,G3R4T0_GORGO,1.0,,,,1,,,,,,
H2NJ35,H2NJ35_PONAB,1.0,,,,1,,,,,,
G3NYB8,G3NYB8_GASAC,1.0,,,,1,,,,,,
