,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000005106,NA,NA,EOG7C5MB2,NA,NA,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
H0Y354,FA72C_HUMAN,2.0,,1,,,1,,,,,
H9GJC9,H9GJC9_ANOCA,2.0,,1,,,1,,,,,
H2RSJ7,H2RSJ7_TAKRU,2.0,,1,,,1,,,,,
H2R0P4,H2R0P4_PANTR,2.0,,1,,,1,,,,,
H2N3Y6,H2N3Y6_PONAB,2.0,,1,,,1,,,,,
H2MM55,H2MM55_ORYLA,2.0,,1,,,1,,,,,
H0YS90,H0YS90_TAEGU,2.0,,1,,,1,,,,,
F1SF05,F1SF05_PIG,2.0,,1,,,1,,,,,
H0XIL8,H0XIL8_OTOGA,2.0,,1,,,1,,,,,
F6RIT0,F6RIT0_MONDO,2.0,,1,,,1,,,,,
H0V8M5,H0V8M5_CAVPO,2.0,,1,,,1,,,,,
G3WXL6,G3WXL6_SARHA,2.0,,1,,,1,,,,,
G3SSS6,G3SSS6_LOXAF,2.0,,1,,,1,,,,,
G3S7L9,G3S7L9_GORGO,2.0,,1,,,1,,,,,
G3RZG1,G3RZG1_GORGO,2.0,,1,,,1,,,,,
G3N5A6,G3N5A6_GASAC,2.0,,1,,,1,,,,,
G1TN78,G1TN78_RABIT,2.0,,1,,,1,,,,,
G1QI17,G1QI17_NOMLE,2.0,,1,,,1,,,,,
G1Q912,G1Q912_MYOLU,2.0,,1,,,1,,,,,
G1MWK5,G1MWK5_MELGA,2.0,,1,,,1,,,,,
F7HML8,F7HML8_CALJA,2.0,,1,,,1,,,,,
F6V9P1,F6V9P1_XENTR,2.0,,1,,,1,,,,,
F7BKI1,F7BKI1_CIOIN,2.0,,1,,,1,,,,,
H3CPA5,H3CPA5_TETNG,2.0,,1,,,1,,,,,
E1C083,E1C083_CHICK,2.0,,1,,,1,,,,,
F6ZEL7,F6ZEL7_MACMU,2.0,,1,,,1,,,,,
Q5QP12,Q5QP12_HUMAN,2.0,,1,,,1,,,,,
A6QL50,FA72A_BOVIN,2.0,,1,,,1,,,,,
B0S6J4,B0S6J4_DANRE,2.0,,1,,,1,,,,,
Q8BFZ8,FA72A_MOUSE,2.0,,1,,,1,,,,,
D2HZZ7,D2HZZ7_AILME,2.0,,1,,,1,,,,,
I3MX29,I3MX29_SPETR,2.0,,1,,,1,,,,,
Q5TYM6,Q5TYM6_HUMAN,2.0,,1,,,1,,,,,
D4A3G3,D4A3G3_RAT,2.0,,1,,,1,,,,,
Q6L9T8,FA72D_HUMAN,2.0,,1,,,1,,,,,
M3ZNN6,M3ZNN6_XIPMA,2.0,,1,,,1,,,,,
M3YKU0,M3YKU0_MUSPF,2.0,,1,,,1,,,,,
M3XJH1,M3XJH1_LATCH,2.0,,1,,,1,,,,,
M3X7V8,M3X7V8_FELCA,2.0,,1,,,1,,,,,
K7F6F0,K7F6F0_PELSI,2.0,,1,,,1,,,,,
K7EHM1,K7EHM1_ORNAN,2.0,,1,,,1,,,,,
J9P1R4,J9P1R4_CANFA,2.0,,1,,,1,,,,,
F6ZPW4,F6ZPW4_HORSE,2.0,,1,,,1,,,,,
A7SDE8,A7SDE8_NEMVE,1.0,,,,,1,,,,,
A0A096N9S1,A0A096N9S1_PAPAN,1.0,,1,,,,,,,,
A0A087YG18,A0A087YG18_POEFO,1.0,,1,,,,,,,,
A0A087X1Y7,A0A087X1Y7_HUMAN,1.0,,1,,,,,,,,
A0A087X093,A0A087X093_HUMAN,1.0,,1,,,,,,,,
A0A087WZP4,A0A087WZP4_HUMAN,1.0,,1,,,,,,,,
W5P4X7,W5P4X7_SHEEP,1.0,,1,,,,,,,,
F7GM72,F7GM72_MACMU,1.0,,1,,,,,,,,
H0WK65,H0WK65_OTOGA,1.0,,1,,,,,,,,
W5N2W3,W5N2W3_LEPOC,1.0,,1,,,,,,,,
I3KT40,I3KT40_ORENI,1.0,,,,,1,,,,,
Q5TYM5,FA72A_HUMAN,1.0,,1,,,,,,,,
Q86X60,FA72B_HUMAN,1.0,,1,,,,,,,,
S4RD55,S4RD55_PETMA,1.0,,1,,,,,,,,
S4RD58,S4RD58_PETMA,1.0,,1,,,,,,,,
U3J217,U3J217_ANAPL,1.0,,1,,,,,,,,
U3JCT8,U3JCT8_FICAL,1.0,,1,,,,,,,,
U3KPW2,U3KPW2_HUMAN,1.0,,1,,,,,,,,
U3KQ03,U3KQ03_HUMAN,1.0,,1,,,,,,,,
U3KQM2,U3KQM2_HUMAN,1.0,,1,,,,,,,,
W5KIS4,W5KIS4_ASTMX,1.0,,1,,,,,,,,
A0A087WSW5,A0A087WSW5_HUMAN,1.0,,1,,,,,,,,
