,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063315,NNCWATP,TF330284,EOG7060R8,NOG44475,HOG000124070,HBG056825,NA,Q96PL2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96PL2,TECTB_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96PL2,TECTB_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5PR99,Q5PR99_DANRE,8.0,,1,1,1,1,1,1,1,,1
D4AC15,D4AC15_RAT,5.0,,1,1,1,1,,,,,1
O08524,TECTB_MOUSE,5.0,,,,1,,1,1,1,,1
O08524,TECTB_MOUSE,5.0,,,,1,,1,1,1,,1
P54097,TECTB_CHICK,4.0,,,,,,1,1,1,,1
F7EXN9,F7EXN9_MACMU,4.0,,1,1,1,1,,,,,
H0ZKE7,H0ZKE7_TAEGU,4.0,,1,1,1,1,,,,,
H2M839,H2M839_ORYLA,4.0,,1,1,1,1,,,,,
F7C923,F7C923_XENTR,4.0,,1,1,1,1,,,,,
H2NBL4,H2NBL4_PONAB,4.0,,1,1,1,1,,,,,
E2QUP7,E2QUP7_CANFA,4.0,,1,1,1,1,,,,,
F7F1E7,F7F1E7_ORNAN,4.0,,1,1,1,1,,,,,
F6YZY3,F6YZY3_HORSE,4.0,,1,1,1,1,,,,,
F6V7X7,F6V7X7_MONDO,4.0,,1,1,1,1,,,,,
K7FP26,K7FP26_PELSI,4.0,,1,1,1,1,,,,,
F1NR18,F1NR18_CHICK,4.0,,1,1,1,1,,,,,
I3MLR6,I3MLR6_SPETR,4.0,,1,1,1,1,,,,,
H3DA94,H3DA94_TETNG,4.0,,1,1,1,1,,,,,
H9GFW5,H9GFW5_ANOCA,4.0,,1,1,1,1,,,,,
H2Q2K6,H2Q2K6_PANTR,4.0,,1,1,1,1,,,,,
F1S5L3,F1S5L3_PIG,4.0,,1,1,1,1,,,,,
H0WRR8,H0WRR8_OTOGA,4.0,,1,1,1,1,,,,,
F7HPA4,F7HPA4_CALJA,4.0,,1,1,1,1,,,,,
H0V745,H0V745_CAVPO,4.0,,1,1,1,1,,,,,
G1NWM7,G1NWM7_MYOLU,4.0,,1,1,1,1,,,,,
G3R1A3,G3R1A3_GORGO,4.0,,1,1,1,1,,,,,
G1SU19,G1SU19_RABIT,4.0,,1,1,1,1,,,,,
G3X2C9,G3X2C9_SARHA,4.0,,1,1,1,1,,,,,
G1NEI4,G1NEI4_MELGA,4.0,,1,1,1,1,,,,,
G1MAN1,G1MAN1_AILME,4.0,,1,1,1,1,,,,,
G3NH67,G3NH67_GASAC,4.0,,1,1,1,1,,,,,
G1S0N7,G1S0N7_NOMLE,4.0,,1,1,1,1,,,,,
G3TXM0,G3TXM0_LOXAF,4.0,,1,1,1,1,,,,,
M3XSH6,M3XSH6_MUSPF,3.0,,1,1,,1,,,,,
M3VZW8,M3VZW8_FELCA,3.0,,1,1,,1,,,,,
M4ATG5,M4ATG5_XIPMA,3.0,,1,1,,1,,,,,
H2T8V5,H2T8V5_TAKRU,3.0,,1,1,1,,,,,,
I3KPI0,I3KPI0_ORENI,3.0,,,1,1,1,,,,,
D3Z273,D3Z273_MOUSE,3.0,,1,,,1,,1,,,
D3Z3Y6,D3Z3Y6_MOUSE,3.0,,1,1,,,,1,,,
E1BI14,E1BI14_BOVIN,3.0,,1,,1,1,,,,,
