acc,entry,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,KO|K02256,OMA|FHGLASM,Total
P00395,COX1_HUMAN,1,1,0,1,1,1,5
Q65CJ1,Q65CJ1_MONDO,0,1,0,1,1,1,4
O79876,COX1_PIG,0,1,0,1,1,1,4
Q9ZZ64,COX1_CANFA,0,1,0,1,1,1,4
Q9MIY8,COX1_DANRE,1,1,0,1,1,0,4
Q9T9W1,COX1_PANTR,0,1,0,1,1,1,4
O78749,COX1_SHEEP,0,0,0,1,1,1,3
A5JYA3,A5JYA3_HORSE,0,0,0,1,1,1,3
A5JFJ8,A5JFJ8_AILME,0,0,0,1,1,1,3
P18943,COX1_CHICK,0,1,0,1,1,0,3
Q9MD68,Q9MD68_MOUSE,0,0,0,1,1,1,3
O79429,COX1_RABIT,0,0,0,1,1,1,3
P07657,COX1_SCHPO,1,1,0,0,1,0,3
P48659,COX1_HORSE,0,0,0,1,1,1,3
P05503,COX1_RAT,1,1,0,1,0,0,3
A9XBE1,A9XBE1_MELGA,0,0,0,1,1,1,3
P00399,COX1_DROME,1,1,0,0,1,0,3
Q71KK5,Q71KK5_PIG,0,0,0,1,1,1,3
Q49RY7,Q49RY7_CANFA,0,0,0,1,1,1,3
Q9TEG9,Q9TEG9_CAVPO,0,1,0,1,0,1,3
P00401,COX1_YEAST,1,1,0,0,1,0,3
P24893,COX1_CAEEL,1,1,0,0,1,0,3
Q5MA75,Q5MA75_SHEEP,0,0,0,1,1,1,3
O03167,COX1_LATCH,0,0,0,1,1,1,3
P48888,COX1_FELCA,0,0,0,1,1,1,3
Q36452,COX1_ORNAN,0,1,0,1,1,0,3
Q6QTG9,Q6QTG9_BOVIN,0,0,0,1,1,1,3
Q2GJ18,Q2GJ18_ANAPZ,0,1,0,0,0,1,2
P92692,COX1_PONAB,0,0,0,1,1,0,2
Q0P3F1,Q0P3F1_OSTTA,0,1,0,0,1,0,2
Q5V2N6,Q5V2N6_HALMA,0,1,0,0,0,1,2
C6V5A3,C6V5A3_NEORI,0,1,0,0,0,1,2
A6U6U5,A6U6U5_SINMW,0,1,0,0,0,1,2
P14578,COX1_ORYSJ,0,1,0,0,1,0,2
Q97UN0,Q97UN0_SULSO,1,1,0,0,0,0,2
Q8HG47,Q8HG47_ALLSI,0,0,0,1,1,0,2
P15544,COX1_STRPU,0,1,0,0,1,0,2
A6UXP2,A6UXP2_PSEA7,1,1,0,0,0,0,2
P62514,COX1_ASHGO,0,1,0,0,1,0,2
Q8HIC9,Q8HIC9_RAT,0,0,0,0,1,1,2
B0R3V8,B0R3V8_HALS3,1,1,0,0,0,0,2
Q8HIM9,Q8HIM9_CIOIN,0,0,0,1,1,0,2
B8H5D7,B8H5D7_CAUCN,0,1,0,0,0,1,2
A2SKP4,A2SKP4_METPP,0,1,0,0,0,1,2
Q21XU2,Q21XU2_RHOFT,0,1,0,0,0,1,2
Q476I6,Q476I6_CUPPJ,0,1,0,0,0,1,2
Q5P9Y9,Q5P9Y9_ANAMM,0,1,0,0,0,1,2
P00396,COX1_BOVIN,0,1,0,1,0,0,2
P00397,COX1_MOUSE,0,1,0,1,0,0,2
P00398,COX1_XENLA,0,0,0,1,1,0,2
C6B3M6,C6B3M6_RHILS,0,1,0,0,0,1,2
Q8SJH3,Q8SJH3_URSMA,0,0,0,1,1,0,2
Q8HLX3,Q8HLX3_ORYLA,0,0,0,1,1,0,2
B5WZ53,B5WZ53_XIPMA,0,0,0,1,1,0,2
A1B3D7,A1B3D7_PARDP,0,1,0,0,0,1,2
B2SX27,B2SX27_BURPP,0,1,0,0,0,1,2
B0CKF3,B0CKF3_BRUSI,0,1,0,0,0,1,2
B8I9Q2,B8I9Q2_METNO,0,1,0,0,0,1,2
Q0RI82,Q0RI82_FRAAA,0,1,0,0,0,1,2
Q3SUL4,Q3SUL4_NITWN,0,1,0,0,0,1,2
C0RHH5,C0RHH5_BRUMB,0,1,0,0,0,1,2
B7XBM4,B7XBM4_LOXAF,0,0,0,1,0,1,2
Q3IJR9,Q3IJR9_PSEHT,0,1,0,0,0,1,2
C3MHJ2,C3MHJ2_RHISN,0,1,0,0,0,1,2
C7LGG3,C7LGG3_BRUMC,0,1,0,0,0,1,2
B5ZSV1,B5ZSV1_RHILW,0,1,0,0,0,1,2
C6WI99,C6WI99_ACTMD,0,1,0,0,0,1,2
Q5G7I8,Q5G7I8_XENTR,0,0,0,1,1,0,2
Q27GW6,Q27GW6_TAEGU,0,0,0,1,1,0,2
B2JCA6,B2JCA6_BURP8,0,1,0,0,0,1,2
Q5X0Y5,Q5X0Y5_LEGPA,0,1,0,0,0,1,2
Q5WSR6,Q5WSR6_LEGPL,0,1,0,0,0,1,2
Q28SZ5,Q28SZ5_JANSC,0,1,0,0,0,1,2
Q2YCM9,Q2YCM9_NITMU,0,1,0,0,0,1,2
Q2YG64,Q2YG64_LIPVE,0,0,0,1,1,0,2
Q9B6E7,COX1_YARLI,0,1,0,0,1,0,2
Q5HAA7,Q5HAA7_EHRRW,0,1,0,0,0,1,2
Q8HQN1,Q8HQN1_LEPOC,0,0,0,1,0,1,2
Q27PQ3,Q27PQ3_CRIGR,0,0,0,1,1,0,2
A4VS35,A4VS35_PSEU5,0,1,0,0,0,1,2
P31833,COX1_BRADU,1,1,0,0,0,0,2
P60620,COX1_ARATH,0,1,0,0,1,0,2
Q1QHV6,Q1QHV6_NITHX,0,1,0,0,0,1,2
P20386,COX1_KLULA,0,1,0,0,1,0,2
Q2GDE5,Q2GDE5_NEOSM,0,1,0,0,0,1,2
B2AGQ9,B2AGQ9_CUPTR,0,1,0,0,0,1,2
A4Z2D3,A4Z2D3_BRASO,0,1,0,0,0,1,2
Q1MKI6,Q1MKI6_RHIL3,0,1,0,0,0,1,2
A6WWF9,A6WWF9_OCHA4,0,1,0,0,0,1,2
Q3LR90,Q3LR90_PANHO,0,0,0,1,1,0,2
C1B1Q1,C1B1Q1_RHOOB,0,1,0,0,0,1,2
B0UFS3,B0UFS3_METS4,0,1,0,0,0,1,2
Q8U5I4,Q8U5I4_AGRT5,0,1,0,0,0,1,2
Q0H8X8,AI2_USTMA,0,1,0,0,1,0,2
C7NWS3,C7NWS3_HALMD,0,1,0,0,0,1,2
Q5ZRI5,Q5ZRI5_LEGPH,0,1,0,0,0,1,2
Q0BPU6,Q0BPU6_GRABC,0,1,0,0,0,1,2
Q9FD41,Q9FD41_NOSS1,0,1,0,0,0,1,2
A6UXP2,A6UXP2_PSEA7,1,1,0,0,0,0,2
Q6IYH6,Q6IYH6_MACMU,0,0,0,1,1,0,2
Q6B3D5,Q6B3D5_PELSI,0,0,0,1,1,0,2
A5II82,A5II82_LEGPC,0,1,0,0,0,1,2
Q9TA27,COX1_LOXAF,0,0,0,1,0,1,2
A9RAH6,AI3_DEBHA,0,1,0,0,1,0,2
A5J056,A5J056_GIBZE,0,1,0,0,1,0,2
Q7GEL9,Q7GEL9_ALLMI,0,0,0,1,1,0,2
A7HEB5,A7HEB5_ANADF,0,1,0,0,0,1,2
Q2KBM2,Q2KBM2_RHIEC,0,1,0,0,0,1,2
Q7J2Z8,Q7J2Z8_BRAFL,0,0,0,1,1,0,2
A9M8Z2,A9M8Z2_BRUC2,0,1,0,0,0,1,2
Q7JD04,Q7JD04_MOUSE,0,0,0,1,0,1,2
B9JT25,B9JT25_AGRVS,0,1,0,0,0,1,2
A8IDL5,A8IDL5_AZOC5,0,1,0,0,0,1,2
B9JAP0,B9JAP0_AGRRK,0,1,0,0,0,1,2
A8L2F8,A8L2F8_FRASN,0,1,0,0,0,1,2
B6VJT8,B6VJT8_VITVI,0,1,0,0,1,0,2
Q9XL04,Q9XL04_FALPE,0,0,0,1,1,0,2
Q4JQI5,COX1_TETNG,0,1,0,1,0,0,2
G3SHV8,G3SHV8_GORGO,0,0,0,0,1,1,2
Q2SQV4,Q2SQV4_HAHCH,0,1,0,0,0,1,2
A6ZJ01,A6ZJ01_ANAPL,0,0,0,1,1,0,2
Q9XPI4,Q9XPI4_CHEMY,0,0,0,1,1,0,2
H9KUX4,H9KUX4_MACMU,0,0,0,0,1,1,2
B3GSZ2,B3GSZ2_ANOCA,0,0,0,1,1,0,2
O21042,COX1_DICDI,1,0,0,0,1,0,2
Q9ZZX1,SCE4_YEAST,1,1,0,0,0,0,2
S0ASK7,S0ASK7_FICAL,0,0,0,0,1,1,2
B3PSB1,B3PSB1_RHIE6,0,1,0,0,0,1,2
B3PKV9,B3PKV9_CELJU,0,1,0,0,0,1,2
U5YWV7,U5YWV7_HUMAN,0,0,0,0,1,1,2
A5VP39,A5VP39_BRUO2,0,1,0,0,0,1,2
A9RAH7,AI2_DEBHA,0,1,0,0,1,0,2
B6IXF6,B6IXF6_RHOCS,0,1,0,0,0,1,2
Q12E45,Q12E45_POLSJ,0,1,0,0,0,1,2
Q2IR90,Q2IR90_RHOP2,0,1,0,0,0,1,2
Q11KD3,Q11KD3_CHESB,0,1,0,0,0,1,2
Q9T9X0,COX1_PANPA,0,0,0,1,1,0,2
A6YAR7,A6YAR7_9CETA,0,0,0,1,1,0,2
Q13CY6,Q13CY6_RHOPS,0,1,0,0,0,1,2
Q8YFQ5,Q8YFQ5_BRUME,0,1,0,0,0,1,2
A6H4Q6,COX1_VANPO,0,1,0,0,1,0,2
A5EA97,A5EA97_BRASB,0,1,0,0,0,1,2
Q146A9,Q146A9_BURXL,0,1,0,0,0,1,2
A9VZ57,A9VZ57_METEP,0,1,0,0,0,1,2
B2CLU9,B2CLU9_9PASS,0,0,0,1,0,0,1
B2CLG8,B2CLG8_EUDMI,0,0,0,1,0,0,1
B2CLN1,B2CLN1_PHALO,0,0,0,1,0,0,1
B2CLG0,B2CLG0_EUDMI,0,0,0,1,0,0,1
B2CLP2,B2CLP2_PYGAN,0,0,0,1,0,0,1
B2CLV7,B2CLV7_9PASS,0,0,0,1,0,0,1
