,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17571,ENSGT00390000003127,TYNQGYF,TF328734,EOG7F511R,NOG43686,HOG000007162,HBG056750,NA,Q7Z5V6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q7Z5V6,PPR32_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q7Z5V6,PPR32_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q66HR9,PPR32_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q66HR9,PPR32_RAT,9.0,1,1,1,1,1,1,1,1,,1
A7RXX1,A7RXX1_NEMVE,6.0,1,,1,,1,1,1,,,1
Q148A4,PPR32_MOUSE,6.0,1,,,1,1,1,1,1,,
F1RKR0,F1RKR0_PIG,5.0,1,1,1,1,1,,,,,
F1N1E1,F1N1E1_BOVIN,5.0,1,1,1,1,1,,,,,
G3RLC6,G3RLC6_GORGO,5.0,1,1,1,1,1,,,,,
G1QQK7,G1QQK7_NOMLE,5.0,1,1,1,1,1,,,,,
E2R5K9,E2R5K9_CANFA,5.0,1,1,1,1,1,,,,,
G1SCH7,G1SCH7_RABIT,4.0,,1,1,1,1,,,,,
H9GPK5,H9GPK5_ANOCA,4.0,1,1,,1,1,,,,,
G1MDX0,G1MDX0_AILME,4.0,,1,1,1,1,,,,,
H0VKY4,H0VKY4_CAVPO,4.0,,1,1,1,1,,,,,
H2Y2D4,H2Y2D4_CIOIN,4.0,,1,1,1,1,,,,,
I3MAE5,I3MAE5_SPETR,4.0,,1,1,1,1,,,,,
G2HII2,G2HII2_PANTR,4.0,,1,1,1,1,,,,,
H0X9M3,H0X9M3_OTOGA,4.0,,1,1,1,1,,,,,
H2ND79,H2ND79_PONAB,4.0,,1,1,1,1,,,,,
G3TF50,G3TF50_LOXAF,4.0,,1,1,1,1,,,,,
K7G9P2,K7G9P2_PELSI,4.0,,1,1,1,1,,,,,
F7FJP5,F7FJP5_MONDO,4.0,,1,1,1,1,,,,,
G3WG06,G3WG06_SARHA,4.0,,1,1,1,1,,,,,
F7E1Q5,F7E1Q5_HORSE,4.0,,1,1,1,1,,,,,
F7AJM4,F7AJM4_XENTR,4.0,,1,1,1,1,,,,,
Q2T9T0,PPR32_BOVIN,4.0,1,,,,,1,1,1,,
F6TV31,F6TV31_MACMU,4.0,,1,1,1,1,,,,,
C3ZNM2,C3ZNM2_BRAFL,4.0,1,,1,,,1,,,,1
B3RRD6,B3RRD6_TRIAD,4.0,1,,,,1,1,1,,,
F6SMB2,F6SMB2_ORNAN,3.0,,1,,1,1,,,,,
F7EG88,F7EG88_CALJA,3.0,,1,1,,1,,,,,
F6QXP8,F6QXP8_ORNAN,3.0,1,1,,,1,,,,,
W5PUA1,W5PUA1_SHEEP,3.0,1,1,1,,,,,,,
F6PMQ9,F6PMQ9_CIOIN,3.0,,1,,1,1,,,,,
H2YIK0,H2YIK0_CIOSA,3.0,,1,,1,1,,,,,
M3WJA5,M3WJA5_FELCA,3.0,,1,1,,1,,,,,
M3XIK1,M3XIK1_LATCH,3.0,,1,1,,1,,,,,
M3YRT9,M3YRT9_MUSPF,3.0,,1,1,,1,,,,,
G3F4G3,G3F4G3_HUMAN,2.0,1,,1,,,,,,,
G1Q7Z8,G1Q7Z8_MYOLU,2.0,,1,,,1,,,,,
E7F5G2,E7F5G2_DANRE,2.0,1,,,,1,,,,,
F7EG94,F7EG94_CALJA,2.0,,1,,1,,,,,,
Q5PQ03,Q5PQ03_XENLA,2.0,1,,,,,,,1,,
H2YZG8,H2YZG8_CIOSA,2.0,,1,,,1,,,,,
F5H272,F5H272_HUMAN,1.0,,1,,,,,,,,
F6QI45,F6QI45_CIOIN,1.0,,1,,,,,,,,
F5GZJ9,F5GZJ9_HUMAN,1.0,,1,,,,,,,,
D2HUF1,D2HUF1_AILME,1.0,,,,,,,1,,,
X1WEB4,X1WEB4_DANRE,1.0,1,,,,,,,,,
H0YF82,H0YF82_HUMAN,1.0,,1,,,,,,,,
H0YFZ1,H0YFZ1_HUMAN,1.0,,1,,,,,,,,
H3ACY0,H3ACY0_LATCH,1.0,,1,,,,,,,,
I3KEL3,I3KEL3_ORENI,1.0,,,,,1,,,,,
L8HQ62,L8HQ62_9CETA,1.0,1,,,,,,,,,
L8Y5J9,L8Y5J9_TUPCH,1.0,1,,,,,,,,,
M3ZNM8,M3ZNM8_XIPMA,1.0,,,,,1,,,,,
T1EPE2,T1EPE2_HELRO,1.0,1,,,,,,,,,
V4BLT5,V4BLT5_LOTGI,1.0,1,,,,,,,,,
W4Z2L7,W4Z2L7_STRPU,1.0,1,,,,,,,,,
W5LWK9,W5LWK9_LEPOC,1.0,,1,,,,,,,,
A0A096NA61,A0A096NA61_PAPAN,1.0,,1,,,,,,,,
