,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K18328,ENSGT00510000047481,KVPCNFS,TF313221,EOG7BW0J7,NOG133819,HOG000216468,HBG079917,NA,Q9UK59
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
B2RYJ2,B2RYJ2_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q9UK59,DBR1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q923B1,DBR1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q5ZLM2,DBR1_CHICK,9.0,1,1,1,1,1,1,1,1,,1
A5PJS3,A5PJS3_BOVIN,7.0,1,1,1,1,1,,1,1,,
Q6P886,DBR1_XENTR,7.0,1,1,,1,1,1,1,1,,
Q9VSD7,DBR1_DROME,6.0,1,1,1,,1,1,,,,1
H2PBJ3,H2PBJ3_PONAB,5.0,1,1,1,1,1,,,,,
B7Q8L9,B7Q8L9_IXOSC,5.0,1,,1,,1,1,,,,1
Q966M6,DBR1_CAEEL,5.0,1,1,,,,1,1,,,1
E2QXS5,E2QXS5_CANFA,5.0,1,1,1,1,1,,,,,
Q61D44,DBR1_CAEBR,5.0,1,,1,,1,1,1,,,
H3A9D3,H3A9D3_LATCH,5.0,1,1,1,1,1,,,,,
B0WC77,B0WC77_CULQU,5.0,1,,1,,1,1,1,,,
H2QNG1,H2QNG1_PANTR,5.0,1,1,1,1,1,,,,,
F6V8K9,F6V8K9_MACMU,5.0,1,1,1,1,1,,,,,
Q7T3E4,DBR1_DANRE,5.0,1,,,,,1,1,1,,1
P24309,DBR1_YEAST,5.0,1,1,,,,1,1,,,1
Q7QIE4,Q7QIE4_ANOGA,5.0,1,,,,1,1,1,,,1
A8WHX2,A8WHX2_DANRE,5.0,,1,1,1,1,,,1,,
A7SUW5,A7SUW5_NEMVE,5.0,1,,,,1,1,1,,,1
F7G2J4,F7G2J4_MONDO,5.0,1,1,1,1,1,,,,,
F7BAD6,F7BAD6_HORSE,5.0,1,1,1,1,1,,,,,
A1L526,A1L526_BOVIN,5.0,1,1,,,,1,1,1,,
O13765,DBR1_SCHPO,4.0,1,,,,,1,1,,,1
B3RN87,B3RN87_TRIAD,4.0,1,,,,1,1,1,,,
F6RHL9,F6RHL9_CALJA,4.0,1,1,1,1,,,,,,
Q29FE1,DBR1_DROPS,4.0,1,,1,,1,1,,,,
B4LGZ6,B4LGZ6_DROVI,4.0,1,,1,,1,1,,,,
F6TJB5,F6TJB5_CIOIN,4.0,,1,1,1,1,,,,,
I3M951,I3M951_SPETR,4.0,,1,1,1,1,,,,,
B4MXE1,B4MXE1_DROWI,4.0,1,,1,,1,1,,,,
B4PCS8,B4PCS8_DROYA,4.0,1,,1,,1,1,,,,
B8BRL3,B8BRL3_THAPS,4.0,1,,,,,1,1,,,1
H9GNK0,H9GNK0_ANOCA,4.0,,1,1,1,1,,,,,
H2Z5J0,H2Z5J0_CIOSA,4.0,,1,1,1,1,,,,,
C3YYS1,C3YYS1_BRAFL,4.0,1,,1,,,1,,,,1
H2UPS0,H2UPS0_TAKRU,4.0,,1,1,1,1,,,,,
H0Z9M9,H0Z9M9_TAEGU,4.0,,1,1,1,1,,,,,
H0XQ10,H0XQ10_OTOGA,4.0,,1,1,1,1,,,,,
H0V775,H0V775_CAVPO,4.0,,1,1,1,1,,,,,
G3SWZ4,G3SWZ4_LOXAF,4.0,,1,1,1,1,,,,,
G3P373,G3P373_GASAC,4.0,,1,1,1,1,,,,,
G1QVP5,G1QVP5_NOMLE,4.0,1,1,,1,1,,,,,
G1Q7T8,G1Q7T8_MYOLU,4.0,,1,1,1,1,,,,,
G1LI66,G1LI66_AILME,4.0,,1,1,1,1,,,,,
H3CML3,H3CML3_TETNG,4.0,,1,1,1,1,,,,,
G3SCG5,G3SCG5_GORGO,4.0,,1,1,1,1,,,,,
Q94K01,DBR1_ARATH,4.0,1,,,,,1,1,,,1
I3K8B0,I3K8B0_ORENI,3.0,,,1,1,1,,,,,
Q8IDT0,Q8IDT0_PLAF7,3.0,1,,,,,,1,,,1
C5DTR8,C5DTR8_ZYGRC,3.0,1,,,,,1,1,,,
C4R8S4,C4R8S4_PICPG,3.0,1,,,,,1,1,,,
Q00YP2,Q00YP2_OSTTA,3.0,1,,,,,1,1,,,
A9V6Y2,A9V6Y2_MONBE,3.0,1,,,,,1,,,,1
M3ZYP5,M3ZYP5_XIPMA,3.0,,1,1,,1,,,,,
M3YCU7,M3YCU7_MUSPF,3.0,,1,1,,1,,,,,
M3WYY9,M3WYY9_FELCA,3.0,,1,1,,1,,,,,
A4S4Y8,A4S4Y8_OSTLU,3.0,1,,,,,1,1,,,
B9WIR9,B9WIR9_CANDC,3.0,1,,,,,1,1,,,
Q4N4U2,Q4N4U2_THEPA,3.0,1,,,,,1,1,,,
B9IL96,B9IL96_POPTR,3.0,1,,,,,1,1,,,
I3LBR4,I3LBR4_PIG,3.0,,1,,1,1,,,,,
B3M423,B3M423_DROAN,3.0,1,,,,1,1,,,,
K7GAX8,K7GAX8_PELSI,3.0,,1,,1,1,,,,,
B4IWR3,B4IWR3_DROGR,3.0,1,,,,1,1,,,,
B4KWX6,B4KWX6_DROMO,3.0,1,,1,,1,,,,,
J9JWY2,J9JWY2_ACYPI,3.0,1,,1,,1,,,,,
G3VX74,G3VX74_SARHA,3.0,,1,1,1,,,,,,
C5DMB4,C5DMB4_LACTC,3.0,1,,,,,1,1,,,
Q54VL9,Q54VL9_DICDI,3.0,1,,,,,1,,,,1
Q5BAH3,Q5BAH3_EMENI,3.0,1,,,,,1,1,,,
Q6C9G7,Q6C9G7_YARLI,3.0,1,,,,,,1,,,1
Q57ZT2,Q57ZT2_TRYB2,3.0,1,,,,,1,1,,,
W5PCI0,W5PCI0_SHEEP,3.0,1,1,1,,,,,,,
Q4QEA7,Q4QEA7_LEIMA,3.0,1,,,,,,1,,,1
G1MTG0,G1MTG0_MELGA,3.0,,1,,1,1,,,,,
Q59M71,Q59M71_CANAL,3.0,1,,,,,1,,,,1
Q4UEQ3,Q4UEQ3_THEAN,3.0,1,,,,,1,1,,,
A7EA74,A7EA74_SCLS1,3.0,1,,,,,1,,,,1
F7BZC5,F7BZC5_ORNAN,3.0,,1,,1,1,,,,,
Q59M71,Q59M71_CANAL,3.0,1,,,,,1,,,,1
C1FIR6,C1FIR6_MICSR,2.0,1,,,,,,1,,,
V4ANM7,V4ANM7_LOTGI,2.0,1,,1,,,,,,,
I3LBU2,I3LBU2_PIG,2.0,,1,,,1,,,,,
R4G9C4,R4G9C4_ANOCA,2.0,1,1,,,,,,,,
B8N865,B8N865_ASPFN,2.0,1,,,,,,1,,,
W5M9C2,W5M9C2_LEPOC,2.0,,1,1,,,,,,,
E9AR56,E9AR56_LEIMU,2.0,1,,,,,,1,,,
E9BDB4,E9BDB4_LEIDB,2.0,1,,,,,,1,,,
B7FYF0,B7FYF0_PHATC,2.0,1,,,,,,1,,,
A4HXG1,A4HXG1_LEIIN,2.0,1,,,,,1,,,,
H9JQK2,H9JQK2_BOMMO,2.0,1,,,,1,,,,,
G1T8S9,G1T8S9_RABIT,2.0,,1,,1,,,,,,
W5L6Q4,W5L6Q4_ASTMX,2.0,,1,1,,,,,,,
F6X3T8,F6X3T8_CALJA,2.0,,1,,,1,,,,,
E0VAQ8,E0VAQ8_PEDHC,2.0,1,,,,1,,,,,
A3LT67,A3LT67_PICST,2.0,1,,,,,,1,,,
A2XLK3,A2XLK3_ORYSI,2.0,,,,,,1,1,,,
A1DN95,A1DN95_NEOFI,2.0,1,,,,,,1,,,
D6WDD9,D6WDD9_TRICA,2.0,1,,,,1,,,,,
A1CTT4,A1CTT4_ASPCL,2.0,1,,,,,,1,,,
B6HKA4,B6HKA4_PENCW,2.0,1,,,,,1,,,,
G3VX73,G3VX73_SARHA,2.0,,1,,,1,,,,,
C5P6E5,C5P6E5_COCP7,2.0,1,,,,,1,,,,
D0NQJ9,D0NQJ9_PHYIT,2.0,1,,,,,,1,,,
D3YXA2,D3YXA2_MOUSE,2.0,,1,,,,,1,,,
B6U6X4,B6U6X4_MAIZE,2.0,1,,,,,,1,,,
Q6BQ53,Q6BQ53_DEBHA,2.0,1,,,,,,1,,,
B4QLI0,B4QLI0_DROSI,2.0,1,,,,1,,,,,
Q4YTA8,Q4YTA8_PLABA,2.0,1,,,,,,1,,,
Q6GPB8,DBR1A_XENLA,2.0,1,,,,,,,1,,
A8J0Y7,A8J0Y7_CHLRE,2.0,1,,,,,1,,,,
A5K847,A5K847_PLAVS,2.0,1,,,,,,1,,,
Q4STP8,Q4STP8_TETNG,2.0,,,,,,1,,1,,
Q4WMC7,Q4WMC7_ASPFU,2.0,1,,,,,,1,,,
Q16EU7,Q16EU7_AEDAE,2.0,,,,,1,1,,,,
Q0UM49,Q0UM49_PHANO,2.0,1,,,,,,,,,1
Q75C63,Q75C63_ASHGO,2.0,1,,,,,,1,,,
Q7RFZ2,Q7RFZ2_PLAYO,2.0,1,,,,,1,,,,
A7TH40,A7TH40_VANPO,2.0,1,,,,,1,,,,
A9SPK4,A9SPK4_PHYPA,2.0,1,,,,,,,,,1
Q4Y052,Q4Y052_PLACH,2.0,1,,,,,,1,,,
Q6FUX4,Q6FUX4_CANGA,2.0,1,,,,,,1,,,
Q7ZWU9,DBR1B_XENLA,2.0,1,,,,,,,1,,
B3L8J0,B3L8J0_PLAKH,2.0,1,,,,,,1,,,
Q6AU07,DBR1_ORYSJ,2.0,,,,,,1,1,,,
Q5CU39,Q5CU39_CRYPI,2.0,1,,,,,,1,,,
B4HIZ4,B4HIZ4_DROSE,2.0,1,,,,1,,,,,
Q6CS28,Q6CS28_KLULA,2.0,1,,,,,,1,,,
Q5KDL7,Q5KDL7_CRYNJ,2.0,1,,,,,,1,,,
B4H1G5,B4H1G5_DROPE,2.0,1,,,,1,,,,,
Q8X0M0,Q8X0M0_NEUCS,2.0,,,,,,1,1,,,
B3NF55,B3NF55_DROER,2.0,1,,,,1,,,,,
D7MAV7,D7MAV7_ARALL,1.0,1,,,,,,,,,
D4D0K8,D4D0K8_TRIVH,1.0,1,,,,,,,,,
A8JJE5,A8JJE5_CHLRE,1.0,1,,,,,,,,,
A0A096MEM7,A0A096MEM7_POEFO,1.0,,1,,,,,,,,
E6R954,E6R954_CRYGW,1.0,1,,,,,,,,,
A0A088AHU7,A0A088AHU7_APIME,1.0,1,,,,,,,,,
D5GKL0,D5GKL0_TUBMM,1.0,1,,,,,,,,,
E3KTX8,E3KTX8_PUCGT,1.0,1,,,,,,,,,
D8PZU8,D8PZU8_SCHCM,1.0,1,,,,,,,,,
A0A061GJG7,A0A061GJG7_THECC,1.0,1,,,,,,,,,
D8RQX0,D8RQX0_SELML,1.0,1,,,,,,,,,
D8TGF1,D8TGF1_SELML,1.0,1,,,,,,,,,
