,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000007311,WSYMAQT,TF105949,EOG7GBFWR,NOG267710,HOG000018481,HBG063773,NA,Q96C34
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96C34,RUND1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q0VDN7,RUND1_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q22585,Q22585_CAEEL,5.0,,1,1,,1,1,1,,,
H3AFN2,H3AFN2_LATCH,4.0,,1,1,1,1,,,,,
G3PNY2,G3PNY2_GASAC,4.0,,1,1,1,1,,,,,
I3LWR0,I3LWR0_SPETR,4.0,,1,1,1,1,,,,,
I3L600,I3L600_PIG,4.0,,1,1,1,1,,,,,
F7DJM2,F7DJM2_MONDO,4.0,,1,1,1,1,,,,,
F7GZ78,F7GZ78_MACMU,4.0,,1,1,1,1,,,,,
H3D122,H3D122_TETNG,4.0,,1,1,1,1,,,,,
F7H441,F7H441_CALJA,4.0,,1,1,1,1,,,,,
H0V8M0,H0V8M0_CAVPO,4.0,,1,1,1,1,,,,,
G1L016,G1L016_AILME,4.0,,1,1,1,1,,,,,
G1P1P4,G1P1P4_MYOLU,4.0,,1,1,1,1,,,,,
H2RJQ6,H2RJQ6_TAKRU,4.0,,1,1,1,1,,,,,
H2R0G6,H2R0G6_PANTR,4.0,,1,1,1,1,,,,,
H2L7T4,H2L7T4_ORYLA,4.0,,1,1,1,1,,,,,
H0WNT1,H0WNT1_OTOGA,4.0,,1,1,1,1,,,,,
G1SWW1,G1SWW1_RABIT,4.0,,1,1,1,1,,,,,
G3TCT3,G3TCT3_LOXAF,4.0,,1,1,1,1,,,,,
G1KNX8,G1KNX8_ANOCA,4.0,,1,1,1,1,,,,,
G3QTV2,G3QTV2_GORGO,4.0,,1,1,1,1,,,,,
B7P2I2,B7P2I2_IXOSC,4.0,,,1,,1,1,,,,1
F1MX90,F1MX90_BOVIN,4.0,,1,1,1,1,,,,,
A7RKZ4,A7RKZ4_NEMVE,4.0,,,,,1,1,1,,,1
Q7QH55,Q7QH55_ANOGA,4.0,,,,,1,1,1,,,1
A8X5W3,A8X5W3_CAEBR,4.0,,,1,,1,1,1,,,
B0WQF0,B0WQF0_CULQU,4.0,,,1,,1,1,1,,,
F1LVT5,F1LVT5_RAT,4.0,,1,1,1,1,,,,,
B4PXJ2,B4PXJ2_DROYA,3.0,,,1,,1,1,,,,
H2ZER3,H2ZER3_CIOSA,3.0,,1,,1,1,,,,,
G1MYL9,G1MYL9_MELGA,3.0,,1,,1,1,,,,,
Q17Q22,Q17Q22_AEDAE,3.0,,,,,1,1,1,,,
G1RMI4,G1RMI4_NOMLE,3.0,,1,,1,1,,,,,
M4AHW8,M4AHW8_XIPMA,3.0,,1,1,,1,,,,,
H2NTY0,H2NTY0_PONAB,3.0,,1,,1,1,,,,,
H0YXA4,H0YXA4_TAEGU,3.0,,1,,1,1,,,,,
G3WFD3,G3WFD3_SARHA,3.0,,1,,1,1,,,,,
B3RLM4,B3RLM4_TRIAD,3.0,,,1,,1,1,,,,
Q9W5C1,Q9W5C1_DROME,3.0,,1,1,,,,,,,1
C3ZHN7,C3ZHN7_BRAFL,3.0,,,1,,,1,,,,1
J9P2I1,J9P2I1_CANFA,3.0,,1,1,,1,,,,,
M3YEV8,M3YEV8_MUSPF,3.0,,1,1,,1,,,,,
K7FB93,K7FB93_PELSI,3.0,,1,,1,1,,,,,
F1R8X8,F1R8X8_DANRE,3.0,,1,1,1,,,,,,
F1N8V5,F1N8V5_CHICK,3.0,,1,1,,1,,,,,
F6WVL2,F6WVL2_XENTR,3.0,,1,1,1,,,,,,
I3JTN5,I3JTN5_ORENI,3.0,,,1,1,1,,,,,
F7DC01,F7DC01_HORSE,3.0,,1,,1,1,,,,,
F6RU88,F6RU88_CIOIN,3.0,,1,,1,1,,,,,
B4JKV5,B4JKV5_DROGR,2.0,,,,,1,1,,,,
D7EIJ8,D7EIJ8_TRICA,2.0,,,1,,1,,,,,
F7AGH0,F7AGH0_XENTR,2.0,,1,,,1,,,,,
B3MYD6,B3MYD6_DROAN,2.0,,,,,1,1,,,,
B4MD33,B4MD33_DROVI,2.0,,,,,1,1,,,,
F1PAD7,F1PAD7_CANFA,2.0,,1,,1,,,,,,
B4ND55,B4ND55_DROWI,2.0,,,,,1,1,,,,
W5P2G9,W5P2G9_SHEEP,2.0,,1,1,,,,,,,
W5N339,W5N339_LEPOC,2.0,,1,1,,,,,,,
M3X9P6,M3X9P6_FELCA,2.0,,1,,,1,,,,,
H2ZER2,H2ZER2_CIOSA,2.0,,1,1,,,,,,,
W5L465,W5L465_ASTMX,2.0,,1,1,,,,,,,
H9JFE0,H9JFE0_BOMMO,2.0,,,1,,1,,,,,
I3IT29,I3IT29_DANRE,2.0,,1,,,1,,,,,
U3JDE0,U3JDE0_FICAL,2.0,,1,1,,,,,,,
Q9NF74,Q9NF74_DROME,2.0,,,,,1,1,,,,
B5X2L5,B5X2L5_SALSA,1.0,,,,,,,,1,,
B4R2K8,B4R2K8_DROSI,1.0,,,,,1,,,,,
B4R2K7,B4R2K7_DROSI,1.0,,,,,1,,,,,
S4R7P6,S4R7P6_PETMA,1.0,,1,,,,,,,,
S4R7P8,S4R7P8_PETMA,1.0,,1,,,,,,,,
T1EFG3,T1EFG3_HELRO,1.0,,,1,,,,,,,
B4L3R9,B4L3R9_DROMO,1.0,,,,,1,,,,,
U3I8N9,U3I8N9_ANAPL,1.0,,1,,,,,,,,
B4GTT4,B4GTT4_DROPE,1.0,,,,,1,,,,,
B4I984,B4I984_DROSE,1.0,,,,,1,,,,,
B4I983,B4I983_DROSE,1.0,,,,,1,,,,,
