,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00610000087444,NA,NA,EOG738083,NA,NA,NA,NA,Q8TAD7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
P0C913,OCC1_MOUSE,3.0,,1,,,1,,,,,1
Q8TAD7,OCC1_HUMAN,3.0,,1,,,1,,,,,1
H2REE9,H2REE9_PANTR,2.0,,1,,,1,,,,,
P0C915,OCC1_CHICK,2.0,,1,,,,,,,,1
P0C914,OCC1_BOVIN,2.0,,1,,,1,,,,,
M3YL22,M3YL22_MUSPF,2.0,,1,,,1,,,,,
M0RD24,M0RD24_RAT,2.0,,1,,,1,,,,,
G3USW6,G3USW6_MELGA,2.0,,1,,,1,,,,,
G1Q761,G1Q761_MYOLU,2.0,,1,,,1,,,,,
F7HDD5,F7HDD5_CALJA,2.0,,1,,,1,,,,,
F8VQD4,F8VQD4_HUMAN,1.0,,1,,,,,,,,
B3DGJ2,OCC1_DANRE,1.0,,,,,,,,,,1
U3KG65,U3KG65_FICAL,1.0,,1,,,,,,,,
F8VXK5,F8VXK5_HUMAN,1.0,,1,,,,,,,,
F8W1S6,F8W1S6_HUMAN,1.0,,1,,,,,,,,
I7HHH9,I7HHH9_HUMAN,1.0,,1,,,,,,,,
A0A096MQH5,A0A096MQH5_PAPAN,1.0,,1,,,,,,,,
