,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K12353,ENSGT00390000006044,NA,TF324409,NA,NOG240539,HOG000026800,HBG082060,NA,Q9NXE4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NXE4,NSMA3_HUMAN,7.0,1,1,,1,,1,1,1,,1
Q9NXE4,NSMA3_HUMAN,7.0,1,1,,1,,1,1,1,,1
Q6ZPR5,NSMA3_MOUSE,6.0,1,1,,1,,1,,1,,1
Q6ZPR5,NSMA3_MOUSE,6.0,1,1,,1,,1,,1,,1
Q6PFJ7,NSMA3_DANRE,5.0,1,,,,,1,1,1,,1
A9JTV4,A9JTV4_XENTR,5.0,1,1,,,,1,1,1,,
B1PBA3,B1PBA3_HUMAN,4.0,1,1,,,,,1,1,,
Q9VGH0,Q9VGH0_DROME,4.0,1,1,,,,1,,,,1
F1RK95,F1RK95_PIG,3.0,1,1,,1,,,,,,
C3Y4J8,C3Y4J8_BRAFL,3.0,1,,,,,1,,,,1
K7G7C0,K7G7C0_PELSI,3.0,1,1,,1,,,,,,
Q5R468,Q5R468_PONAB,3.0,1,,,,,,1,1,,
Q5U2Q9,Q5U2Q9_RAT,3.0,,,,,,1,1,1,,
Q7QFC4,Q7QFC4_ANOGA,3.0,1,,,,,1,,,,1
F1PK24,F1PK24_CANFA,3.0,1,1,,1,,,,,,
F1MAK9,F1MAK9_RAT,3.0,1,1,,1,,,,,,
A7SAI1,A7SAI1_NEMVE,3.0,1,,,,,1,,,,1
A5PKD7,A5PKD7_BOVIN,3.0,,,,,,1,1,1,,
F6W3V0,F6W3V0_MONDO,2.0,,1,,1,,,,,,
H0VBZ2,H0VBZ2_CAVPO,2.0,,1,,1,,,,,,
G3SDI9,G3SDI9_GORGO,2.0,,1,,1,,,,,,
F6QJI0,F6QJI0_XENTR,2.0,,1,,1,,,,,,
G3TNW7,G3TNW7_LOXAF,2.0,,1,,1,,,,,,
G3VTM8,G3VTM8_SARHA,2.0,,1,,1,,,,,,
E1BQB7,E1BQB7_CHICK,2.0,,1,,1,,,,,,
H0ZIN1,H0ZIN1_TAEGU,2.0,,1,,1,,,,,,
H0Y0J3,H0Y0J3_OTOGA,2.0,,1,,1,,,,,,
G3RMX5,G3RMX5_GORGO,2.0,,1,,1,,,,,,
H2LC92,H2LC92_ORYLA,2.0,,1,,1,,,,,,
H2P989,H2P989_PONAB,2.0,,1,,1,,,,,,
F1R680,F1R680_DANRE,2.0,,1,,1,,,,,,
H2YRD6,H2YRD6_CIOSA,2.0,,1,,1,,,,,,
G3RXX9,G3RXX9_GORGO,2.0,,1,,1,,,,,,
G3N400,G3N400_GASAC,2.0,,1,,1,,,,,,
F6U7F6,F6U7F6_ORNAN,2.0,,1,,1,,,,,,
G1T0C2,G1T0C2_RABIT,2.0,,1,,1,,,,,,
G1RHW1,G1RHW1_NOMLE,2.0,,1,,1,,,,,,
G1Q5Y4,G1Q5Y4_MYOLU,2.0,,1,,1,,,,,,
G1N709,G1N709_MELGA,2.0,,1,,1,,,,,,
G1LX77,G1LX77_AILME,2.0,,1,,1,,,,,,
F7FMC9,F7FMC9_MACMU,2.0,,1,,1,,,,,,
F7DLZ7,F7DLZ7_HORSE,2.0,,1,,1,,,,,,
H3CH16,H3CH16_TETNG,2.0,,1,,1,,,,,,
F1MBU2,F1MBU2_BOVIN,2.0,,1,,1,,,,,,
F6S2C9,F6S2C9_MACMU,2.0,,1,,1,,,,,,
F6T2A9,F6T2A9_CALJA,2.0,,1,,1,,,,,,
F6TI55,F6TI55_CIOIN,2.0,,1,,1,,,,,,
H3B1W5,H3B1W5_LATCH,2.0,,1,,1,,,,,,
H7BXF4,H7BXF4_HUMAN,2.0,1,1,,,,,,,,
B4JG09,B4JG09_DROGR,2.0,1,,,,,1,,,,
I3N4R2,I3N4R2_SPETR,2.0,,1,,1,,,,,,
Q17GU0,Q17GU0_AEDAE,2.0,1,,,,,1,,,,
Q4T1Z6,Q4T1Z6_TETNG,2.0,,,,,,1,1,,,
B4LXY7,B4LXY7_DROVI,2.0,1,,,,,1,,,,
B4NK57,B4NK57_DROWI,2.0,1,,,,,1,,,,
B4E0T5,B4E0T5_HUMAN,2.0,,,,,,,1,1,,
B4PTF0,B4PTF0_DROYA,2.0,1,,,,,1,,,,
B3SDG3,B3SDG3_TRIAD,2.0,1,,,,,1,,,,
Q5XHG1,NSMA3_XENLA,2.0,1,,,,,,,1,,
B7QDN0,B7QDN0_IXOSC,2.0,1,,,,,1,,,,
B3MTT7,B3MTT7_DROAN,2.0,1,,,,,1,,,,
B0WGE8,B0WGE8_CULQU,2.0,1,,,,,1,,,,
H9G7P1,H9G7P1_ANOCA,2.0,,1,,1,,,,,,
A0A096MZP2,A0A096MZP2_PAPAN,1.0,,1,,,,,,,,
E9Q5Z0,E9Q5Z0_MOUSE,1.0,,1,,,,,,,,
A0A096MAV9,A0A096MAV9_POEFO,1.0,,1,,,,,,,,
E9Q914,E9Q914_MOUSE,1.0,,1,,,,,,,,
E9Q9L1,E9Q9L1_MOUSE,1.0,,1,,,,,,,,
E9QAA5,E9QAA5_MOUSE,1.0,,1,,,,,,,,
A8P5X6,A8P5X6_BRUMA,1.0,1,,,,,,,,,
E9QD63,E9QD63_DANRE,1.0,,1,,,,,,,,
B3P4E2,B3P4E2_DROER,1.0,1,,,,,,,,,
B4GMB5,B4GMB5_DROPE,1.0,1,,,,,,,,,
F1QUP0,F1QUP0_DANRE,1.0,,1,,,,,,,,
E9Q1V5,E9Q1V5_MOUSE,1.0,,1,,,,,,,,
B4E0A6,B4E0A6_HUMAN,1.0,,,,,,1,,,,
E9Q5R0,E9Q5R0_MOUSE,1.0,,1,,,,,,,,
F2Z2I0,F2Z2I0_HUMAN,1.0,,1,,,,,,,,
E9Q1T4,E9Q1T4_MOUSE,1.0,,1,,,,,,,,
B4HHW2,B4HHW2_DROSE,1.0,1,,,,,,,,,
D0NXF6,D0NXF6_PHYIT,1.0,1,,,,,,,,,
C9J647,C9J647_HUMAN,1.0,,1,,,,,,,,
C3SAD2,C3SAD2_BRADI,1.0,1,,,,,,,,,
E0W0I8,E0W0I8_PEDHC,1.0,1,,,,,,,,,
B8C464,B8C464_THAPS,1.0,,,,,,1,,,,
B7ZV47,B7ZV47_DANRE,1.0,,,,,,,,1,,
B7Q265,B7Q265_IXOSC,1.0,1,,,,,,,,,
B5X492,B5X492_SALSA,1.0,,,,,,,,1,,
B4QTK2,B4QTK2_DROSI,1.0,1,,,,,,,,,
E9PVE5,E9PVE5_MOUSE,1.0,,1,,,,,,,,
E9PZU7,E9PZU7_MOUSE,1.0,,1,,,,,,,,
E9Q0L7,E9Q0L7_MOUSE,1.0,,1,,,,,,,,
E9Q146,E9Q146_MOUSE,1.0,,1,,,,,,,,
B4K9Z2,B4K9Z2_DROMO,1.0,1,,,,,,,,,
B4K3N1,B4K3N1_DROGR,1.0,1,,,,,,,,,
E9Q1M2,E9Q1M2_MOUSE,1.0,,1,,,,,,,,
D2HEW6,D2HEW6_AILME,1.0,,,,,,,1,,,
W5Q6A8,W5Q6A8_SHEEP,1.0,,1,,,,,,,,
F8WF03,F8WF03_HUMAN,1.0,,1,,,,,,,,
F2Z2W5,F2Z2W5_HUMAN,1.0,,1,,,,,,,,
Q5C381,Q5C381_SCHJA,1.0,,,,,,1,,,,
J9KA05,J9KA05_ACYPI,1.0,1,,,,,,,,,
K4A675,K4A675_SETIT,1.0,1,,,,,,,,,
L5KVX0,L5KVX0_PTEAL,1.0,1,,,,,,,,,
L5LJT4,L5LJT4_MYODS,1.0,1,,,,,,,,,
M1UXR8,M1UXR8_CYAME,1.0,1,,,,,,,,,
M3WYN4,M3WYN4_FELCA,1.0,,1,,,,,,,,
M3X344,M3X344_FELCA,1.0,,1,,,,,,,,
M3XX56,M3XX56_MUSPF,1.0,,1,,,,,,,,
M4AN63,M4AN63_XIPMA,1.0,,1,,,,,,,,
Q295C0,Q295C0_DROPS,1.0,1,,,,,,,,,
Q4T200,Q4T200_TETNG,1.0,,,,,,,,1,,
Q95ZR2,Q95ZR2_CAEEL,1.0,1,,,,,,,,,
F6Q5Y3,F6Q5Y3_CALJA,1.0,,1,,,,,,,,
R0KYL5,R0KYL5_ANAPL,1.0,1,,,,,,,,,
S4R8F0,S4R8F0_PETMA,1.0,,1,,,,,,,,
S4RG54,S4RG54_PETMA,1.0,,1,,,,,,,,
T1FSC2,T1FSC2_HELRO,1.0,1,,,,,,,,,
U3IIR3,U3IIR3_ANAPL,1.0,,1,,,,,,,,
U3JXW0,U3JXW0_FICAL,1.0,,1,,,,,,,,
V4C1S0,V4C1S0_LOTGI,1.0,1,,,,,,,,,
W1NWZ8,W1NWZ8_AMBTC,1.0,1,,,,,,,,,
W5K065,W5K065_ASTMX,1.0,,1,,,,,,,,
W5K068,W5K068_ASTMX,1.0,,1,,,,,,,,
W5MH92,W5MH92_LEPOC,1.0,,1,,,,,,,,
I3J9S5,I3J9S5_ORENI,1.0,,,,1,,,,,,
H9KW22,H9KW22_CALJA,1.0,,1,,,,,,,,
H9KW21,H9KW21_CALJA,1.0,,1,,,,,,,,
H7C2J2,H7C2J2_HUMAN,1.0,,1,,,,,,,,
F6S2D7,F6S2D7_MACMU,1.0,,1,,,,,,,,
F6WJ71,F6WJ71_ORNAN,1.0,,1,,,,,,,,
F7AEH5,F7AEH5_CALJA,1.0,,1,,,,,,,,
F7B7Y7,F7B7Y7_CALJA,1.0,,1,,,,,,,,
F7EH47,F7EH47_CALJA,1.0,,1,,,,,,,,
F7GL64,F7GL64_CALJA,1.0,,1,,,,,,,,
F7GT87,F7GT87_MACMU,1.0,,1,,,,,,,,
F7GT89,F7GT89_MACMU,1.0,,1,,,,,,,,
F7H3X8,F7H3X8_MACMU,1.0,,1,,,,,,,,
F7HGU3,F7HGU3_CALJA,1.0,,1,,,,,,,,
F8WEQ5,F8WEQ5_HUMAN,1.0,,1,,,,,,,,
W5MHB2,W5MHB2_LEPOC,1.0,,1,,,,,,,,
G1R892,G1R892_NOMLE,1.0,,1,,,,,,,,
G3HG08,G3HG08_CRIGR,1.0,1,,,,,,,,,
G3N401,G3N401_GASAC,1.0,,1,,,,,,,,
G3RUZ7,G3RUZ7_GORGO,1.0,,1,,,,,,,,
G3S3F8,G3S3F8_GORGO,1.0,,1,,,,,,,,
G4YZ58,G4YZ58_PHYSP,1.0,1,,,,,,,,,
H2P978,H2P978_PONAB,1.0,,1,,,,,,,,
H7C0W5,H7C0W5_HUMAN,1.0,,1,,,,,,,,
H7C1Q6,H7C1Q6_HUMAN,1.0,,1,,,,,,,,
H7C235,H7C235_HUMAN,1.0,,1,,,,,,,,
H7C2E2,H7C2E2_HUMAN,1.0,,1,,,,,,,,
A0A087X8A1,A0A087X8A1_POEFO,1.0,,1,,,,,,,,
