,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000009486,NA,TF323245,NA,NOG86191,HOG000006970,HBG103632,NA,Q96SY0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5ZK21,VWA9_CHICK,6.0,,1,,1,,1,1,1,,1
Q96SY0,VWA9_HUMAN,6.0,,1,,1,,1,1,1,,1
Q8R3P6,VWA9_MOUSE,6.0,,1,,1,,1,1,1,,1
Q96SY0,VWA9_HUMAN,6.0,,1,,1,,1,1,1,,1
Q8R3P6,VWA9_MOUSE,6.0,,1,,1,,1,1,1,,1
Q66H58,VWA9_RAT,5.0,,,,1,,1,1,1,,1
Q1LWK5,Q1LWK5_DANRE,5.0,,1,,1,,,1,1,,1
Q5EA76,VWA9_BOVIN,5.0,,1,,1,,1,1,1,,
Q66H58,VWA9_RAT,5.0,,,,1,,1,1,1,,1
Q7ZUK5,Q7ZUK5_DANRE,3.0,,1,,,,,1,1,,
B4DJL6,B4DJL6_HUMAN,3.0,,1,,,,,1,1,,
B4DVT3,B4DVT3_HUMAN,3.0,,1,,,,,1,1,,
Q9VPY0,Q9VPY0_DROME,3.0,,1,,,,1,,,,1
A7RS47,A7RS47_NEMVE,3.0,,,,,,1,1,,,1
Q5TX05,Q5TX05_ANOGA,3.0,,,,,,1,1,,,1
H0ZVU0,H0ZVU0_TAEGU,2.0,,1,,1,,,,,,
H2LS03,H2LS03_ORYLA,2.0,,1,,1,,,,,,
H2NNJ0,H2NNJ0_PONAB,2.0,,1,,1,,,,,,
H2Z3A3,H2Z3A3_CIOSA,2.0,,1,,1,,,,,,
H2Q9M5,H2Q9M5_PANTR,2.0,,1,,1,,,,,,
F7BZR9,F7BZR9_CALJA,2.0,,1,,1,,,,,,
H2UGI6,H2UGI6_TAKRU,2.0,,1,,1,,,,,,
F7B0T3,F7B0T3_HORSE,2.0,,1,,1,,,,,,
H3B1C9,H3B1C9_LATCH,2.0,,1,,1,,,,,,
H0X9K2,H0X9K2_OTOGA,2.0,,1,,1,,,,,,
I3LZZ6,I3LZZ6_SPETR,2.0,,1,,1,,,,,,
H0UUN5,H0UUN5_CAVPO,2.0,,1,,1,,,,,,
G3WK46,G3WK46_SARHA,2.0,,1,,1,,,,,,
F7EAI1,F7EAI1_XENTR,2.0,,1,,1,,,,,,
G3T580,G3T580_LOXAF,2.0,,1,,1,,,,,,
F6VTV0,F6VTV0_MONDO,2.0,,1,,1,,,,,,
G3S3U3,G3S3U3_GORGO,2.0,,1,,1,,,,,,
F7GCJ9,F7GCJ9_ORNAN,2.0,,1,,1,,,,,,
F7HIY4,F7HIY4_MACMU,2.0,,1,,1,,,,,,
G3NM41,G3NM41_GASAC,2.0,,1,,1,,,,,,
G1ST87,G1ST87_RABIT,2.0,,1,,1,,,,,,
G1L8G0,G1L8G0_AILME,2.0,,1,,1,,,,,,
F6YIU9,F6YIU9_CIOIN,2.0,,1,,1,,,,,,
G1PRI5,G1PRI5_MYOLU,2.0,,1,,1,,,,,,
C3Y1X7,C3Y1X7_BRAFL,2.0,,,,,,1,,,,1
B3RSF2,B3RSF2_TRIAD,2.0,,,,,,1,1,,,
Q16G23,Q16G23_AEDAE,2.0,,,,,,1,1,,,
B7Q4I6,B7Q4I6_IXOSC,2.0,,,,,,1,,,,1
Q66KD9,VWA9_XENTR,2.0,,,,,,1,,1,,
K7G0A3,K7G0A3_PELSI,2.0,,1,,1,,,,,,
J9NTB1,J9NTB1_CANFA,2.0,,1,,1,,,,,,
G1NBL1,G1NBL1_MELGA,2.0,,1,,1,,,,,,
I3LL57,I3LL57_PIG,2.0,,1,,1,,,,,,
H9G9D8,H9G9D8_ANOCA,2.0,,1,,1,,,,,,
H3CSM4,H3CSM4_TETNG,2.0,,1,,1,,,,,,
B4LSM6,B4LSM6_DROVI,1.0,,,,,,1,,,,
B3MNA2,B3MNA2_DROAN,1.0,,,,,,1,,,,
B4DWZ3,B4DWZ3_HUMAN,1.0,,,,,,,,1,,
