,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,NA,NA,NOG236656,NA,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9VWR8,DPY19_DROME,1.0,,,,,,1,,,,
Q7Z388,D19L4_HUMAN,1.0,,,,,,1,,,,
A6X919,D19L1_MOUSE,1.0,,,,,,1,,,,
A7S2M0,A7S2M0_NEMVE,1.0,,,,,,1,,,,
A7ST13,A7ST13_NEMVE,1.0,,,,,,1,,,,
A7T9H8,A7T9H8_NEMVE,1.0,,,,,,1,,,,
A8Y3M2,DPY19_CAEBR,1.0,,,,,,1,,,,
A9V2L1,A9V2L1_MONBE,1.0,,,,,,1,,,,
A9V807,A9V807_MONBE,1.0,,,,,,1,,,,
B3MVQ2,B3MVQ2_DROAN,1.0,,,,,,1,,,,
B4JJQ8,B4JJQ8_DROGR,1.0,,,,,,1,,,,
B4M2S3,B4M2S3_DROVI,1.0,,,,,,1,,,,
B4ND89,B4ND89_DROWI,1.0,,,,,,1,,,,
B4PWD4,B4PWD4_DROYA,1.0,,,,,,1,,,,
C3Z3T1,C3Z3T1_BRAFL,1.0,,,,,,1,,,,
C3ZDD6,C3ZDD6_BRAFL,1.0,,,,,,1,,,,
P34413,DPY19_CAEEL,1.0,,,,,,1,,,,
Q2PZI1,D19L1_HUMAN,1.0,,,,,,1,,,,
Q4SVZ9,Q4SVZ9_TETNG,1.0,,,,,,1,,,,
Q4T4Y5,Q4T4Y5_TETNG,1.0,,,,,,1,,,,
Q4T4Y6,Q4T4Y6_TETNG,1.0,,,,,,1,,,,
Q4TD22,Q4TD22_TETNG,1.0,,,,,,1,,,,
Q6DRN1,Q6DRN1_DANRE,1.0,,,,,,1,,,,
Q6NUT2,D19L2_HUMAN,1.0,,,,,,1,,,,
Q6ZN68,D19P2_HUMAN,1.0,,,,,,1,,,,
Q6ZPD9,D19L3_HUMAN,1.0,,,,,,1,,,,
Q71B07,D19L3_MOUSE,1.0,,,,,,1,,,,
A2AJQ3,D19L4_MOUSE,1.0,,,,,,1,,,,
