,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00680000100059,DIWVVKD,TF324216,EOG7P8P83,NOG145324,HOG000231828,HBG051404,NA,Q8IUH3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8BHN5,RBM45_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8IUH3,RBM45_HUMAN,8.0,,1,1,1,1,1,1,1,,1
B0S522,B0S522_DANRE,8.0,,1,1,1,1,1,1,1,,1
B0S522,B0S522_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q8IUH3,RBM45_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3MHF0,Q3MHF0_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q5RDL0,Q5RDL0_PONAB,6.0,,1,1,1,1,,1,1,,
A7RXI1,A7RXI1_NEMVE,5.0,,,1,,1,1,1,,,1
Q7Q751,Q7Q751_ANOGA,5.0,,,1,,1,1,1,,,1
Q9VZE4,Q9VZE4_DROME,5.0,,1,1,,1,1,,,,1
H2SL87,H2SL87_TAKRU,4.0,,1,1,1,1,,,,,
H3A3H1,H3A3H1_LATCH,4.0,,1,1,1,1,,,,,
F6WLK8,F6WLK8_ORNAN,4.0,,1,1,1,1,,,,,
H3CWW3,H3CWW3_TETNG,4.0,,1,1,1,1,,,,,
F6UTG6,F6UTG6_MACMU,4.0,,1,1,1,1,,,,,
F1RZE1,F1RZE1_PIG,4.0,,1,1,1,1,,,,,
F1PYP3,F1PYP3_CANFA,4.0,,1,1,1,1,,,,,
I3M0Y4,I3M0Y4_SPETR,4.0,,1,1,1,1,,,,,
H2QJ20,H2QJ20_PANTR,4.0,,1,1,1,1,,,,,
H0UUG5,H0UUG5_CAVPO,4.0,,1,1,1,1,,,,,
F6X9L0,F6X9L0_MONDO,4.0,,1,1,1,1,,,,,
F7EFV3,F7EFV3_XENTR,4.0,,1,1,1,1,,,,,
H0ZFQ0,H0ZFQ0_TAEGU,4.0,,1,1,1,1,,,,,
K7F4L8,K7F4L8_PELSI,4.0,,1,1,1,1,,,,,
H0XCS0,H0XCS0_OTOGA,4.0,,1,1,1,1,,,,,
F7FI02,F7FI02_CALJA,4.0,,1,1,1,1,,,,,
G3VTK7,G3VTK7_SARHA,4.0,,1,1,1,1,,,,,
G3V9K8,G3V9K8_RAT,4.0,,1,1,1,1,,,,,
G3T022,G3T022_LOXAF,4.0,,1,1,1,1,,,,,
G3RDM9,G3RDM9_GORGO,4.0,,1,1,1,1,,,,,
G1L223,G1L223_AILME,4.0,,1,1,1,1,,,,,
G1NB49,G1NB49_MELGA,4.0,,1,1,1,1,,,,,
F1NEX8,F1NEX8_CHICK,4.0,,1,1,1,1,,,,,
G1R2E4,G1R2E4_NOMLE,4.0,,1,1,1,1,,,,,
Q8CFD1,RBM45_RAT,4.0,,,,,,1,1,1,,1
Q5ZK78,Q5ZK78_CHICK,4.0,,,,,,1,1,1,,1
M3WPG7,M3WPG7_FELCA,3.0,,1,1,,1,,,,,
G1P5J4,G1P5J4_MYOLU,3.0,,1,,1,1,,,,,
G1SET2,G1SET2_RABIT,3.0,,1,,1,1,,,,,
B0W7Y2,B0W7Y2_CULQU,3.0,,,,,1,1,1,,,
G3PCX6,G3PCX6_GASAC,3.0,,1,1,1,,,,,,
B0WER8,B0WER8_CULQU,3.0,,,,,1,1,1,,,
B3RQM4,B3RQM4_TRIAD,3.0,,,,,1,1,1,,,
B4J1H9,B4J1H9_DROGR,3.0,,,1,,1,1,,,,
F7IJA2,F7IJA2_CALJA,3.0,,1,,1,1,,,,,
B4LBQ8,B4LBQ8_DROVI,3.0,,,1,,1,1,,,,
H0ZZD7,H0ZZD7_TAEGU,3.0,,1,,1,1,,,,,
Q7QK15,Q7QK15_ANOGA,3.0,,,,,1,1,1,,,
B4NLY7,B4NLY7_DROWI,3.0,,,1,,1,1,,,,
F6WNH7,F6WNH7_HORSE,3.0,,1,,1,1,,,,,
B4PHT6,B4PHT6_DROYA,3.0,,,1,,1,1,,,,
C3ZX23,C3ZX23_BRAFL,3.0,,,1,,,1,,,,1
Q16S86,Q16S86_AEDAE,3.0,,,,,1,1,1,,,
Q0IGF3,Q0IGF3_AEDAE,3.0,,,,,1,1,1,,,
M3ZFI4,M3ZFI4_XIPMA,3.0,,1,1,,1,,,,,
I3IYY3,I3IYY3_ORENI,3.0,,,1,1,1,,,,,
M3XVS2,M3XVS2_MUSPF,3.0,,1,1,,1,,,,,
B4MJD2,B4MJD2_DROWI,2.0,,,,,1,1,,,,
B4L9A4,B4L9A4_DROMO,2.0,,,1,,1,,,,,
D6WN04,D6WN04_TRICA,2.0,,,1,,1,,,,,
B3M908,B3M908_DROAN,2.0,,,,,1,1,,,,
A8B1K1,A8B1K1_ANOGA,2.0,,,,,1,,1,,,
W5Q7D2,W5Q7D2_SHEEP,2.0,,1,1,,,,,,,
G3PCV1,G3PCV1_GASAC,2.0,,1,,,1,,,,,
H2MWJ1,H2MWJ1_ORYLA,2.0,,1,,1,,,,,,
R0K7E9,R0K7E9_ANAPL,2.0,,1,1,,,,,,,
Q29EG5,Q29EG5_DROPS,2.0,,,1,,1,,,,,
H9GNY8,H9GNY8_ANOCA,2.0,,1,,,1,,,,,
U3JL26,U3JL26_FICAL,2.0,,1,1,,,,,,,
H2MWI9,H2MWI9_ORYLA,2.0,,1,,,1,,,,,
W5KJA7,W5KJA7_ASTMX,2.0,,1,1,,,,,,,
W5MIU1,W5MIU1_LEPOC,2.0,,1,1,,,,,,,
Q7QK18,Q7QK18_ANOGA,2.0,,,,,1,1,,,,
A8IY40,A8IY40_CHLRE,1.0,,,,,,1,,,,
W4W5L6,W4W5L6_ATTCE,1.0,,,1,,,,,,,
V4B3I4,V4B3I4_LOTGI,1.0,,,1,,,,,,,
Q9FPJ8,RB45A_ARATH,1.0,,,,,,,,,,1
T1FYG9,T1FYG9_HELRO,1.0,,,1,,,,,,,
B0XLE9,B0XLE9_CULQU,1.0,,,,,,1,,,,
S4RDG7,S4RDG7_PETMA,1.0,,1,,,,,,,,
B3NC18,B3NC18_DROER,1.0,,,,,1,,,,,
R4GBB6,R4GBB6_ANOCA,1.0,,1,,,,,,,,
B4H1Z5,B4H1Z5_DROPE,1.0,,,,,1,,,,,
B4HU42,B4HU42_DROSE,1.0,,,,,1,,,,,
A0A096N3U4,A0A096N3U4_PAPAN,1.0,,1,,,,,,,,
Q54HN5,Q54HN5_DICDI,1.0,,,,,,1,,,,
Q7ZXD8,Q7ZXD8_XENLA,1.0,,,,,,,,1,,
F1QI07,F1QI07_DANRE,1.0,,1,,,,,,,,
G6DM14,G6DM14_DANPL,1.0,,,1,,,,,,,
F7IJ91,F7IJ91_CALJA,1.0,,1,,,,,,,,
W5MIV8,W5MIV8_LEPOC,1.0,,1,,,,,,,,
H2SL88,H2SL88_TAKRU,1.0,,1,,,,,,,,
H7BZE0,H7BZE0_HUMAN,1.0,,1,,,,,,,,
