,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00490000043365,GPTSFKQ,TF331185,NA,NOG235851,HOG000070082,HBG054123,NA,Q96ME7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q69Z99,ZN512_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q96ME7,ZN512_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q96ME7,ZN512_HUMAN,7.0,,1,1,1,,1,1,1,,1
A4FV61,ZN512_BOVIN,6.0,,1,1,1,,1,1,1,,
Q5R6F3,ZN512_PONAB,4.0,,1,1,1,,,,1,,
D3ZIF0,D3ZIF0_RAT,4.0,,1,1,1,,,,,,1
D3ZIF0,D3ZIF0_RAT,4.0,,1,1,1,,,,,,1
F7AYL8,F7AYL8_MACMU,3.0,,1,1,1,,,,,,
G3R2B8,G3R2B8_GORGO,3.0,,1,1,1,,,,,,
F6Z679,F6Z679_MONDO,3.0,,1,1,1,,,,,,
G1T5S6,G1T5S6_RABIT,3.0,,1,1,1,,,,,,
F7CD73,F7CD73_HORSE,3.0,,1,1,1,,,,,,
G1QUY5,G1QUY5_NOMLE,3.0,,1,1,1,,,,,,
G1L345,G1L345_AILME,3.0,,1,1,1,,,,,,
K7FM44,K7FM44_PELSI,3.0,,1,1,1,,,,,,
I3M7R0,I3M7R0_SPETR,3.0,,1,1,1,,,,,,
G1NMQ3,G1NMQ3_MELGA,3.0,,1,1,1,,,,,,
G3T706,G3T706_LOXAF,3.0,,1,1,1,,,,,,
G1PJ80,G1PJ80_MYOLU,3.0,,1,1,1,,,,,,
G3WNY4,G3WNY4_SARHA,3.0,,1,1,1,,,,,,
H2R0I5,H2R0I5_PANTR,3.0,,1,1,1,,,,,,
F1SEE4,F1SEE4_PIG,3.0,,1,1,1,,,,,,
Q96KM6,Z512B_HUMAN,3.0,,1,,1,,1,,,,
H0V2Y8,H0V2Y8_CAVPO,3.0,,1,1,1,,,,,,
F1PEL3,F1PEL3_CANFA,3.0,,1,1,1,,,,,,
H0XAE0,H0XAE0_OTOGA,3.0,,1,1,1,,,,,,
E1BVT6,E1BVT6_CHICK,3.0,,1,,1,,,,,,1
H0XML6,H0XML6_OTOGA,2.0,,1,,1,,,,,,
G1RGT3,G1RGT3_NOMLE,2.0,,1,,1,,,,,,
G3N139,G3N139_BOVIN,2.0,,1,,1,,,,,,
G1STB3,G1STB3_RABIT,2.0,,1,,1,,,,,,
H0VSF4,H0VSF4_CAVPO,2.0,,1,,1,,,,,,
G3WXH9,G3WXH9_SARHA,2.0,,1,,1,,,,,,
G3N8Y4,G3N8Y4_GASAC,2.0,,1,,1,,,,,,
G3QI54,G3QI54_GORGO,2.0,,1,,1,,,,,,
W5QDM7,W5QDM7_SHEEP,2.0,,1,1,,,,,,,
F7CHS0,F7CHS0_CALJA,2.0,,1,,1,,,,,,
G1QFB0,G1QFB0_MYOLU,2.0,,1,,1,,,,,,
G1N4M7,G1N4M7_MELGA,2.0,,1,,1,,,,,,
B7Z9P6,B7Z9P6_HUMAN,2.0,,,,,,,1,1,,
B7ZCR6,B7ZCR6_MOUSE,2.0,,1,,1,,,,,,
E2REI3,E2REI3_CANFA,2.0,,1,,1,,,,,,
F1N9L2,F1N9L2_CHICK,2.0,,1,,1,,,,,,
F1QLB1,F1QLB1_DANRE,2.0,,1,,1,,,,,,
F6PTX9,F6PTX9_ORNAN,2.0,,1,,1,,,,,,
F6Q8P5,F6Q8P5_MACMU,2.0,,1,,1,,,,,,
F6QC89,F6QC89_CALJA,2.0,,1,,1,,,,,,
F6T6P1,F6T6P1_XENTR,2.0,,1,,1,,,,,,
F6UBG7,F6UBG7_HORSE,2.0,,1,,1,,,,,,
F6XZT5,F6XZT5_MONDO,2.0,,1,,1,,,,,,
H0ZWM6,H0ZWM6_TAEGU,2.0,,1,,1,,,,,,
F7FMA8,F7FMA8_ORNAN,2.0,,1,,1,,,,,,
G1KFN9,G1KFN9_ANOCA,2.0,,1,,1,,,,,,
G1L547,G1L547_AILME,2.0,,1,,1,,,,,,
H0ZA17,H0ZA17_TAEGU,2.0,,1,,1,,,,,,
G3TXH7,G3TXH7_LOXAF,2.0,,1,,1,,,,,,
Q5RF86,Q5RF86_PONAB,2.0,,,,,,,1,1,,
K7ETN5,K7ETN5_PONAB,2.0,,1,,1,,,,,,
U3K9S8,U3K9S8_FICAL,2.0,,1,1,,,,,,,
K7FGZ2,K7FGZ2_PELSI,2.0,,1,,1,,,,,,
M3XEM2,M3XEM2_FELCA,2.0,,1,1,,,,,,,
