,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000000491,REQSSRV,TF328405,EOG715Q3S,NOG79208,HOG000111492,HBG107631,NA,Q8IWY9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8IWY9,CDAN1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8CC12,CDAN1_MOUSE,7.0,,1,1,1,1,,1,1,,1
G1U226,G1U226_RABIT,4.0,,1,1,1,1,,,,,
H0VN64,H0VN64_CAVPO,4.0,,1,1,1,1,,,,,
F7F0K4,F7F0K4_CALJA,4.0,,1,1,1,1,,,,,
F8W3W0,F8W3W0_DANRE,4.0,,1,1,1,1,,,,,
H2TK67,H2TK67_TAKRU,4.0,,1,1,1,1,,,,,
H2R4A8,H2R4A8_PANTR,4.0,,1,1,1,1,,,,,
H2NN03,H2NN03_PONAB,4.0,,1,1,1,1,,,,,
H2M6K8,H2M6K8_ORYLA,4.0,,1,1,1,1,,,,,
H0WRI4,H0WRI4_OTOGA,4.0,,1,1,1,1,,,,,
G3SYQ5,G3SYQ5_LOXAF,4.0,,1,1,1,1,,,,,
G3W085,G3W085_SARHA,4.0,,1,1,1,1,,,,,
F7DMB3,F7DMB3_HORSE,4.0,,1,1,1,1,,,,,
G1MB61,G1MB61_AILME,4.0,,1,1,1,1,,,,,
G3REH7,G3REH7_GORGO,4.0,,1,1,1,1,,,,,
G3PAV5,G3PAV5_GASAC,4.0,,1,1,1,1,,,,,
G3N1U5,G3N1U5_BOVIN,4.0,,1,1,1,1,,,,,
G1NGC3,G1NGC3_MELGA,4.0,,1,1,1,1,,,,,
G1PWV9,G1PWV9_MYOLU,4.0,,1,1,1,1,,,,,
H3ADC2,H3ADC2_LATCH,4.0,,1,1,1,1,,,,,
H3BXP0,H3BXP0_TETNG,4.0,,1,1,1,1,,,,,
G1QX66,G1QX66_NOMLE,4.0,,1,1,1,1,,,,,
A7RP17,A7RP17_NEMVE,4.0,,,,,1,1,1,,,1
F6ZC92,F6ZC92_XENTR,4.0,,1,1,1,1,,,,,
I3M7S0,I3M7S0_SPETR,4.0,,1,1,1,1,,,,,
E1BYJ8,E1BYJ8_CHICK,4.0,,1,1,1,1,,,,,
F6YHW6,F6YHW6_MONDO,4.0,,1,1,1,1,,,,,
K7FLM9,K7FLM9_PELSI,4.0,,1,1,1,1,,,,,
F1SI43,F1SI43_PIG,4.0,,1,1,1,1,,,,,
F6ULA2,F6ULA2_MACMU,4.0,,1,1,1,1,,,,,
Q8T626,DLT_DROME,4.0,,1,,,1,1,,,,1
D4A1U4,D4A1U4_RAT,3.0,,1,1,,1,,,,,
B7PA11,B7PA11_IXOSC,3.0,,,,,1,1,,,,1
F1PXQ3,F1PXQ3_CANFA,3.0,,1,,1,1,,,,,
Q7Q0Z3,Q7Q0Z3_ANOGA,3.0,,,,,1,1,,,,1
H0ZLM6,H0ZLM6_TAEGU,3.0,,1,1,1,,,,,,
G1KYC3,G1KYC3_ANOCA,3.0,,1,,1,1,,,,,
M3YET9,M3YET9_MUSPF,3.0,,1,1,,1,,,,,
M3W0J0,M3W0J0_FELCA,3.0,,1,1,,1,,,,,
I3IX35,I3IX35_ORENI,3.0,,,1,1,1,,,,,
F7AX40,F7AX40_ORNAN,3.0,,1,,1,1,,,,,
F6QUH6,F6QUH6_CIOIN,2.0,,1,,,1,,,,,
B4PDU2,B4PDU2_DROYA,2.0,,,,,1,1,,,,
G1QBL8,G1QBL8_MYOLU,2.0,,1,,,1,,,,,
B4MGM2,B4MGM2_DROVI,2.0,,,,,1,1,,,,
B4MXT5,B4MXT5_DROWI,2.0,,,,,1,1,,,,
H0ZLM1,H0ZLM1_TAEGU,2.0,,1,,,1,,,,,
B0XBN8,B0XBN8_CULQU,2.0,,,,,1,1,,,,
W5QHA2,W5QHA2_SHEEP,2.0,,1,1,,,,,,,
W5N7S0,W5N7S0_LEPOC,2.0,,1,1,,,,,,,
W5K3M8,W5K3M8_ASTMX,2.0,,1,1,,,,,,,
U3JSS1,U3JSS1_FICAL,2.0,,1,1,,,,,,,
U3IU11,U3IU11_ANAPL,2.0,,1,1,,,,,,,
Q17BL4,Q17BL4_AEDAE,2.0,,,,,1,1,,,,
M4AN48,M4AN48_XIPMA,2.0,,1,,,1,,,,,
M4AIZ3,M4AIZ3_XIPMA,2.0,,1,,,1,,,,,
C3Z3M5,C3Z3M5_BRAFL,2.0,,,,,,1,,,,1
B3M7A3,B3M7A3_DROAN,2.0,,,,,1,1,,,,
B3S6L6,B3S6L6_TRIAD,2.0,,,,,1,1,,,,
H2Z4U7,H2Z4U7_CIOSA,2.0,,1,,,1,,,,,
B4IYN8,B4IYN8_DROGR,2.0,,,,,1,1,,,,
B0XBN9,B0XBN9_CULQU,1.0,,,,,1,,,,,
B3NEV5,B3NEV5_DROER,1.0,,,,,1,,,,,
B4H5Q9,B4H5Q9_DROPE,1.0,,,,,1,,,,,
A0A096N5H9,A0A096N5H9_PAPAN,1.0,,1,,,,,,,,
B4QMK9,B4QMK9_DROSI,1.0,,,,,1,,,,,
B4HW04,B4HW04_DROSE,1.0,,,,,1,,,,,
D2A4T9,D2A4T9_TRICA,1.0,,,,,1,,,,,
B4KXU6,B4KXU6_DROMO,1.0,,,,,1,,,,,
Z4YL55,Z4YL55_MOUSE,1.0,,1,,,,,,,,
D2GW65,D2GW65_AILME,1.0,,,,,,,1,,,
E0VRV5,E0VRV5_PEDHC,1.0,,,,,1,,,,,
S4REP1,S4REP1_PETMA,1.0,,1,,,,,,,,
Q29EZ7,Q29EZ7_DROPS,1.0,,,,,1,,,,,
J9JY86,J9JY86_ACYPI,1.0,,,,,1,,,,,
H9JNQ0,H9JNQ0_BOMMO,1.0,,,,,1,,,,,
H3DPL6,H3DPL6_TETNG,1.0,,1,,,,,,,,
H3BPZ6,H3BPZ6_HUMAN,1.0,,1,,,,,,,,
H3BM60,H3BM60_HUMAN,1.0,,1,,,,,,,,
H2Z4U8,H2Z4U8_CIOSA,1.0,,1,,,,,,,,
H2TK68,H2TK68_TAKRU,1.0,,1,,,,,,,,
G3S827,G3S827_GORGO,1.0,,1,,,,,,,,
G1T0H2,G1T0H2_RABIT,1.0,,1,,,,,,,,
F7F0S9,F7F0S9_CALJA,1.0,,1,,,,,,,,
F7AX28,F7AX28_ORNAN,1.0,,1,,,,,,,,
F6UL93,F6UL93_MACMU,1.0,,1,,,,,,,,
F1N1F1,F1N1F1_BOVIN,1.0,,1,,,,,,,,
A0A096M541,A0A096M541_POEFO,1.0,,1,,,,,,,,
