,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K05487,ENSGT00530000062899,VITCKYP,TF300203,NA,NOG39912,NA,HBG052100,NA,Q9NZH8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NZH8,IL36G_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q9NZH8,IL36G_HUMAN,7.0,1,1,1,1,,1,,1,,1
B0BMY4,B0BMY4_RAT,7.0,1,1,1,1,,1,,1,,1
Q3U0P4,Q3U0P4_MOUSE,6.0,1,1,1,1,,,,1,,1
F7H3K5,F7H3K5_MACMU,4.0,1,1,1,1,,,,,,
G1QN31,G1QN31_NOMLE,4.0,1,1,1,1,,,,,,
G3RIS6,G3RIS6_GORGO,4.0,1,1,1,1,,,,,,
F1MYY4,F1MYY4_BOVIN,4.0,1,1,1,1,,,,,,
H2QIK7,H2QIK7_PANTR,4.0,1,1,1,1,,,,,,
G1LW25,G1LW25_AILME,3.0,,1,1,1,,,,,,
H0XG29,H0XG29_OTOGA,3.0,,1,1,1,,,,,,
H0WAP4,H0WAP4_CAVPO,3.0,,1,1,1,,,,,,
G3TQR6,G3TQR6_LOXAF,3.0,,1,1,1,,,,,,
G1SRG0,G1SRG0_RABIT,3.0,1,1,,1,,,,,,
G3W911,G3W911_SARHA,3.0,,1,1,1,,,,,,
H2P5G4,H2P5G4_PONAB,3.0,,1,1,1,,,,,,
Q9D6Z6,IL36B_MOUSE,3.0,,1,,1,,,,1,,
Q9JLA2,IL36A_MOUSE,3.0,,1,,1,,,,1,,
I3LZ39,I3LZ39_SPETR,3.0,,1,1,1,,,,,,
F6YXJ4,F6YXJ4_HORSE,3.0,,1,1,1,,,,,,
F7AXQ5,F7AXQ5_CALJA,3.0,,1,1,1,,,,,,
Q9UHA7,IL36A_HUMAN,3.0,,1,,1,,,,1,,
H0VWH2,H0VWH2_CAVPO,2.0,,1,,1,,,,,,
G3W9W2,G3W9W2_SARHA,2.0,,1,,1,,,,,,
H0VC55,H0VC55_CAVPO,2.0,,1,,1,,,,,,
G3WC28,G3WC28_SARHA,2.0,,1,,1,,,,,,
H0VCK4,H0VCK4_CAVPO,2.0,,1,,1,,,,,,
H0VCX7,H0VCX7_CAVPO,2.0,,1,,1,,,,,,
H0VNC3,H0VNC3_CAVPO,2.0,,1,,1,,,,,,
G3WAG9,G3WAG9_SARHA,2.0,,1,,1,,,,,,
