,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10996,ENSGT00390000000706,QVRVDNR,TF314491,EOG780RN2,NOG294762,HOG000253011,HBG053069,NA,Q8NHY5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8K572,HUS1B_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q8NHY5,HUS1B_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
H2PHQ5,H2PHQ5_PONAB,5.0,1,1,1,1,1,,,,,
G3QWT6,G3QWT6_GORGO,5.0,1,1,1,1,1,,,,,
Q8BQY8,HUS1_MOUSE,5.0,,1,,1,1,,1,1,,
E1C8I4,E1C8I4_CHICK,4.0,,1,,1,1,,,,,1
O60921,HUS1_HUMAN,4.0,,1,,1,,,1,1,,
I3MZ95,I3MZ95_SPETR,4.0,,1,1,1,1,,,,,
G1LLR9,G1LLR9_AILME,4.0,,1,1,1,1,,,,,
H0XKW3,H0XKW3_OTOGA,4.0,,1,1,1,1,,,,,
F7HI11,F7HI11_MACMU,4.0,,1,1,1,1,,,,,
H0Z9Q2,H0Z9Q2_TAEGU,3.0,,1,,1,1,,,,,
H0WC14,H0WC14_CAVPO,3.0,,1,,1,1,,,,,
H0X7H9,H0X7H9_OTOGA,3.0,,1,,1,1,,,,,
G3W0W1,G3W0W1_SARHA,3.0,,1,,1,1,,,,,
H2LEI5,H2LEI5_ORYLA,3.0,,1,,1,1,,,,,
H2PP84,H2PP84_PONAB,3.0,,1,,1,1,,,,,
H2PXG5,H2PXG5_PONAB,3.0,,1,,1,1,,,,,
H2QUJ9,H2QUJ9_PANTR,3.0,,1,,1,1,,,,,
H2SIG1,H2SIG1_TAKRU,3.0,,1,,1,1,,,,,
H2YEP2,H2YEP2_CIOSA,3.0,,1,,1,1,,,,,
G3TJN6,G3TJN6_LOXAF,3.0,,1,,1,1,,,,,
G1NTI5,G1NTI5_MYOLU,3.0,,1,,1,1,,,,,
G3QEC0,G3QEC0_GORGO,3.0,,1,,1,1,,,,,
G1TRN1,G1TRN1_RABIT,3.0,,1,,1,1,,,,,
G1QWZ3,G1QWZ3_NOMLE,3.0,,1,,1,1,,,,,
H9GXL5,H9GXL5_DANRE,3.0,,1,,1,1,,,,,
G1MR80,G1MR80_MELGA,3.0,,1,,1,1,,,,,
G1LDT0,G1LDT0_AILME,3.0,,1,,1,1,,,,,
F7G3C8,F7G3C8_CALJA,3.0,,1,,1,1,,,,,
F7F1Y2,F7F1Y2_MACMU,3.0,,1,,1,1,,,,,
C9JA95,C9JA95_HUMAN,3.0,,1,,,1,,1,,,
F7BM24,F7BM24_HORSE,3.0,,1,,1,1,,,,,
F7BFF4,F7BFF4_CIOIN,3.0,,1,,1,1,,,,,
F7AYQ2,F7AYQ2_MONDO,3.0,,1,,1,1,,,,,
F6ZQN6,F6ZQN6_XENTR,3.0,,1,,1,1,,,,,
F1Q245,F1Q245_CANFA,3.0,,1,,1,1,,,,,
