,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000003964,MAPQKYL,TF326269,EOG7HB58S,NOG45054,HOG000231998,HBG051202,NA,Q96M20
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96M20,CNBD2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96M20,CNBD2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9D5U8,CNBD2_MOUSE,6.0,,1,,1,1,1,1,1,,
F1S486,F1S486_PIG,4.0,,1,1,1,1,,,,,
F7F4M4,F7F4M4_MONDO,4.0,,1,1,1,1,,,,,
H0VRB1,H0VRB1_CAVPO,4.0,,1,1,1,1,,,,,
H0WGZ5,H0WGZ5_OTOGA,4.0,,1,1,1,1,,,,,
H2P1T0,H2P1T0_PONAB,4.0,,1,1,1,1,,,,,
H2QKA0,H2QKA0_PANTR,4.0,,1,1,1,1,,,,,
G3QJK6,G3QJK6_GORGO,4.0,,1,1,1,1,,,,,
G1SSA5,G1SSA5_RABIT,4.0,,1,1,1,1,,,,,
G1RHF7,G1RHF7_NOMLE,4.0,,1,1,1,1,,,,,
G1PFD5,G1PFD5_MYOLU,4.0,,1,1,1,1,,,,,
G1LTW0,G1LTW0_AILME,4.0,,1,1,1,1,,,,,
I3MPL0,I3MPL0_SPETR,4.0,,1,1,1,1,,,,,
F7H1A7,F7H1A7_MACMU,4.0,,1,1,1,1,,,,,
F7ESZ4,F7ESZ4_CALJA,4.0,,1,1,1,1,,,,,
G3TK62,G3TK62_LOXAF,4.0,,1,1,1,1,,,,,
F6U9Q8,F6U9Q8_HORSE,4.0,,1,1,1,1,,,,,
E2R3N0,E2R3N0_CANFA,4.0,,1,1,1,1,,,,,
E1BIR4,E1BIR4_BOVIN,4.0,,1,1,1,1,,,,,
M3Z260,M3Z260_MUSPF,3.0,,1,1,,1,,,,,
K7FBF2,K7FBF2_PELSI,3.0,,1,,1,1,,,,,
F6QFP9,F6QFP9_ORNAN,3.0,,1,,1,1,,,,,
H3B5I1,H3B5I1_LATCH,3.0,,1,,1,1,,,,,
Q6QI81,Q6QI81_RAT,3.0,,1,,1,1,,,,,
A2AV96,A2AV96_MOUSE,3.0,,1,,,,,1,1,,
G3VE59,G3VE59_SARHA,3.0,,1,,1,1,,,,,
F6QFE6,F6QFE6_ORNAN,2.0,,1,1,,,,,,,
C3XXH3,C3XXH3_BRAFL,2.0,,,,,,1,,,,1
C3XUK7,C3XUK7_BRAFL,2.0,,,,,,1,,,,1
B3RWV8,B3RWV8_TRIAD,2.0,,,,,1,1,,,,
B3RLT5,B3RLT5_TRIAD,2.0,,,,,1,1,,,,
W5Q137,W5Q137_SHEEP,2.0,,1,1,,,,,,,
H3AL69,H3AL69_LATCH,2.0,,1,,1,,,,,,
H9G9G5,H9G9G5_ANOCA,2.0,,1,,,1,,,,,
M3WDY1,M3WDY1_FELCA,2.0,,1,,,1,,,,,
H2XMX5,H2XMX5_CIOIN,1.0,,1,,,,,,,,
B3S6X8,B3S6X8_TRIAD,1.0,,,,,,1,,,,
B3N238,B3N238_DROAN,1.0,,,,,,1,,,,
U3KQM1,U3KQM1_HUMAN,1.0,,1,,,,,,,,
S4RKC5,S4RKC5_PETMA,1.0,,1,,,,,,,,
B3RX62,B3RX62_TRIAD,1.0,,,,,,1,,,,
