,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00720000108930,IFAEVMV,TF342174,NA,COG5024,HOG000111848,NA,NA,Q9H8S5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H8S5,CNTD2_HUMAN,6.0,,1,1,1,,1,1,,,1
G3QGC3,G3QGC3_GORGO,3.0,,1,1,1,,,,,,
F1RHD3,F1RHD3_PIG,3.0,,1,1,1,,,,,,
I3N395,I3N395_SPETR,3.0,,1,1,1,,,,,,
H2QGC1,H2QGC1_PANTR,3.0,,1,1,1,,,,,,
G3N2R9,G3N2R9_BOVIN,3.0,,1,1,1,,,,,,
G1RV82,G1RV82_NOMLE,3.0,,1,1,1,,,,,,
G1Q3W1,G1Q3W1_MYOLU,3.0,,1,1,1,,,,,,
F7I931,F7I931_CALJA,3.0,,1,1,1,,,,,,
B7PSN4,B7PSN4_IXOSC,2.0,,,,,,1,,,,1
M3WGH0,M3WGH0_FELCA,2.0,,1,1,,,,,,,
H3CFX1,H3CFX1_TETNG,2.0,,,1,1,,,,,,
C3ZBU1,C3ZBU1_BRAFL,2.0,,,,,,1,,,,1
Q38819,CCA23_ARATH,2.0,,,,,,1,,,,1
A9V037,A9V037_MONBE,2.0,,,,,,1,,,,1
F6ZX38,F6ZX38_MACMU,2.0,,1,,1,,,,,,
W5P965,W5P965_SHEEP,2.0,,1,1,,,,,,,
P24865,CG21_SCHPO,2.0,,,,,,1,,,,1
Q1LVI4,Q1LVI4_DANRE,2.0,,,,1,,,,,,1
B7PJX8,B7PJX8_IXOSC,1.0,,,,,,1,,,,
B4P5T3,B4P5T3_DROYA,1.0,,,,,,1,,,,
B4PFQ6,B4PFQ6_DROYA,1.0,,,,,,1,,,,
B4PV23,B4PV23_DROYA,1.0,,,,,,1,,,,
B4PX91,B4PX91_DROYA,1.0,,,,,,1,,,,
B5DDV1,B5DDV1_XENTR,1.0,,,,,,1,,,,
B6HBW3,B6HBW3_PENCW,1.0,,,,,,1,,,,
B6HJ86,B6HJ86_PENCW,1.0,,,,,,1,,,,
B6HUE3,B6HUE3_PENCW,1.0,,,,,,1,,,,
B7PD54,B7PD54_IXOSC,1.0,,,,,,1,,,,
B7PHJ3,B7PHJ3_IXOSC,1.0,,,,,,1,,,,
B3S7Y9,B3S7Y9_TRIAD,1.0,,,,,,1,,,,
B4NY89,B4NY89_DROYA,1.0,,,,,,1,,,,
B8AAX5,B8AAX5_ORYSI,1.0,,,,,,1,,,,
B8AB18,B8AB18_ORYSI,1.0,,,,,,1,,,,
B8ACK6,B8ACK6_ORYSI,1.0,,,,,,1,,,,
B8AQM9,B8AQM9_ORYSI,1.0,,,,,,1,,,,
B8AZI9,B8AZI9_ORYSI,1.0,,,,,,1,,,,
B8B2L4,B8B2L4_ORYSI,1.0,,,,,,1,,,,
B8BPS9,B8BPS9_ORYSI,1.0,,,,,,1,,,,
B8BTM7,B8BTM7_THAPS,1.0,,,,,,1,,,,
B8BZ00,B8BZ00_THAPS,1.0,,,,,,1,,,,
B8BZ02,B8BZ02_THAPS,1.0,,,,,,1,,,,
