,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K05254,ENSGT00390000004064,EIQFNAP,TF336219,EOG741Z4K,NOG45924,HOG000146466,HBG018522,NA,Q9UBU3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UBU3,GHRL_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9UBU3,GHRL_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9QYH7,GHRL_RAT,8.0,1,1,1,1,1,1,,1,,1
Q9EQX0,GHRL_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q9EQX0,GHRL_MOUSE,8.0,1,1,1,1,1,1,,1,,1
Q9BEF8,GHRL_CANFA,7.0,1,1,1,1,1,1,,1,,
Q7T1B9,Q7T1B9_MELGA,6.0,1,1,1,1,1,,,1,,
A6QLN4,A6QLN4_BOVIN,6.0,1,1,1,1,1,,,1,,
Q8AV73,Q8AV73_CHICK,5.0,,1,1,1,1,,,1,,
F6QE38,F6QE38_HORSE,5.0,1,1,1,1,1,,,,,
F7BXV6,F7BXV6_MONDO,5.0,1,1,1,1,1,,,,,
G1SQW6,G1SQW6_RABIT,5.0,1,1,1,1,1,,,,,
G1QWU2,G1QWU2_NOMLE,5.0,1,1,1,1,1,,,,,
H2PA27,H2PA27_PONAB,5.0,1,1,1,1,1,,,,,
H2QM21,H2QM21_PANTR,5.0,1,1,1,1,1,,,,,
G3R3S6,G3R3S6_GORGO,5.0,1,1,1,1,1,,,,,
G1PJK5,G1PJK5_MYOLU,4.0,,1,1,1,1,,,,,
Q7T2V1,Q7T2V1_CHICK,4.0,1,,,,,1,,1,,1
F7GMD2,F7GMD2_MACMU,4.0,,1,1,1,1,,,,,
F7BAW5,F7BAW5_CALJA,4.0,1,1,1,1,,,,,,
G9M5N9,G9M5N9_PIG,4.0,,1,1,1,1,,,,,
I3NGP4,I3NGP4_SPETR,4.0,,1,1,1,1,,,,,
D2HR96,D2HR96_AILME,4.0,,1,1,1,1,,,,,
Q6BEG6,GHRL_FELCA,4.0,1,,,1,,1,,1,,
G3TCI7,G3TCI7_LOXAF,4.0,,1,1,1,1,,,,,
H0XGQ1,H0XGQ1_OTOGA,4.0,,1,1,1,1,,,,,
Q9BDJ6,GHRL_BOVIN,4.0,1,1,,,,1,,1,,
H0WA56,H0WA56_CAVPO,3.0,,1,1,1,,,,,,
H3B1Z6,H3B1Z6_LATCH,3.0,,1,,1,1,,,,,
Q6UDE7,Q6UDE7_MACMU,3.0,1,,,,,1,,1,,
Q811T4,Q811T4_MOUSE,3.0,1,,,,,,1,1,,
Q9GKY5,GHRL_PIG,3.0,1,,,,,1,,1,,
A2RSS9,A2RSS9_MOUSE,3.0,1,,1,,,,,1,,
B9DQV0,B9DQV0_BOVIN,2.0,1,,,,,,,1,,
W5PPI6,W5PPI6_SHEEP,2.0,,1,1,,,,,,,
H0W9W8,H0W9W8_CAVPO,2.0,,1,,,1,,,,,
B6SF63,B6SF63_MACEU,2.0,,,,1,1,,,,,
B1Q460,B1Q460_PONPY,2.0,,,,,,1,,1,,
F6UJ66,F6UJ66_CALJA,2.0,,1,,,1,,,,,
X1WI36,X1WI36_PELSI,2.0,1,1,,,,,,,,
Q7TSD1,Q7TSD1_MOUSE,2.0,1,,,,,,,1,,
Q863L0,Q863L0_SHEEP,2.0,1,,,,,,,1,,
Q3ZV42,Q3ZV42_DANRE,2.0,1,,,,,,,1,,
U3I7Q5,U3I7Q5_ANAPL,2.0,,1,1,,,,,,,
Q7ZT15,Q7ZT15_ORENI,2.0,,,,1,,,,1,,
Q6BEG7,GHRL_CAPHI,2.0,1,,,,,,,1,,
H7CE67,H7CE67_XENLA,1.0,1,,,,,,,,,
B1Q461,B1Q461_HYLLA,1.0,,,,,,,,1,,
B0ZE69,B0ZE69_AILME,1.0,,,,,,,,1,,
Q8CH53,Q8CH53_MERUN,1.0,,,,,,,,1,,
B1Q463,B1Q463_SAISC,1.0,,,,,,,,1,,
B1Q462,B1Q462_9PRIM,1.0,,,,,,,,1,,
A9XK89,A9XK89_HIPHI,1.0,,,,,,,,1,,
B1Q464,B1Q464_SAPAP,1.0,,,,,,,,1,,
B1Q465,B1Q465_AOTTR,1.0,,,,,,,,1,,
B2BN54,B2BN54_BUBBU,1.0,,,,,,,,1,,
B0ZE68,B0ZE68_AILME,1.0,,,,,,,,1,,
A8R5N9,A8R5N9_ONCKE,1.0,,,,,,,,1,,
A9CT50,A9CT50_CYPCA,1.0,,,,,,,,1,,
B3IYK2,B3IYK2_SALSA,1.0,,,,,,,,1,,
