,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000011578,RYLTFGI,TF338723,EOG7TJ3KM,NOG40404,HOG000155523,NA,NA,A6NGY3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NGY3,CE052_HUMAN,7.0,,1,1,1,1,1,1,,,1
Q9CR34,CE052_MOUSE,6.0,,1,1,1,1,1,1,,,
D3ZFB8,D3ZFB8_RAT,5.0,,1,1,1,1,,,,,1
I3N1M5,I3N1M5_SPETR,4.0,,1,1,1,1,,,,,
F6VZ65,F6VZ65_MACMU,4.0,,1,1,1,1,,,,,
H2QRW7,H2QRW7_PANTR,4.0,,1,1,1,1,,,,,
H2PH77,H2PH77_PONAB,4.0,,1,1,1,1,,,,,
H0XN34,H0XN34_OTOGA,4.0,,1,1,1,1,,,,,
F7DI94,F7DI94_HORSE,4.0,,1,1,1,1,,,,,
G1TFP7,G1TFP7_RABIT,4.0,,1,1,1,1,,,,,
G1Q1G1,G1Q1G1_MYOLU,3.0,,1,,1,1,,,,,
E1BKK8,E1BKK8_BOVIN,3.0,,1,,1,1,,,,,
F1Q4L1,F1Q4L1_CANFA,3.0,,1,,1,1,,,,,
F1RPE1,F1RPE1_PIG,3.0,,1,,1,1,,,,,
F7IKN4,F7IKN4_CALJA,3.0,,1,1,1,,,,,,
G1LLF4,G1LLF4_AILME,3.0,,1,,1,1,,,,,
G3R3G2,G3R3G2_GORGO,3.0,,1,,1,1,,,,,
G1QVQ6,G1QVQ6_NOMLE,3.0,,1,,1,1,,,,,
G3SC58,G3SC58_GORGO,3.0,,1,,1,1,,,,,
G3TW57,G3TW57_LOXAF,3.0,,1,,1,1,,,,,
K7E078,K7E078_MONDO,3.0,,1,,1,1,,,,,
M3XC41,M3XC41_FELCA,3.0,,1,1,,1,,,,,
F7IKN5,F7IKN5_CALJA,2.0,,1,,,1,,,,,
H9GFL3,H9GFL3_ANOCA,2.0,,1,,,1,,,,,
K7F310,K7F310_PELSI,2.0,,1,,,1,,,,,
C3Y961,C3Y961_BRAFL,2.0,,,,,,1,,,,1
H0WB46,H0WB46_CAVPO,1.0,,,,,1,,,,,
H2XUW7,H2XUW7_CIOIN,1.0,,,,,1,,,,,
W5PFD6,W5PFD6_SHEEP,1.0,,1,,,,,,,,
