,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10891,ENSGT00390000016970,SHIQDDM,TF101106,EOG7QZGB3,NOG305332,HOG000060189,HBG060904,NA,Q9BXW9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BXW9,FACD2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9BXW9,FACD2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q80V62,FACD2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q6IV68,FACD2_RAT,7.0,1,,,1,1,1,1,1,,1
B3DJT4,B3DJT4_DANRE,7.0,1,1,,1,1,1,1,1,,
Q7PZ77,Q7PZ77_ANOGA,5.0,1,,1,,1,1,,,,1
Q68Y81,Q68Y81_CHICK,5.0,1,,,,,1,1,1,,1
B7P5X1,B7P5X1_IXOSC,5.0,1,,1,,1,1,,,,1
G3UQ73,G3UQ73_MELGA,4.0,,1,1,1,1,,,,,
F7A2J7,F7A2J7_HORSE,4.0,,1,1,1,1,,,,,
F6TV09,F6TV09_XENTR,4.0,,1,1,1,1,,,,,
F6ZUP5,F6ZUP5_MONDO,4.0,,1,1,1,1,,,,,
I3MLZ1,I3MLZ1_SPETR,4.0,,1,1,1,1,,,,,
F6S059,F6S059_CALJA,4.0,,1,1,1,1,,,,,
F1SQC5,F1SQC5_PIG,4.0,,1,1,1,1,,,,,
H2S8V2,H2S8V2_TAKRU,4.0,,1,1,1,1,,,,,
G1KH83,G1KH83_ANOCA,4.0,1,1,,1,1,,,,,
G1MCF3,G1MCF3_AILME,4.0,,1,1,1,1,,,,,
E1BE83,E1BE83_BOVIN,4.0,,1,1,1,1,,,,,
G1P6H6,G1P6H6_MYOLU,4.0,,1,1,1,1,,,,,
G1SIC9,G1SIC9_RABIT,4.0,1,1,,1,1,,,,,
G3N781,G3N781_GASAC,4.0,,1,1,1,1,,,,,
G3QNB5,G3QNB5_GORGO,4.0,,1,1,1,1,,,,,
G3T7X0,G3T7X0_LOXAF,4.0,,1,1,1,1,,,,,
G3WTW6,G3WTW6_SARHA,4.0,,1,1,1,1,,,,,
H0V648,H0V648_CAVPO,4.0,,1,1,1,1,,,,,
H0WGZ0,H0WGZ0_OTOGA,4.0,,1,1,1,1,,,,,
H3DAV5,H3DAV5_TETNG,4.0,,1,1,1,1,,,,,
H3BFD2,H3BFD2_LATCH,4.0,,1,1,1,1,,,,,
H0Z8P4,H0Z8P4_TAEGU,4.0,,1,1,1,1,,,,,
H2L5D6,H2L5D6_ORYLA,4.0,,1,1,1,1,,,,,
H2PA36,H2PA36_PONAB,4.0,,1,1,1,1,,,,,
Q16PZ3,Q16PZ3_AEDAE,4.0,1,,1,,1,1,,,,
H2QM16,H2QM16_PANTR,4.0,,1,1,1,1,,,,,
B3RTH4,B3RTH4_TRIAD,4.0,1,,1,,1,1,,,,
B4JUD8,B4JUD8_DROGR,4.0,1,,1,,1,1,,,,
B4LWK6,B4LWK6_DROVI,4.0,1,,1,,1,1,,,,
C3YNI7,C3YNI7_BRAFL,4.0,1,,1,,,1,,,,1
B4NFT1,B4NFT1_DROWI,4.0,1,,1,,1,1,,,,
Q8MYL1,Q8MYL1_DROME,4.0,1,1,1,,,,,,,1
E2RNI6,E2RNI6_CANFA,3.0,,1,1,1,,,,,,
J9P383,J9P383_CANFA,3.0,1,1,,,1,,,,,
A9UW33,A9UW33_MONBE,3.0,1,,,,,1,,,,1
B0XB81,B0XB81_CULQU,3.0,1,,1,,1,,,,,
B2RSU4,B2RSU4_MOUSE,3.0,1,,1,,,,,1,,
B3LZU8,B3LZU8_DROAN,3.0,1,,,,1,1,,,,
B4K8W2,B4K8W2_DROMO,3.0,1,,1,,1,,,,,
I3KS20,I3KS20_ORENI,3.0,,,1,1,1,,,,,
B4PPS8,B4PPS8_DROYA,3.0,1,,,,1,1,,,,
E0VKU4,E0VKU4_PEDHC,3.0,1,,1,,1,,,,,
F1NP22,F1NP22_CHICK,3.0,,1,1,,1,,,,,
M3Z0D0,M3Z0D0_MUSPF,3.0,,1,1,,1,,,,,
K7GK16,K7GK16_PELSI,3.0,,1,,1,1,,,,,
B8C7G0,B8C7G0_THAPS,3.0,1,,,,,1,,,,1
Q55F81,Q55F81_DICDI,3.0,1,,,,,1,,,,1
M3ZHF3,M3ZHF3_XIPMA,3.0,,1,1,,1,,,,,
M3WEP9,M3WEP9_FELCA,3.0,,1,1,,1,,,,,
W5MXM2,W5MXM2_LEPOC,2.0,,1,1,,,,,,,
A2DXX1,A2DXX1_TRIVA,2.0,1,,,,,1,,,,
A9TCM2,A9TCM2_PHYPA,2.0,1,,,,,,,,,1
E7F616,E7F616_DANRE,2.0,,1,1,,,,,,,
C5X9M1,C5X9M1_SORBI,2.0,1,,,,,1,,,,
B3P327,B3P327_DROER,2.0,1,,,,1,,,,,
F6R213,F6R213_CIOIN,2.0,,1,,,1,,,,,
F7F5D6,F7F5D6_ORNAN,2.0,,1,,,1,,,,,
B4II74,B4II74_DROSE,2.0,1,,,,1,,,,,
F7HU77,F7HU77_MACMU,2.0,,1,,,1,,,,,
F6RGY7,F6RGY7_CALJA,2.0,1,1,,,,,,,,
G1QWJ6,G1QWJ6_NOMLE,2.0,,1,,,1,,,,,
B9HDF3,B9HDF3_POPTR,2.0,1,,,,,1,,,,
F6VQ40,F6VQ40_ORNAN,2.0,,1,,,1,,,,,
B4R1S1,B4R1S1_DROSI,2.0,1,,,,1,,,,,
F7F164,F7F164_ORNAN,2.0,,1,,,1,,,,,
B5DVT2,B5DVT2_DROPS,2.0,1,,,,1,,,,,
W5P596,W5P596_SHEEP,2.0,,1,1,,,,,,,
V3ZCS3,V3ZCS3_LOTGI,2.0,1,,1,,,,,,,
Q3UQJ0,Q3UQJ0_MOUSE,2.0,1,,,,,,,1,,
Q9U2H4,Q9U2H4_CAEEL,2.0,,,,,1,,,,,1
