,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000047963,NA,TF314073,EOG769ZK3,NOG292421,NA,HBG055544,NA,Q9GZM5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9GZM5,YIPF3_HUMAN,6.0,,1,,1,1,1,,1,,1
Q803Z2,YIPF3_DANRE,6.0,,1,,1,1,1,,1,,1
Q6TUD4,YIPF3_RAT,6.0,,1,,1,1,1,,1,,1
Q3UDR8,YIPF3_MOUSE,6.0,,1,,1,1,1,,1,,1
Q0VC12,Q0VC12_BOVIN,5.0,,1,,1,1,1,,1,,
G3RVN1,G3RVN1_GORGO,3.0,,1,,1,1,,,,,
G1SP21,G1SP21_RABIT,3.0,,1,,1,1,,,,,
H2QZI3,H2QZI3_PANTR,3.0,,1,,1,1,,,,,
H2PJ59,H2PJ59_PONAB,3.0,,1,,1,1,,,,,
H2LDN5,H2LDN5_ORYLA,3.0,,1,,1,1,,,,,
H0ZFS0,H0ZFS0_TAEGU,3.0,,1,,1,1,,,,,
H0XF34,H0XF34_OTOGA,3.0,,1,,1,1,,,,,
H0VFN7,H0VFN7_CAVPO,3.0,,1,,1,1,,,,,
G3WNE6,G3WNE6_SARHA,3.0,,1,,1,1,,,,,
G3SLY6,G3SLY6_LOXAF,3.0,,1,,1,1,,,,,
G3PFA3,G3PFA3_GASAC,3.0,,1,,1,1,,,,,
G1PXL5,G1PXL5_MYOLU,3.0,,1,,1,1,,,,,
G1QVF7,G1QVF7_NOMLE,3.0,,1,,1,1,,,,,
H2ZPF6,H2ZPF6_CIOSA,3.0,,1,,1,1,,,,,
G1NEV5,G1NEV5_MELGA,3.0,,1,,1,1,,,,,
G1M0N8,G1M0N8_AILME,3.0,,1,,1,1,,,,,
G1KJA4,G1KJA4_ANOCA,3.0,,1,,1,1,,,,,
F7G044,F7G044_MONDO,3.0,,1,,1,1,,,,,
F7FAC0,F7FAC0_MACMU,3.0,,1,,1,1,,,,,
F7B0Z7,F7B0Z7_ORNAN,3.0,,1,,1,1,,,,,
E2RH62,E2RH62_CANFA,3.0,,1,,1,1,,,,,
F6XSZ1,F6XSZ1_HORSE,3.0,,1,,1,1,,,,,
F6VA99,F6VA99_CALJA,3.0,,1,,1,1,,,,,
F1RRJ3,F1RRJ3_PIG,3.0,,1,,1,1,,,,,
