,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000010075,QHNLKGE,TF350487,EOG7PP57P,NOG137828,HOG000065779,HBG107601,NA,Q4G0S7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4G0S7,CC152_HUMAN,8.0,,1,1,1,1,1,1,1,,1
G3T5E4,G3T5E4_LOXAF,4.0,,1,1,1,1,,,,,
I3M9B5,I3M9B5_SPETR,4.0,,1,1,1,1,,,,,
G1S415,G1S415_NOMLE,4.0,,1,1,1,1,,,,,
G3Q1E4,G3Q1E4_GASAC,4.0,,1,1,1,1,,,,,
G3RAG3,G3RAG3_GORGO,4.0,,1,1,1,1,,,,,
G3WGB4,G3WGB4_SARHA,4.0,,1,1,1,1,,,,,
H0UZA8,H0UZA8_CAVPO,4.0,,1,1,1,1,,,,,
H0X7W4,H0X7W4_OTOGA,4.0,,1,1,1,1,,,,,
H0YVL7,H0YVL7_TAEGU,4.0,,1,1,1,1,,,,,
H2PFG6,H2PFG6_PONAB,4.0,,1,1,1,1,,,,,
H2R5J5,H2R5J5_PANTR,4.0,,1,1,1,1,,,,,
F7HQ63,F7HQ63_MACMU,4.0,,1,1,1,1,,,,,
F7EBW3,F7EBW3_MONDO,4.0,,1,1,1,1,,,,,
H3A3J6,H3A3J6_LATCH,4.0,,1,1,1,1,,,,,
F7DSM5,F7DSM5_HORSE,4.0,,1,1,1,1,,,,,
F1NT75,F1NT75_CHICK,4.0,,1,1,1,1,,,,,
E9PX14,E9PX14_MOUSE,4.0,,1,1,1,1,,,,,
F1M7D1,F1M7D1_RAT,4.0,,1,1,1,1,,,,,
F1MJA8,F1MJA8_BOVIN,4.0,,1,1,1,1,,,,,
F1PZJ9,F1PZJ9_CANFA,4.0,,1,1,1,1,,,,,
F6Q741,F6Q741_XENTR,4.0,,1,1,1,1,,,,,
G1LAY8,G1LAY8_AILME,4.0,,1,1,1,1,,,,,
Q32LM7,CC152_BOVIN,3.0,,,,,,1,1,1,,
G1NTV5,G1NTV5_MYOLU,3.0,,1,1,1,,,,,,
F1SMH3,F1SMH3_PIG,3.0,,1,,1,1,,,,,
G1KKF3,G1KKF3_ANOCA,3.0,,1,,1,1,,,,,
F7HXP6,F7HXP6_CALJA,3.0,,1,1,1,,,,,,
M3VX38,M3VX38_FELCA,3.0,,1,1,,1,,,,,
G1SJL7,G1SJL7_RABIT,3.0,,1,,1,1,,,,,
F7HXQ8,F7HXQ8_CALJA,2.0,,1,,,1,,,,,
C3Y9V1,C3Y9V1_BRAFL,2.0,,,,,,1,,,,1
W5PG81,W5PG81_SHEEP,2.0,,1,1,,,,,,,
G1QDE4,G1QDE4_MYOLU,2.0,,1,,,1,,,,,
U3K986,U3K986_FICAL,2.0,,1,1,,,,,,,
I3K4R3,I3K4R3_ORENI,2.0,,,,1,1,,,,,
K7EAA5,K7EAA5_ORNAN,2.0,,1,,,1,,,,,
M3YSM6,M3YSM6_MUSPF,2.0,,1,,,1,,,,,
M4AQ16,M4AQ16_XIPMA,2.0,,1,,,1,,,,,
W5MN53,W5MN53_LEPOC,2.0,,1,1,,,,,,,
U3IX43,U3IX43_ANAPL,2.0,,1,1,,,,,,,
A0A087XAD5,A0A087XAD5_POEFO,1.0,,1,,,,,,,,
A0A096N6E7,A0A096N6E7_PAPAN,1.0,,1,,,,,,,,
A2DU29,A2DU29_TRIVA,1.0,,,,,,,,,,1
W5KNZ5,W5KNZ5_ASTMX,1.0,,1,,,,,,,,
D2HHQ7,D2HHQ7_AILME,1.0,,,,,,,1,,,
R4GJU0,R4GJU0_CHICK,1.0,,1,,,,,,,,
U3IX48,U3IX48_ANAPL,1.0,,1,,,,,,,,
Q8I4T0,Q8I4T0_PLAF7,1.0,,,,,,,,,,1
H2ZN88,H2ZN88_CIOSA,1.0,,,,,1,,,,,
H2RH48,H2RH48_PANTR,1.0,,1,,,,,,,,
H2MIP2,H2MIP2_ORYLA,1.0,,,,,1,,,,,
A0A024R043,A0A024R043_HUMAN,1.0,,,1,,,,,,,
