,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17637,ENSGT00390000010872,RYLERHT,TF105891,EOG7J70DW,NOG318892,HOG000044231,HBG028469,NA,Q96KP1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96KP1,EXOC2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q96KP1,EXOC2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9D4H1,EXOC2_MOUSE,8.0,1,1,,1,1,1,1,1,,1
Q9D4H1,EXOC2_MOUSE,8.0,1,1,,1,1,1,1,1,,1
Q5RGD7,Q5RGD7_DANRE,6.0,,1,1,1,1,,1,1,,
G1MZ48,G1MZ48_MELGA,5.0,1,1,1,1,1,,,,,
F6R680,F6R680_ORNAN,5.0,1,1,1,1,1,,,,,
O54921,EXOC2_RAT,5.0,1,,,,,1,1,1,,1
G1RIT9,G1RIT9_NOMLE,5.0,1,1,1,1,1,,,,,
H2QS72,H2QS72_PANTR,5.0,1,1,1,1,1,,,,,
B7PR09,B7PR09_IXOSC,5.0,1,,1,,1,1,,,,1
F1RXP8,F1RXP8_PIG,5.0,1,1,1,1,1,,,,,
E2RCW3,E2RCW3_CANFA,5.0,1,1,1,1,1,,,,,
Q22706,EXOC2_CAEEL,5.0,1,1,,,1,1,,,,1
F1LMB9,F1LMB9_RAT,5.0,1,1,1,1,1,,,,,
K7G032,K7G032_PELSI,5.0,1,1,1,1,1,,,,,
E1BDW9,E1BDW9_BOVIN,5.0,1,1,1,1,1,,,,,
F6Z4S6,F6Z4S6_CALJA,5.0,1,1,1,1,1,,,,,
H0YV87,H0YV87_TAEGU,5.0,1,1,1,1,1,,,,,
A7SUT6,A7SUT6_NEMVE,4.0,1,,,,1,1,,,,1
I3MHF4,I3MHF4_SPETR,4.0,,1,1,1,1,,,,,
G3VEK1,G3VEK1_SARHA,4.0,,1,1,1,1,,,,,
Q9VQQ9,EXOC2_DROME,4.0,1,,,,1,1,,,,1
G1PQ62,G1PQ62_MYOLU,4.0,,1,1,1,1,,,,,
M3ZVL6,M3ZVL6_XIPMA,4.0,1,1,1,,1,,,,,
Q7PY37,Q7PY37_ANOGA,4.0,1,,,,1,,1,,,1
F7HI15,F7HI15_MACMU,4.0,,1,1,1,1,,,,,
H2MBE1,H2MBE1_ORYLA,4.0,,1,1,1,1,,,,,
B0W3D0,B0W3D0_CULQU,4.0,1,,,,1,1,1,,,
F6STY7,F6STY7_HORSE,4.0,1,1,,1,1,,,,,
H9GPK6,H9GPK6_ANOCA,4.0,1,1,,1,1,,,,,
H2PHQ4,H2PHQ4_PONAB,4.0,,1,1,1,1,,,,,
I3JGS7,I3JGS7_ORENI,3.0,,,1,1,1,,,,,
B3MVG4,B3MVG4_DROAN,3.0,1,,,,1,1,,,,
G3TAE3,G3TAE3_LOXAF,3.0,,1,,1,1,,,,,
Q16UF1,Q16UF1_AEDAE,3.0,1,,,,1,,1,,,
G1TBG2,G1TBG2_RABIT,3.0,,1,,1,1,,,,,
B4JBU7,B4JBU7_DROGR,3.0,1,,,,1,1,,,,
M3Y8W8,M3Y8W8_MUSPF,3.0,,1,1,,1,,,,,
M3WNN9,M3WNN9_FELCA,3.0,,1,1,,1,,,,,
B4LSG5,B4LSG5_DROVI,3.0,1,,,,1,1,,,,
B4MTK3,B4MTK3_DROWI,3.0,1,,,,1,1,,,,
B4NXW8,B4NXW8_DROYA,3.0,1,,,,1,1,,,,
Q5R871,Q5R871_PONAB,3.0,1,,,,,,1,1,,
G1LLR4,G1LLR4_AILME,3.0,,1,,1,1,,,,,
C3XUC7,C3XUC7_BRAFL,3.0,1,,,,,1,,,,1
F6YQX0,F6YQX0_XENTR,3.0,,1,,1,1,,,,,
U3KF33,U3KF33_FICAL,3.0,1,1,1,,,,,,,
U3J2N7,U3J2N7_ANAPL,3.0,1,1,1,,,,,,,
Q6CGI4,Q6CGI4_YARLI,3.0,1,,1,,,,,,,1
R4GJ00,R4GJ00_CHICK,3.0,1,1,1,,,,,,,
F7CDZ8,F7CDZ8_MONDO,3.0,,1,,1,1,,,,,
H3B856,H3B856_LATCH,3.0,,1,,1,1,,,,,
A7EX96,A7EX96_SCLS1,3.0,1,,1,,,1,,,,
H3C4T9,H3C4T9_TETNG,3.0,,1,,1,1,,,,,
Q8S3U9,SEC5A_ARATH,3.0,1,,,,,1,,,,1
F6Q8U3,F6Q8U3_CIOIN,3.0,,1,,1,1,,,,,
G3QRQ3,G3QRQ3_GORGO,3.0,,1,,1,1,,,,,
H0XBI2,H0XBI2_OTOGA,3.0,,1,,1,1,,,,,
Q6PGY8,Q6PGY8_DANRE,3.0,1,,,,,,,1,,1
G3NMP1,G3NMP1_GASAC,3.0,,1,,1,1,,,,,
H0V195,H0V195_CAVPO,3.0,,1,,1,1,,,,,
H2RVL4,H2RVL4_TAKRU,3.0,,1,,1,1,,,,,
C5YGD2,C5YGD2_SORBI,2.0,1,,,,,1,,,,
D5GNN2,D5GNN2_TUBMM,2.0,1,,1,,,,,,,
H2ZFP8,H2ZFP8_CIOSA,2.0,,1,,,1,,,,,
D6W674,D6W674_TRICA,2.0,1,,,,1,,,,,
B8N6C2,B8N6C2_ASPFN,2.0,1,,1,,,,,,,
J9K8X8,J9K8X8_ACYPI,2.0,1,,,,1,,,,,
H3CFD0,H3CFD0_TETNG,2.0,,1,,,1,,,,,
B6H4U1,B6H4U1_PENCW,2.0,1,,1,,,,,,,
B9GTJ6,B9GTJ6_POPTR,2.0,1,,,,,1,,,,
E0VQL4,E0VQL4_PEDHC,2.0,1,,,,1,,,,,
A0A024QZT2,A0A024QZT2_HUMAN,2.0,1,,1,,,,,,,
B3RV65,B3RV65_TRIAD,2.0,1,,,,1,,,,,
M0R602,M0R602_RAT,2.0,,1,,,1,,,,,
Q5KNA8,Q5KNA8_CRYNJ,2.0,1,,,,,,,,,1
V3YXG4,V3YXG4_LOTGI,2.0,1,,1,,,,,,,
A8WPA7,A8WPA7_CAEBR,2.0,1,,,,1,,,,,
A9RNH0,A9RNH0_PHYPA,2.0,1,,,,,,,,,1
A9RZZ5,A9RZZ5_PHYPA,2.0,1,,,,,,,,,1
A9S1F4,A9S1F4_PHYPA,2.0,1,,,,,,,,,1
A9V450,A9V450_MONBE,2.0,1,,,,,,,,,1
B4Q9K5,B4Q9K5_DROSI,2.0,1,,,,1,,,,,
F1P2A7,F1P2A7_CHICK,2.0,,1,,1,,,,,,
Q5ZK31,Q5ZK31_CHICK,2.0,,,,,,1,1,,,
A1CPI3,A1CPI3_ASPCL,2.0,1,,1,,,,,,,
A8IS87,A8IS87_CHLRE,2.0,1,,,,,1,,,,
Q54VX5,EXOC2_DICDI,2.0,1,,,,,1,,,,
Q4SMP5,Q4SMP5_TETNG,2.0,,,,,,1,,1,,
W5NZD4,W5NZD4_SHEEP,2.0,,1,1,,,,,,,
Q29N69,Q29N69_DROPS,2.0,1,,,,1,,,,,
B3N323,B3N323_DROER,2.0,1,,,,1,,,,,
B4G864,B4G864_DROPE,2.0,1,,,,1,,,,,
B4INK3,B4INK3_DROSE,2.0,1,,,,1,,,,,
B4INX7,B4INX7_DROSE,2.0,1,,,,1,,,,,
B4KJL7,B4KJL7_DROMO,2.0,1,,,,1,,,,,
E9ED30,E9ED30_METAQ,1.0,1,,,,,,,,,
F0ZXN2,F0ZXN2_DICPU,1.0,1,,,,,,,,,
E9QVH3,E9QVH3_ASPFU,1.0,1,,,,,,,,,
D4DA94,D4DA94_TRIVH,1.0,1,,,,,,,,,
D4ARF4,D4ARF4_ARTBC,1.0,1,,,,,,,,,
E9ENC8,E9ENC8_METRA,1.0,1,,,,,,,,,
F1R5Y1,F1R5Y1_DANRE,1.0,,1,,,,,,,,
E3S0V7,E3S0V7_PYRTT,1.0,1,,,,,,,,,
E6QYJ0,E6QYJ0_CRYGW,1.0,1,,,,,,,,,
E5SLB6,E5SLB6_TRISP,1.0,1,,,,,,,,,
E3K655,E3K655_PUCGT,1.0,1,,,,,,,,,
D7KJZ0,D7KJZ0_ARALL,1.0,1,,,,,,,,,
D7KTX6,D7KTX6_ARALL,1.0,1,,,,,,,,,
D8QDB4,D8QDB4_SCHCM,1.0,1,,,,,,,,,
D8RD25,D8RD25_SELML,1.0,1,,,,,,,,,
E2LRF9,E2LRF9_MONPE,1.0,1,,,,,,,,,
E1ZJW7,E1ZJW7_CHLVA,1.0,1,,,,,,,,,
D0MT24,D0MT24_PHYIT,1.0,1,,,,,,,,,
D2HKH1,D2HKH1_AILME,1.0,,,,,,,1,,,
B8P2C9,B8P2C9_POSPM,1.0,,,1,,,,,,,
C9S7H1,C9S7H1_VERA1,1.0,1,,,,,,,,,
A2QRC8,A2QRC8_ASPNC,1.0,1,,,,,,,,,
B0D6Q3,B0D6Q3_LACBS,1.0,1,,,,,,,,,
A8PUN7,A8PUN7_MALGO,1.0,1,,,,,,,,,
A8PCF2,A8PCF2_COPC7,1.0,1,,,,,,,,,
A7SLF7,A7SLF7_NEMVE,1.0,,,,,1,,,,,
A6QTR0,A6QTR0_AJECN,1.0,1,,,,,,,,,
A5DJB3,A5DJB3_PICGU,1.0,1,,,,,,,,,
A5ATZ5,A5ATZ5_VITVI,1.0,,,,,,1,,,,
A4RXA7,A4RXA7_OSTLU,1.0,1,,,,,,,,,
A1D2E5,A1D2E5_NEOFI,1.0,1,,,,,,,,,
B2B2M2,B2B2M2_PODAN,1.0,1,,,,,,,,,
A0A096QID1,A0A096QID1_MAIZE,1.0,1,,,,,,,,,
A0A096NKI4,A0A096NKI4_PAPAN,1.0,,1,,,,,,,,
A0A087ZWE5,A0A087ZWE5_APIME,1.0,1,,,,,,,,,
A0A087X474,A0A087X474_POEFO,1.0,,1,,,,,,,,
A0A061HEU3,A0A061HEU3_9BASI,1.0,1,,,,,,,,,
A0A061FJ82,A0A061FJ82_THECC,1.0,1,,,,,,,,,
A0A061FIJ6,A0A061FIJ6_THECC,1.0,1,,,,,,,,,
A0A061FI40,A0A061FI40_THECC,1.0,1,,,,,,,,,
B0EQJ6,B0EQJ6_ENTDS,1.0,1,,,,,,,,,
B3KPN7,B3KPN7_HUMAN,1.0,,,,,,,,1,,
C8VU64,C8VU64_EMENI,1.0,,,1,,,,,,,
C4JLD4,C4JLD4_UNCRE,1.0,1,,,,,,,,,
C7Z4M9,C7Z4M9_NECH7,1.0,1,,,,,,,,,
C5P5B7,C5P5B7_COCP7,1.0,1,,,,,,,,,
C5MH42,C5MH42_CANTT,1.0,1,,,,,,,,,
C5DYM3,C5DYM3_ZYGRC,1.0,1,,,,,,,,,
C5DMT2,C5DMT2_LACTC,1.0,1,,,,,,,,,
C4YAI9,C4YAI9_CLAL4,1.0,1,,,,,,,,,
C4R5S5,C4R5S5_PICPG,1.0,1,,,,,,,,,
C4M2W7,C4M2W7_ENTHI,1.0,1,,,,,,,,,
C1H9Z9,C1H9Z9_PARBA,1.0,1,,,,,,,,,
B5RU00,B5RU00_DEBHA,1.0,1,,,,,,,,,
C0HFQ4,C0HFQ4_MAIZE,1.0,1,,,,,,,,,
B9WJC9,B9WJC9_CANDC,1.0,1,,,,,,,,,
B9T2G4,B9T2G4_RICCO,1.0,1,,,,,,,,,
B9FF61,B9FF61_ORYSJ,1.0,,,,,,1,,,,
B8P2N3,B8P2N3_POSPM,1.0,1,,,,,,,,,
F4PCT9,F4PCT9_BATDJ,1.0,,,1,,,,,,,
B8BR17,B8BR17_THAPS,1.0,1,,,,,,,,,
B8ATQ6,B8ATQ6_ORYSI,1.0,,,,,,1,,,,
F4HWE6,SEC5B_ARATH,1.0,1,,,,,,,,,
W6Z8D2,W6Z8D2_COCMI,1.0,1,,,,,,,,,
F4PGL2,F4PGL2_DICFS,1.0,1,,,,,,,,,
R0GJX6,R0GJX6_9BRAS,1.0,1,,,,,,,,,
