,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10611,ENSGT00390000017058,WIRQNNR,TF351049,EOG7CG721,COG5194,HOG000171951,HBG001507,NA,Q9UBF6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5EB19,Q5EB19_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q9UBF6,RBX2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9UBF6,RBX2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9WTZ1,RBX2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q0P5F4,Q0P5F4_BOVIN,8.0,1,1,1,1,1,1,1,1,,
B0BME8,B0BME8_XENTR,8.0,1,1,1,1,1,1,1,1,,
P91404,P91404_CAEEL,7.0,1,1,1,,1,1,1,,,1
Q7JWH5,Q7JWH5_DROME,6.0,1,1,1,,1,1,,,,1
Q7PNW0,Q7PNW0_ANOGA,6.0,1,,1,,1,1,1,,,1
D3Z8P1,D3Z8P1_RAT,6.0,1,1,1,1,1,,,,,1
A7RR57,A7RR57_NEMVE,6.0,1,,1,,1,1,1,,,1
Q7JWH5,Q7JWH5_DROME,6.0,1,1,1,,1,1,,,,1
G1QXG2,G1QXG2_NOMLE,5.0,1,1,1,1,1,,,,,
F6QK30,F6QK30_MONDO,5.0,1,1,1,1,1,,,,,
F6SAA4,F6SAA4_CIOIN,5.0,1,1,1,1,1,,,,,
G3QHH4,G3QHH4_GORGO,5.0,1,1,1,1,1,,,,,
B3S5N1,B3S5N1_TRIAD,5.0,1,,1,,1,1,1,,,
E2QUL6,E2QUL6_CANFA,5.0,1,1,1,1,1,,,,,
D2H584,D2H584_AILME,5.0,,1,1,1,1,,1,,,
Q5ZJA0,Q5ZJA0_CHICK,5.0,1,,,,,1,1,1,,1
A8XG62,A8XG62_CAEBR,5.0,1,,1,,1,1,1,,,
Q498D8,Q498D8_RAT,5.0,,1,,,1,1,1,1,,
P62877,RBX1_HUMAN,5.0,,1,,,1,1,1,1,,
B7P6D0,B7P6D0_IXOSC,5.0,1,,1,,1,1,,,,1
H2QNI0,H2QNI0_PANTR,5.0,1,1,1,1,1,,,,,
G3WYG8,G3WYG8_SARHA,5.0,1,1,1,1,1,,,,,
H2PBM2,H2PBM2_PONAB,5.0,1,1,1,1,1,,,,,
H3A4J7,H3A4J7_LATCH,5.0,1,1,1,1,1,,,,,
F7H413,F7H413_MACMU,5.0,1,1,1,1,1,,,,,
Q2HJI9,Q2HJI9_BOVIN,5.0,,1,,,1,1,1,1,,
G1KDM0,G1KDM0_ANOCA,4.0,1,1,,1,1,,,,,
B4LPX4,B4LPX4_DROVI,4.0,1,,1,,1,1,,,,
H3CKE3,H3CKE3_TETNG,4.0,,1,1,1,1,,,,,
F7EDD9,F7EDD9_CALJA,4.0,1,1,1,1,,,,,,
B4P623,B4P623_DROYA,4.0,1,,1,,1,1,,,,
D3Z497,D3Z497_MOUSE,4.0,,1,,1,1,,1,,,
H0VX65,H0VX65_CAVPO,4.0,,1,1,1,1,,,,,
H0WYY6,H0WYY6_OTOGA,4.0,,1,1,1,1,,,,,
