,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000012030,NA,TF314850,EOG7ZGX3T,NOG311972,HOG000143405,HBG002493,NA,Q9H0U3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H0U3,MAGT1_HUMAN,7.0,,1,,1,1,1,1,1,,1
Q7ZV50,MAGT1_DANRE,6.0,,1,,1,1,1,,1,,1
Q6AY49,Q6AY49_RAT,5.0,,1,,1,1,1,,1,,
Q13454,TUSC3_HUMAN,5.0,,1,,1,1,1,,1,,
A2ADH1,A2ADH1_MOUSE,5.0,,1,,1,1,,,1,,1
A2ADH1,A2ADH1_MOUSE,5.0,,1,,1,1,,,1,,1
Q8BTV1,TUSC3_MOUSE,4.0,,1,,1,1,,,1,,
Q8SY53,Q8SY53_DROME,4.0,,1,,,1,1,,,,1
G3WG52,G3WG52_SARHA,3.0,,1,,1,1,,,,,
G3WTN0,G3WTN0_SARHA,3.0,,1,,1,1,,,,,
G3V9X8,G3V9X8_RAT,3.0,,1,,1,1,,,,,
G3SSG7,G3SSG7_LOXAF,3.0,,1,,1,1,,,,,
H0VPE0,H0VPE0_CAVPO,3.0,,1,,1,1,,,,,
G3RX91,G3RX91_GORGO,3.0,,1,,1,1,,,,,
H0W0B7,H0W0B7_CAVPO,3.0,,1,,1,1,,,,,
H0X437,H0X437_OTOGA,3.0,,1,,1,1,,,,,
H0XCD3,H0XCD3_OTOGA,3.0,,1,,1,1,,,,,
H0Z6E1,H0Z6E1_TAEGU,3.0,,1,,1,1,,,,,
G3TAA2,G3TAA2_LOXAF,3.0,,1,,1,1,,,,,
H0ZAD7,H0ZAD7_TAEGU,3.0,,1,,1,1,,,,,
G3Q7K9,G3Q7K9_GASAC,3.0,,1,,1,1,,,,,
H2MG53,H2MG53_ORYLA,3.0,,1,,1,1,,,,,
H2N265,H2N265_ORYLA,3.0,,1,,1,1,,,,,
H2PPL9,H2PPL9_PONAB,3.0,,1,,1,1,,,,,
H2PW36,H2PW36_PONAB,3.0,,1,,1,1,,,,,
H2QYU0,H2QYU0_PANTR,3.0,,1,,1,1,,,,,
H2RDL6,H2RDL6_PANTR,3.0,,1,,1,1,,,,,
H2RL53,H2RL53_TAKRU,3.0,,1,,1,1,,,,,
H2V7P4,H2V7P4_TAKRU,3.0,,1,,1,1,,,,,
H3ATU4,H3ATU4_LATCH,3.0,,1,,1,1,,,,,
H3CJX7,H3CJX7_TETNG,3.0,,1,,1,1,,,,,
H3DL29,H3DL29_TETNG,3.0,,1,,1,1,,,,,
H9GE44,H9GE44_ANOCA,3.0,,1,,1,1,,,,,
I3LS83,I3LS83_PIG,3.0,,1,,1,1,,,,,
G3R499,G3R499_GORGO,3.0,,1,,1,1,,,,,
G1TYN3,G1TYN3_RABIT,3.0,,1,,1,1,,,,,
E2RDD3,E2RDD3_CANFA,3.0,,1,,1,1,,,,,
F7G9H4,F7G9H4_MONDO,3.0,,1,,1,1,,,,,
F6RV39,F6RV39_ORNAN,3.0,,1,,1,1,,,,,
F6WDA7,F6WDA7_HORSE,3.0,,1,,1,1,,,,,
F1NL85,F1NL85_CHICK,3.0,,1,,1,1,,,,,
F6ZGM1,F6ZGM1_XENTR,3.0,,1,,1,1,,,,,
F7AM61,F7AM61_CIOIN,3.0,,1,,1,1,,,,,
F7BQR9,F7BQR9_MACMU,3.0,,1,,1,1,,,,,
F7CVU3,F7CVU3_XENTR,3.0,,1,,1,1,,,,,
F7DTV6,F7DTV6_HORSE,3.0,,1,,1,1,,,,,
F1MFE0,F1MFE0_BOVIN,3.0,,1,,1,1,,,,,
F7EWS4,F7EWS4_MACMU,3.0,,1,,1,1,,,,,
F7FZ97,F7FZ97_MONDO,3.0,,1,,1,1,,,,,
F7GY70,F7GY70_MACMU,3.0,,1,,1,1,,,,,
G3Q3V4,G3Q3V4_GASAC,3.0,,1,,1,1,,,,,
G1LNB9,G1LNB9_AILME,3.0,,1,,1,1,,,,,
G1N353,G1N353_MELGA,3.0,,1,,1,1,,,,,
G1NGF5,G1NGF5_MELGA,3.0,,1,,1,1,,,,,
G1PBT2,G1PBT2_MYOLU,3.0,,1,,1,1,,,,,
G1PIL0,G1PIL0_MYOLU,3.0,,1,,1,1,,,,,
G1QKW7,G1QKW7_NOMLE,3.0,,1,,1,1,,,,,
G1QPB7,G1QPB7_NOMLE,3.0,,1,,1,1,,,,,
G1SCT9,G1SCT9_RABIT,3.0,,1,,1,1,,,,,
G1TQ26,G1TQ26_RABIT,3.0,,1,,1,1,,,,,
I3MGD6,I3MGD6_SPETR,3.0,,1,,1,1,,,,,
G3MY77,G3MY77_BOVIN,3.0,,1,,1,1,,,,,
I3MG94,I3MG94_SPETR,3.0,,1,,1,1,,,,,
F1SV61,F1SV61_PIG,3.0,,1,,1,1,,,,,
A7S666,A7S666_NEMVE,3.0,,,,,1,1,,,,1
K7FMM3,K7FMM3_PELSI,3.0,,1,,1,1,,,,,
K7FT13,K7FT13_PELSI,3.0,,1,,1,1,,,,,
P48439,OST3_YEAST,3.0,,1,,,,1,,,,1
Q7PMF2,Q7PMF2_ANOGA,3.0,,,,,1,1,,,,1
Q5ZJ06,MAGT1_CHICK,3.0,,,,,,1,,1,,1
