,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000002101,SEMWYGV,TF314615,EOG7HXCSS,NOG326962,HOG000290672,HBG108536,NA,Q8WVE7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9D342,T170A_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8WVE7,T170A_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8WVE7,T170A_HUMAN,8.0,,1,1,1,1,1,1,1,,1
A3KPL7,T170A_DANRE,8.0,,1,1,1,1,1,1,1,,1
A9ULP1,A9ULP1_XENTR,6.0,,1,,1,1,1,1,1,,
A5PJA0,A5PJA0_BOVIN,6.0,,1,,1,1,1,1,1,,
A7RHE9,A7RHE9_NEMVE,5.0,,,1,,1,1,1,,,1
Q7JV61,Q7JV61_DROME,5.0,,1,1,,1,1,,,,1
Q7Q9M7,Q7Q9M7_ANOGA,5.0,,,1,,1,1,1,,,1
Q7TQ79,T170B_RAT,5.0,,1,,1,1,,1,1,,
Q5T4T1,T170B_HUMAN,5.0,,1,,1,1,,1,1,,
D2HY24,D2HY24_AILME,5.0,,1,1,1,1,,1,,,
H3D9J7,H3D9J7_TETNG,4.0,,1,1,1,1,,,,,
F7G4T4,F7G4T4_MACMU,4.0,,1,1,1,1,,,,,
F7GEJ4,F7GEJ4_MONDO,4.0,,1,1,1,1,,,,,
H0Z7U4,H0Z7U4_TAEGU,4.0,,1,1,1,1,,,,,
F7ITE0,F7ITE0_CALJA,4.0,,1,1,1,1,,,,,
G1MR09,G1MR09_MELGA,4.0,,1,1,1,1,,,,,
G1PMT6,G1PMT6_MYOLU,4.0,,1,1,1,1,,,,,
G1RRF3,G1RRF3_NOMLE,4.0,,1,1,1,1,,,,,
I3M3N5,I3M3N5_SPETR,4.0,,1,1,1,1,,,,,
G3N5Q5,G3N5Q5_GASAC,4.0,,1,1,1,1,,,,,
G3T1V5,G3T1V5_LOXAF,4.0,,1,1,1,1,,,,,
G1TYQ8,G1TYQ8_RABIT,4.0,,1,1,1,1,,,,,
G3VII3,G3VII3_SARHA,4.0,,1,1,1,1,,,,,
Q16GD7,Q16GD7_AEDAE,4.0,,,1,,1,1,1,,,
B3RIR5,B3RIR5_TRIAD,4.0,,,1,,1,1,1,,,
P86050,T170B_MOUSE,4.0,,1,,1,1,,,1,,
H2MW92,H2MW92_ORYLA,4.0,,1,1,1,1,,,,,
H3AUA7,H3AUA7_LATCH,4.0,,1,1,1,1,,,,,
B0WW15,B0WW15_CULQU,4.0,,,1,,1,1,1,,,
H2NRI3,H2NRI3_PONAB,4.0,,1,1,1,1,,,,,
D2H2W3,D2H2W3_AILME,4.0,,1,,1,1,,1,,,
F1N8V4,F1N8V4_CHICK,4.0,,1,1,1,1,,,,,
H2R2J3,H2R2J3_PANTR,4.0,,1,1,1,1,,,,,
F1S453,F1S453_PIG,4.0,,1,1,1,1,,,,,
H0WH73,H0WH73_OTOGA,4.0,,1,1,1,1,,,,,
H2SJ21,H2SJ21_TAKRU,4.0,,1,1,1,1,,,,,
Q5ZM31,T170A_CHICK,4.0,,,,,,1,1,1,,1
G3RL47,G3RL47_GORGO,4.0,,1,1,1,1,,,,,
F6U2H2,F6U2H2_HORSE,4.0,,1,1,1,1,,,,,
H0VZF3,H0VZF3_CAVPO,4.0,,1,1,1,1,,,,,
H9GCU7,H9GCU7_ANOCA,4.0,,1,1,1,1,,,,,
H0VE19,H0VE19_CAVPO,3.0,,1,,1,1,,,,,
G3WXZ0,G3WXZ0_SARHA,3.0,,1,,1,1,,,,,
B4LKP6,B4LKP6_DROVI,3.0,,,1,,1,1,,,,
H0Z5W5,H0Z5W5_TAEGU,3.0,,1,,1,1,,,,,
H0XIG7,H0XIG7_OTOGA,3.0,,1,,1,1,,,,,
G3QUA6,G3QUA6_GORGO,3.0,,1,,1,1,,,,,
G3NCK2,G3NCK2_GASAC,3.0,,1,,1,1,,,,,
G1U8X0,G1U8X0_RABIT,3.0,,1,,1,1,,,,,
B4MNY9,B4MNY9_DROWI,3.0,,,1,,1,1,,,,
G1QIT1,G1QIT1_NOMLE,3.0,,1,,1,1,,,,,
B4P832,B4P832_DROYA,3.0,,,1,,1,1,,,,
F7I6B8,F7I6B8_CALJA,3.0,,1,,1,1,,,,,
F7FM85,F7FM85_ORNAN,3.0,,1,,1,1,,,,,
F6WZR7,F6WZR7_ORNAN,3.0,,1,,1,1,,,,,
F6WEA0,F6WEA0_HORSE,3.0,,1,,1,1,,,,,
F6PPC2,F6PPC2_MONDO,3.0,,1,,1,1,,,,,
F2Z5B0,F2Z5B0_PIG,3.0,,1,,1,1,,,,,
F1Q5W3,F1Q5W3_DANRE,3.0,,1,,1,1,,,,,
F1MIF3,F1MIF3_BOVIN,3.0,,1,,1,1,,,,,
E1BYG1,E1BYG1_CHICK,3.0,,1,,1,1,,,,,
F7HN50,F7HN50_MACMU,3.0,,1,,1,1,,,,,
B4J7U1,B4J7U1_DROGR,3.0,,,1,,1,1,,,,
H2LZP2,H2LZP2_ORYLA,3.0,,1,,1,1,,,,,
H9GE06,H9GE06_ANOCA,3.0,,1,,1,1,,,,,
M4AP65,M4AP65_XIPMA,3.0,,1,1,,1,,,,,
M3YEU1,M3YEU1_MUSPF,3.0,,1,1,,1,,,,,
M3WRY1,M3WRY1_FELCA,3.0,,1,1,,1,,,,,
K7FA75,K7FA75_PELSI,3.0,,1,,1,1,,,,,
J9P146,J9P146_CANFA,3.0,,1,,1,1,,,,,
I3LWY3,I3LWY3_SPETR,3.0,,1,,1,1,,,,,
I3LEP7,I3LEP7_PIG,3.0,,1,,1,1,,,,,
I3J8J6,I3J8J6_ORENI,3.0,,,1,1,1,,,,,
M0R417,M0R417_RAT,3.0,,1,1,,1,,,,,
H2R7M9,H2R7M9_PANTR,3.0,,1,,1,1,,,,,
H3AEK1,H3AEK1_LATCH,3.0,,1,,1,1,,,,,
H2TRZ0,H2TRZ0_TAKRU,3.0,,1,,1,1,,,,,
H9JQ50,H9JQ50_BOMMO,2.0,,,1,,1,,,,,
W5PA00,W5PA00_SHEEP,2.0,,1,1,,,,,,,
W5MN08,W5MN08_LEPOC,2.0,,1,1,,,,,,,
W5LMN0,W5LMN0_ASTMX,2.0,,1,1,,,,,,,
U3JYG2,U3JYG2_FICAL,2.0,,1,1,,,,,,,
U3J5F2,U3J5F2_ANAPL,2.0,,1,1,,,,,,,
B3KT46,B3KT46_HUMAN,2.0,,1,,,,,,1,,
Q4RZH2,Q4RZH2_TETNG,2.0,,,,,,1,,1,,
Q4RZG8,Q4RZG8_TETNG,2.0,,,,,,1,1,,,
Q28XK1,Q28XK1_DROPS,2.0,,,1,,1,,,,,
B4KQ87,B4KQ87_DROMO,2.0,,,1,,1,,,,,
M4AC36,M4AC36_XIPMA,2.0,,1,,,1,,,,,
M3XNL9,M3XNL9_MUSPF,2.0,,1,,,1,,,,,
G1QDA1,G1QDA1_MYOLU,2.0,,1,,1,,,,,,
I3K7Y3,I3K7Y3_ORENI,2.0,,,,1,1,,,,,
B3MIK6,B3MIK6_DROAN,2.0,,,,,1,1,,,,
D6WGF7,D6WGF7_TRICA,2.0,,,1,,1,,,,,
J9KAY3,J9KAY3_ACYPI,2.0,,,1,,1,,,,,
G1P2K2,G1P2K2_MYOLU,2.0,,1,,,1,,,,,
H2PHY0,H2PHY0_PONAB,2.0,,1,,,1,,,,,
M3WAX5,M3WAX5_FELCA,2.0,,1,,,1,,,,,
E0VYW9,E0VYW9_PEDHC,2.0,,,1,,1,,,,,
B4QAN2,B4QAN2_DROSI,1.0,,,,,1,,,,,
A9V5D8,A9V5D8_MONBE,1.0,,,,,,,,,,1
B3NN49,B3NN49_DROER,1.0,,,,,1,,,,,
B4HN04,B4HN04_DROSE,1.0,,,,,1,,,,,
A0A096NUI7,A0A096NUI7_PAPAN,1.0,,1,,,,,,,,
A0A096NKY0,A0A096NKY0_PAPAN,1.0,,1,,,,,,,,
A0A087XHT7,A0A087XHT7_POEFO,1.0,,1,,,,,,,,
B4GG97,B4GG97_DROPE,1.0,,,,,1,,,,,
W5PZF4,W5PZF4_SHEEP,1.0,,1,,,,,,,,
E9G1A6,E9G1A6_DAPPU,1.0,,,1,,,,,,,
E9J0H8,E9J0H8_SOLIN,1.0,,,,,1,,,,,
W5MML4,W5MML4_LEPOC,1.0,,1,,,,,,,,
W5LJK5,W5LJK5_ASTMX,1.0,,1,,,,,,,,
W4YD64,W4YD64_STRPU,1.0,,,1,,,,,,,
V3ZZT3,V3ZZT3_LOTGI,1.0,,,1,,,,,,,
U3KFZ0,U3KFZ0_FICAL,1.0,,1,,,,,,,,
S4RE95,S4RE95_PETMA,1.0,,1,,,,,,,,
R0LS43,R0LS43_ANAPL,1.0,,1,,,,,,,,
Q95QG3,Q95QG3_CAEEL,1.0,,,,,,1,,,,
Q6DF87,T170A_XENLA,1.0,,,,,,,,1,,
Q5DBW8,Q5DBW8_SCHJA,1.0,,,,,,1,,,,
I3LHC9,I3LHC9_PIG,1.0,,1,,,,,,,,
H3BUV5,H3BUV5_HUMAN,1.0,,1,,,,,,,,
H3BUI4,H3BUI4_HUMAN,1.0,,1,,,,,,,,
H3BS26,H3BS26_HUMAN,1.0,,1,,,,,,,,
H3BRD7,H3BRD7_HUMAN,1.0,,1,,,,,,,,
H3BQT8,H3BQT8_HUMAN,1.0,,1,,,,,,,,
W5PZF3,W5PZF3_SHEEP,1.0,,1,,,,,,,,
G6DKI2,G6DKI2_DANPL,1.0,,,1,,,,,,,
G1SWX1,G1SWX1_RABIT,1.0,,1,,,,,,,,
F7IJ97,F7IJ97_CALJA,1.0,,1,,,,,,,,
F6S4Y1,F6S4Y1_MACMU,1.0,,1,,,,,,,,
A0A087X7T3,A0A087X7T3_POEFO,1.0,,1,,,,,,,,
