,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000003511,NA,TF338338,EOG7B05FZ,NOG45675,HOG000133099,HBG063072,NA,Q765I0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q765I1,UTS2B_MOUSE,7.0,,1,,1,1,1,1,1,,1
Q765I0,UTS2B_HUMAN,7.0,,1,,1,1,1,1,1,,1
Q6Q273,Q6Q273_CHICK,7.0,,1,,1,1,1,1,1,,1
B1H380,B1H380_XENTR,4.0,,1,,1,1,,,1,,
Q765I2,UTS2B_RAT,4.0,,1,,,1,,,1,,1
G3UA99,G3UA99_LOXAF,3.0,,1,,1,1,,,,,
H0ZG50,H0ZG50_TAEGU,3.0,,1,,1,1,,,,,
G1LYL7,G1LYL7_AILME,3.0,,1,,1,1,,,,,
G1N642,G1N642_MELGA,3.0,,1,,1,1,,,,,
G1R4W4,G1R4W4_NOMLE,3.0,,1,,1,1,,,,,
G1SS87,G1SS87_RABIT,3.0,,1,,1,1,,,,,
G3SKR0,G3SKR0_GORGO,3.0,,1,,1,1,,,,,
H0VSY5,H0VSY5_CAVPO,3.0,,1,,1,1,,,,,
H2QNZ1,H2QNZ1_PANTR,3.0,,1,,1,1,,,,,
H2PCC8,H2PCC8_PONAB,3.0,,1,,1,1,,,,,
F7CCG2,F7CCG2_HORSE,3.0,,1,,1,1,,,,,
E1BJI3,E1BJI3_BOVIN,3.0,,1,,1,1,,,,,
F7GQU0,F7GQU0_MACMU,3.0,,1,,1,1,,,,,
E2RD22,E2RD22_CANFA,2.0,,1,,,1,,,,,
E2QW74,E2QW74_CANFA,2.0,,1,,1,,,,,,
M3WFV5,M3WFV5_FELCA,2.0,,1,,,1,,,,,
C9JU87,C9JU87_HUMAN,2.0,,1,,,,,1,,,
D2HKJ2,D2HKJ2_AILME,1.0,,,,,,,1,,,
F2Z3I1,F2Z3I1_HUMAN,1.0,,1,,,,,,,,
W5QGX1,W5QGX1_SHEEP,1.0,,1,,,,,,,,
F8WCV4,F8WCV4_HUMAN,1.0,,1,,,,,,,,
W5QGX0,W5QGX0_SHEEP,1.0,,1,,,,,,,,
I3IZU6,I3IZU6_ORENI,1.0,,,,,1,,,,,
Q3V249,Q3V249_MOUSE,1.0,,,,,,,,1,,
Q3V285,Q3V285_MOUSE,1.0,,,,,,,,1,,
U3J3A8,U3J3A8_ANAPL,1.0,,1,,,,,,,,
U3JXY9,U3JXY9_FICAL,1.0,,1,,,,,,,,
A0A096N1J9,A0A096N1J9_PAPAN,1.0,,1,,,,,,,,
