,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063798,KSRYFLR,TF337102,EOG7GN2P9,NOG238146,HOG000082461,HBG093908,NA,Q96D59
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8QZS5,RN183_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q96D59,RN183_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96D59,RN183_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8QZS5,RN183_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q3SWY0,RN183_BOVIN,7.0,,1,1,1,1,1,1,1,,
D2H2J1,D2H2J1_AILME,5.0,,1,1,1,1,,1,,,
D4A718,D4A718_RAT,5.0,,1,1,1,1,,,,,1
D4A718,D4A718_RAT,5.0,,1,1,1,1,,,,,1
G3TM09,G3TM09_LOXAF,4.0,,1,1,1,1,,,,,
G3WZF6,G3WZF6_SARHA,4.0,,1,1,1,1,,,,,
H0VHL5,H0VHL5_CAVPO,4.0,,1,1,1,1,,,,,
H3B9S2,H3B9S2_LATCH,4.0,,1,1,1,1,,,,,
G3QVM7,G3QVM7_GORGO,4.0,,1,1,1,1,,,,,
F6TT22,F6TT22_MACMU,4.0,,1,1,1,1,,,,,
H2QXQ5,H2QXQ5_PANTR,4.0,,1,1,1,1,,,,,
I3LQ18,I3LQ18_PIG,4.0,,1,1,1,1,,,,,
F6X363,F6X363_MONDO,4.0,,1,1,1,1,,,,,
H0XA13,H0XA13_OTOGA,4.0,,1,1,1,1,,,,,
G1SN41,G1SN41_RABIT,4.0,,1,1,1,1,,,,,
F6PW47,F6PW47_CALJA,4.0,,1,1,1,1,,,,,
G1S3Y2,G1S3Y2_NOMLE,4.0,,1,1,1,1,,,,,
F6S049,F6S049_HORSE,4.0,,1,1,1,1,,,,,
I3LWX6,I3LWX6_SPETR,4.0,,1,1,1,1,,,,,
M3W474,M3W474_FELCA,3.0,,1,1,,1,,,,,
K7FV10,K7FV10_PELSI,3.0,,1,,1,1,,,,,
F6YT78,F6YT78_XENTR,3.0,,1,,1,1,,,,,
F6UQF8,F6UQF8_XENTR,2.0,,1,,1,,,,,,
G3UK68,G3UK68_LOXAF,2.0,,1,,1,,,,,,
W5NLC7,W5NLC7_LEPOC,2.0,,1,1,,,,,,,
G3RSL6,G3RSL6_GORGO,2.0,,1,,1,,,,,,
H0Y1M0,H0Y1M0_OTOGA,2.0,,1,,1,,,,,,
H0W4P8,H0W4P8_CAVPO,2.0,,1,,1,,,,,,
F6VU25,F6VU25_HORSE,2.0,,1,,1,,,,,,
G3MWZ4,G3MWZ4_BOVIN,2.0,,1,,1,,,,,,
F7G671,F7G671_MACMU,2.0,,1,,1,,,,,,
G3USD9,G3USD9_MELGA,2.0,,1,,1,,,,,,
H3BGJ6,H3BGJ6_LATCH,2.0,,1,,1,,,,,,
H0Z0S4,H0Z0S4_TAEGU,2.0,,1,,1,,,,,,
F1QMY8,F1QMY8_DANRE,2.0,,1,,1,,,,,,
F1PXN1,F1PXN1_CANFA,2.0,,1,,1,,,,,,
F1P5D7,F1P5D7_CHICK,2.0,,1,,1,,,,,,
H9GHV4,H9GHV4_ANOCA,2.0,,1,,1,,,,,,
E7ERA6,RN223_HUMAN,2.0,,1,,1,,,,,,
K7EYL6,K7EYL6_PELSI,2.0,,1,,1,,,,,,
A5PMH4,A5PMH4_DANRE,1.0,,,,,,,,,,1
A0A087YRY7,A0A087YRY7_POEFO,1.0,,1,,,,,,,,
A0A087YRZ3,A0A087YRZ3_POEFO,1.0,,1,,,,,,,,
A0A096NE44,A0A096NE44_PAPAN,1.0,,1,,,,,,,,
A0A096NEL5,A0A096NEL5_PAPAN,1.0,,1,,,,,,,,
E2RIR1,E2RIR1_CANFA,1.0,,1,,,,,,,,
A8I9Q9,A8I9Q9_CHLRE,1.0,,,,,,1,,,,
B9I2W9,B9I2W9_POPTR,1.0,,,,,,1,,,,
D3ZF25,D3ZF25_RAT,1.0,,1,,,,,,,,
F1R9K8,F1R9K8_DANRE,1.0,,1,,,,,,,,
F7HNZ2,F7HNZ2_MACMU,1.0,,1,,,,,,,,
F7H521,F7H521_CALJA,1.0,,1,,,,,,,,
X1WBL1,X1WBL1_DANRE,1.0,,1,,,,,,,,
G1MDZ1,G1MDZ1_AILME,1.0,,1,,,,,,,,
G1MMZ2,G1MMZ2_AILME,1.0,,1,,,,,,,,
W5M316,W5M316_LEPOC,1.0,,1,,,,,,,,
W5LU92,W5LU92_ASTMX,1.0,,1,,,,,,,,
W5LS35,W5LS35_ASTMX,1.0,,1,,,,,,,,
W5K3W6,W5K3W6_ASTMX,1.0,,1,,,,,,,,
R0LTW0,R0LTW0_ANAPL,1.0,,1,,,,,,,,
Q9D7D1,RN225_MOUSE,1.0,,1,,,,,,,,
M4AFU3,M4AFU3_XIPMA,1.0,,1,,,,,,,,
M4ACY2,M4ACY2_XIPMA,1.0,,1,,,,,,,,
M3Z8M4,M3Z8M4_MUSPF,1.0,,1,,,,,,,,
M3XIK9,M3XIK9_LATCH,1.0,,1,,,,,,,,
M3WRY0,M3WRY0_FELCA,1.0,,1,,,,,,,,
M0QZC1,RN225_HUMAN,1.0,,1,,,,,,,,
I3JS44,I3JS44_ORENI,1.0,,,,1,,,,,,
H3CZX6,H3CZX6_TETNG,1.0,,1,,,,,,,,
H3C9J0,H3C9J0_TETNG,1.0,,1,,,,,,,,
H2SK05,H2SK05_TAKRU,1.0,,1,,,,,,,,
H2P0G8,H2P0G8_PONAB,1.0,,1,,,,,,,,
H2MMR3,H2MMR3_ORYLA,1.0,,1,,,,,,,,
H2MMR2,H2MMR2_ORYLA,1.0,,1,,,,,,,,
H0XWB6,H0XWB6_OTOGA,1.0,,1,,,,,,,,
G3SAP2,G3SAP2_GORGO,1.0,,1,,,,,,,,
G3NAE7,G3NAE7_GASAC,1.0,,1,,,,,,,,
