,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K14820,ENSGT00390000014467,KPKRNEK,TF105766,EOG7Z95MP,COG5154,HOG000212937,HBG039185,NA,Q8TDN6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9DCA5,BRX1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q8TDN6,BRX1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q3SZZ0,BRX1_BOVIN,8.0,1,1,1,1,1,1,1,1,,
D2HC18,D2HC18_AILME,6.0,1,1,1,1,1,,1,,,
G1T7H4,G1T7H4_RABIT,5.0,1,1,1,1,1,,,,,
H3AAR1,H3AAR1_LATCH,5.0,1,1,1,1,1,,,,,
Q08235,BRX1_YEAST,5.0,1,1,,,,1,1,,,1
Q5ZLV9,Q5ZLV9_CHICK,5.0,1,,,,,1,1,1,,1
Q7Q7D7,Q7Q7D7_ANOGA,5.0,1,,,,1,1,1,,,1
Q4QQT6,BRX1_RAT,5.0,1,,,,,1,1,1,,1
Q7SZR8,Q7SZR8_DANRE,5.0,1,,,,,1,1,1,,1
F7CY53,F7CY53_HORSE,5.0,1,1,1,1,1,,,,,
F7C078,F7C078_MONDO,5.0,1,1,1,1,1,,,,,
F7A5Q1,F7A5Q1_MACMU,5.0,1,1,1,1,1,,,,,
F1R9X4,F1R9X4_DANRE,5.0,1,1,1,1,1,,,,,
A7RXB6,A7RXB6_NEMVE,5.0,1,,,,1,1,1,,,1
B3S7I8,B3S7I8_TRIAD,4.0,1,,,,1,1,1,,,
B8C0T2,B8C0T2_THAPS,4.0,1,,,,,1,1,,,1
Q1K5J6,Q1K5J6_NEUCR,4.0,1,,,,,1,1,,,1
Q1DGW4,Q1DGW4_AEDAE,4.0,1,,,,1,1,1,,,
Q17JQ6,Q17JQ6_AEDAE,4.0,1,,,,1,1,1,,,
B6HTQ8,B6HTQ8_PENCW,4.0,1,,1,,,1,1,,,
Q9C928,Q9C928_ARATH,4.0,1,,,,,1,1,,,1
P34524,BRX1_CAEEL,4.0,1,1,,,,1,,,,1
M3ZQ10,M3ZQ10_XIPMA,4.0,1,1,1,,1,,,,,
B7QMN0,B7QMN0_IXOSC,4.0,1,,,,1,1,,,,1
M3X634,M3X634_FELCA,4.0,1,1,1,,1,,,,,
I3MDU9,I3MDU9_SPETR,4.0,,1,1,1,1,,,,,
G3WB09,G3WB09_SARHA,4.0,,1,1,1,1,,,,,
F1NSS7,F1NSS7_CHICK,4.0,,1,1,1,1,,,,,
F6YS13,F6YS13_CALJA,4.0,1,1,1,1,,,,,,
G1RWF7,G1RWF7_NOMLE,4.0,,1,1,1,1,,,,,
G3QNM9,G3QNM9_GORGO,4.0,,1,1,1,1,,,,,
G3SZN3,G3SZN3_LOXAF,4.0,,1,1,1,1,,,,,
G3V8B4,G3V8B4_RAT,4.0,,1,1,1,1,,,,,
H0WBB1,H0WBB1_CAVPO,4.0,,1,1,1,1,,,,,
Q9HGL6,BRX1_SCHPO,4.0,1,,,,,1,1,,,1
H0XC12,H0XC12_OTOGA,4.0,,1,1,1,1,,,,,
H0YUQ7,H0YUQ7_TAEGU,4.0,,1,1,1,1,,,,,
H2LMZ1,H2LMZ1_ORYLA,4.0,,1,1,1,1,,,,,
H2PFB2,H2PFB2_PONAB,4.0,,1,1,1,1,,,,,
H2TVU2,H2TVU2_TAKRU,4.0,,1,1,1,1,,,,,
H3CPZ2,H3CPZ2_TETNG,4.0,,1,1,1,1,,,,,
H9GE57,H9GE57_ANOCA,4.0,,1,1,1,1,,,,,
F1SND4,F1SND4_PIG,4.0,,1,1,1,1,,,,,
B0WRY6,B0WRY6_CULQU,4.0,1,,,,1,1,1,,,
Q9VZE6,BRX1_DROME,4.0,1,,,,1,1,,,,1
B0BMM8,B0BMM8_XENTR,4.0,1,,,,,1,1,1,,
C5DND1,C5DND1_LACTC,3.0,1,,,,,1,1,,,
Q388D6,Q388D6_TRYB2,3.0,1,,,,,1,1,,,
B4LBQ6,B4LBQ6_DROVI,3.0,1,,,,1,1,,,,
A4RUE9,A4RUE9_OSTLU,3.0,1,,,,,1,1,,,
Q4UI17,Q4UI17_THEAN,3.0,1,,,,,1,1,,,
H2QQR2,H2QQR2_PANTR,3.0,,1,,1,1,,,,,
Q4QCN5,Q4QCN5_LEIMA,3.0,1,,,,,,1,,,1
B4NLY8,B4NLY8_DROWI,3.0,1,,,,1,1,,,,
Q4N7J1,Q4N7J1_THEPA,3.0,1,,,,,1,1,,,
B4PHT4,B4PHT4_DROYA,3.0,1,,,,1,1,,,,
A8Y3I7,A8Y3I7_CAEBR,3.0,,,,,1,1,1,,,
I3JLJ2,I3JLJ2_ORENI,3.0,,,1,1,1,,,,,
H2ZB16,H2ZB16_CIOSA,3.0,,1,,1,1,,,,,
B4J1H7,B4J1H7_DROGR,3.0,1,,,,1,1,,,,
A7E9W9,A7E9W9_SCLS1,3.0,1,,,,,1,,,,1
C5XWF5,C5XWF5_SORBI,3.0,1,,,,,1,1,,,
C5DR55,C5DR55_ZYGRC,3.0,1,,,,,1,1,,,
Q01CN9,Q01CN9_OSTTA,3.0,1,,,,,1,1,,,
C4R3Q1,C4R3Q1_PICPG,3.0,1,,,,,1,1,,,
K7FWM5,K7FWM5_PELSI,3.0,,1,,1,1,,,,,
U3JHD4,U3JHD4_FICAL,3.0,1,1,1,,,,,,,
M3YUL8,M3YUL8_MUSPF,3.0,,1,1,,1,,,,,
B9W9M4,B9W9M4_CANDC,3.0,1,,,,,1,1,,,
B9HZX2,B9HZX2_POPTR,3.0,1,,,,,1,1,,,
A4HYZ6,A4HYZ6_LEIIN,3.0,1,,1,,,1,,,,
A2E828,A2E828_TRIVA,3.0,1,,,,,1,,,,1
B3M906,B3M906_DROAN,3.0,1,,,,1,1,,,,
Q54JN0,BRX1_DICDI,3.0,1,,,,,1,,,,1
Q5A3N8,Q5A3N8_CANAL,3.0,1,,,,,1,,,,1
H0WAF8,H0WAF8_CAVPO,3.0,,1,,1,1,,,,,
G1MVY6,G1MVY6_MELGA,3.0,,1,,1,1,,,,,
F7E3M4,F7E3M4_XENTR,3.0,,1,,1,1,,,,,
G1Q1V0,G1Q1V0_MYOLU,3.0,,1,,1,1,,,,,
A9UXR5,A9UXR5_MONBE,3.0,1,,,,,1,,,,1
F6UJD6,F6UJD6_CIOIN,3.0,,1,,1,1,,,,,
Q5KH08,Q5KH08_CRYNJ,3.0,1,,,,,,1,,,1
E2QZ99,E2QZ99_CANFA,3.0,,1,,1,1,,,,,
