,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10045,ENSGT00390000010115,TWASRET,TF332940,EOG7JQBQF,NOG284462,NA,HBG006698,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NKQ9,CGB1_HUMAN,7.0,1,1,1,1,1,1,,1,,
P01233,CGHB_HUMAN,6.0,1,1,,1,1,1,,1,,
P18427,FSHB_RAT,4.0,,1,,1,1,,,1,,
Q6IY74,LSHB_RABIT,4.0,,1,,1,1,,,1,,
B3DJU0,B3DJU0_DANRE,4.0,,1,,1,1,,,1,,
Q6TCF5,Q6TCF5_DANRE,4.0,,1,,1,1,,,1,,
G3RFU6,G3RFU6_GORGO,4.0,,1,1,1,1,,,,,
Q8QGF8,Q8QGF8_CHICK,4.0,,1,,1,1,,,1,,
Q8WNB7,Q8WNB7_MACMU,4.0,,1,,1,1,,,1,,
Q2PUH2,FSHB_PANTR,4.0,,1,,1,1,,,1,,
Q28376,TSHB_HORSE,4.0,,1,,1,1,,,1,,
Q6E0W4,Q6E0W4_PELSI,4.0,,1,,1,1,,,1,,
Q1M154,Q1M154_PETMA,4.0,,1,,1,1,,,1,,
Q9JK69,FSHB_CAVPO,4.0,,1,,1,1,,,1,,
H2NZK9,H2NZK9_PONAB,4.0,,1,1,1,1,,,,,
Q60687,FSHB_MOUSE,4.0,,1,,1,1,,,1,,
P04652,TSHB_RAT,4.0,,1,,1,1,,,1,,
O57340,TSHB_CHICK,4.0,,1,,1,1,,,1,,
P01229,LSHB_HUMAN,4.0,,1,,1,1,,,1,,
P01222,TSHB_HUMAN,4.0,,1,,1,1,,,1,,
P01223,TSHB_BOVIN,4.0,,1,,1,1,,,1,,
P01225,FSHB_HUMAN,4.0,,1,,1,1,,,1,,
P01226,FSHB_HORSE,4.0,,1,,1,1,,,1,,
P01232,LSHB_PIG,4.0,,1,,1,1,,,1,,
P01228,FSHB_PIG,4.0,,1,,1,1,,,1,,
P04651,LSHB_BOVIN,4.0,,1,,1,1,,,1,,
P04837,FSHB_BOVIN,4.0,,1,,1,1,,,1,,
G1MBH1,G1MBH1_AILME,3.0,,1,,1,1,,,,,
G1MS74,G1MS74_MELGA,3.0,,1,,1,1,,,,,
G1N2F1,G1N2F1_MELGA,3.0,,1,,1,1,,,,,
G1P8G8,G1P8G8_MYOLU,3.0,,1,,1,1,,,,,
G1QYA2,G1QYA2_NOMLE,3.0,,1,,1,1,,,,,
