,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000001867,IRGLQHQ,TF335932,EOG7JX36W,NOG46130,HOG000111275,HBG107568,NA,Q8TAB5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8TAB5,CA216_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8BP99,CA216_MOUSE,7.0,,1,1,1,1,1,1,1,,
H0WE31,H0WE31_CAVPO,4.0,,1,1,1,1,,,,,
E1C9J7,E1C9J7_CHICK,4.0,,1,,1,1,,,,,1
G1MJR2,G1MJR2_AILME,4.0,,1,1,1,1,,,,,
G1PW30,G1PW30_MYOLU,4.0,,1,1,1,1,,,,,
G1RJS1,G1RJS1_NOMLE,4.0,,1,1,1,1,,,,,
G3RH38,G3RH38_GORGO,4.0,,1,1,1,1,,,,,
G3TTW2,G3TTW2_LOXAF,4.0,,1,1,1,1,,,,,
G3WXP5,G3WXP5_SARHA,4.0,,1,1,1,1,,,,,
F6R2T8,F6R2T8_HORSE,4.0,,1,1,1,1,,,,,
H0WPG8,H0WPG8_OTOGA,4.0,,1,1,1,1,,,,,
F1MQN2,F1MQN2_BOVIN,4.0,,1,1,1,1,,,,,
F7FGG4,F7FGG4_MONDO,4.0,,1,1,1,1,,,,,
E2QW37,E2QW37_CANFA,4.0,,1,1,1,1,,,,,
H2PYM6,H2PYM6_PANTR,4.0,,1,1,1,1,,,,,
D3ZVC1,D3ZVC1_RAT,4.0,,1,,1,1,,,,,1
I3LXH6,I3LXH6_SPETR,4.0,,1,1,1,1,,,,,
D3ZVC1,D3ZVC1_RAT,4.0,,1,,1,1,,,,,1
F7HI96,F7HI96_MACMU,4.0,,1,1,1,1,,,,,
H0ZWI8,H0ZWI8_TAEGU,3.0,,1,,1,1,,,,,
H0YTU1,H0YTU1_TAEGU,3.0,,1,,1,1,,,,,
K7EWE7,K7EWE7_PELSI,3.0,,1,,1,1,,,,,
M3WJN0,M3WJN0_FELCA,3.0,,1,1,,1,,,,,
H9GP81,H9GP81_ANOCA,3.0,,1,,1,1,,,,,
H2N809,H2N809_PONAB,3.0,,1,,1,1,,,,,
F7ALN4,F7ALN4_XENTR,3.0,,1,,1,1,,,,,
F7IKJ1,F7IKJ1_CALJA,3.0,,1,1,1,,,,,,
M3Z4G6,M3Z4G6_MUSPF,3.0,,1,1,,1,,,,,
E7F873,E7F873_DANRE,2.0,,1,,,1,,,,,
D2H609,D2H609_AILME,2.0,,,1,,,,1,,,
B4DG08,B4DG08_HUMAN,2.0,,,,,,,1,1,,
A6QP12,A6QP12_BOVIN,2.0,,,,,,1,1,,,
A4IH95,CA216_XENTR,2.0,,,,,,1,,1,,
W5NQU9,W5NQU9_SHEEP,2.0,,1,1,,,,,,,
F7IKV3,F7IKV3_CALJA,2.0,,1,,,1,,,,,
H2M1F5,H2M1F5_ORYLA,2.0,,1,,,1,,,,,
H3BA81,H3BA81_LATCH,2.0,,1,,,1,,,,,
H3BA82,H3BA82_LATCH,2.0,,1,,1,,,,,,
H3DR87,H3DR87_TETNG,2.0,,1,,,1,,,,,
W5LX77,W5LX77_LEPOC,1.0,,1,,,,,,,,
H0YTU4,H0YTU4_TAEGU,1.0,,1,,,,,,,,
Q4R9W4,Q4R9W4_TETNG,1.0,,,,,,1,,,,
Q4R9W6,Q4R9W6_TETNG,1.0,,,,,,1,,,,
Q52KN3,CA216_XENLA,1.0,,,,,,,,1,,
U3I1N0,U3I1N0_ANAPL,1.0,,1,,,,,,,,
U3KIN5,U3KIN5_FICAL,1.0,,1,,,,,,,,
A0A096ML27,A0A096ML27_PAPAN,1.0,,1,,,,,,,,
A0A096LY65,A0A096LY65_POEFO,1.0,,1,,,,,,,,
