,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K09239,ENSGT00530000063161,MERIPGE,TF331837,EOG7V1FPQ,NOG296349,HOG000155774,HBG095595,NA,Q5T1R4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5T1R4,ZEP3_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
A2A884,ZEP3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
A2A884,ZEP3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q5T1R4,ZEP3_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
D3ZRB5,D3ZRB5_RAT,6.0,1,1,1,1,1,,,,,1
D3ZRB5,D3ZRB5_RAT,6.0,1,1,1,1,1,,,,,1
P31629,ZEP2_HUMAN,6.0,1,1,,1,1,1,1,,,
Q3UHF7,ZEP2_MOUSE,6.0,1,1,,1,1,1,1,,,
D2GUS3,D2GUS3_AILME,5.0,1,1,,1,1,,1,,,
F6WVU0,F6WVU0_MONDO,5.0,1,1,1,1,1,,,,,
H2R953,H2R953_PANTR,5.0,1,1,1,1,1,,,,,
G3RLC8,G3RLC8_GORGO,5.0,1,1,1,1,1,,,,,
K7GD73,K7GD73_PELSI,5.0,1,1,1,1,1,,,,,
G1MQB3,G1MQB3_MELGA,4.0,,1,1,1,1,,,,,
F7FU49,F7FU49_MACMU,4.0,1,1,1,1,,,,,,
F6W985,F6W985_ORNAN,4.0,1,1,,1,1,,,,,
H0XKM1,H0XKM1_OTOGA,4.0,,1,1,1,1,,,,,
F7A5K8,F7A5K8_HORSE,4.0,,1,1,1,1,,,,,
G1SNA1,G1SNA1_RABIT,4.0,1,1,,1,1,,,,,
Q5TZI9,Q5TZI9_DANRE,4.0,,1,,,1,1,1,,,
G1SEY8,G1SEY8_RABIT,4.0,,1,1,1,1,,,,,
G1RYI8,G1RYI8_NOMLE,4.0,1,1,,1,1,,,,,
G1RNU5,G1RNU5_NOMLE,4.0,,1,1,1,1,,,,,
