,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17257,ENSGT00390000013367,DQKEPYF,TF105620,EOG7BW0HZ,NOG254127,HOG000045462,HBG050269,NA,Q8TB96
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8TB96,TIP_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q99KW9,TIP_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q2TBX9,Q2TBX9_BOVIN,8.0,1,1,1,1,1,1,1,1,,
Q5U355,Q5U355_RAT,6.0,1,1,1,1,1,,,1,,
Q7PZK9,Q7PZK9_ANOGA,6.0,1,,1,,1,1,1,,,1
Q9VUQ7,Q9VUQ7_DROME,6.0,1,1,1,,1,1,,,,1
F6RCT6,F6RCT6_MACMU,5.0,1,1,1,1,1,,,,,
E7F1C8,E7F1C8_DANRE,5.0,1,1,1,1,1,,,,,
Q176J4,Q176J4_AEDAE,5.0,1,,1,,1,1,1,,,
B7PQP3,B7PQP3_IXOSC,5.0,1,,1,,1,1,,,,1
H2QB19,H2QB19_PANTR,5.0,1,1,1,1,1,,,,,
F1PUU9,F1PUU9_CANFA,5.0,1,1,1,1,1,,,,,
Q5ZL76,Q5ZL76_CHICK,5.0,1,,,,,1,1,1,,1
K7G1Y1,K7G1Y1_PELSI,5.0,1,1,1,1,1,,,,,
B0WFT7,B0WFT7_CULQU,5.0,1,,1,,1,1,1,,,
I3MA77,I3MA77_SPETR,4.0,,1,1,1,1,,,,,
F6SWB1,F6SWB1_XENTR,4.0,,1,1,1,1,,,,,
G3S0L2,G3S0L2_GORGO,4.0,,1,1,1,1,,,,,
F6ZBQ3,F6ZBQ3_CALJA,4.0,,1,1,1,1,,,,,
F6ZSP5,F6ZSP5_HORSE,4.0,,1,1,1,1,,,,,
G3PPY6,G3PPY6_GASAC,4.0,,1,1,1,1,,,,,
F7AMG3,F7AMG3_ORNAN,4.0,,1,1,1,1,,,,,
P30639,TG256_CAEEL,4.0,1,1,,,,1,,,,1
G3SZ27,G3SZ27_LOXAF,4.0,,1,1,1,1,,,,,
G3W8J6,G3W8J6_SARHA,4.0,,1,1,1,1,,,,,
G1N0M3,G1N0M3_MELGA,4.0,,1,1,1,1,,,,,
G1NXD9,G1NXD9_MYOLU,4.0,,1,1,1,1,,,,,
Q54DA0,Q54DA0_DICDI,4.0,1,,1,,,1,,,,1
H0XAP7,H0XAP7_OTOGA,4.0,,1,1,1,1,,,,,
M3W9U9,M3W9U9_FELCA,4.0,1,1,1,,1,,,,,
B4LH86,B4LH86_DROVI,4.0,1,,1,,1,1,,,,
A7RPV4,A7RPV4_NEMVE,4.0,1,,,,1,1,,,,1
H9GKF2,H9GKF2_ANOCA,4.0,1,1,,1,1,,,,,
K7E0Q9,K7E0Q9_MONDO,4.0,,1,1,1,1,,,,,
H0V7P6,H0V7P6_CAVPO,4.0,,1,1,1,1,,,,,
B4IWV0,B4IWV0_DROGR,4.0,1,,1,,1,1,,,,
H2TIZ6,H2TIZ6_TAKRU,4.0,,1,1,1,1,,,,,
B4NLX1,B4NLX1_DROWI,4.0,1,,1,,1,1,,,,
B4PCH4,B4PCH4_DROYA,4.0,1,,1,,1,1,,,,
H2NQT7,H2NQT7_PONAB,4.0,,1,1,1,1,,,,,
H0ZEP6,H0ZEP6_TAEGU,4.0,,1,1,1,1,,,,,
G1TA79,G1TA79_RABIT,4.0,1,1,,1,1,,,,,
G1S0X8,G1S0X8_NOMLE,4.0,,1,1,1,1,,,,,
H2ZV86,H2ZV86_LATCH,3.0,,1,,1,1,,,,,
H3D2W0,H3D2W0_TETNG,3.0,,1,,1,1,,,,,
I3J501,I3J501_ORENI,3.0,,,1,1,1,,,,,
J9JL54,J9JL54_ACYPI,3.0,1,,1,,1,,,,,
I3LP20,I3LP20_PIG,3.0,,1,,1,1,,,,,
G1LDY2,G1LDY2_AILME,3.0,,1,,1,1,,,,,
Q8R4E1,TIP_RAT,3.0,,,,,,1,1,1,,
A8WNI1,A8WNI1_CAEBR,3.0,1,,,,1,1,,,,
B3M506,B3M506_DROAN,3.0,1,,,,1,1,,,,
B3RJ49,B3RJ49_TRIAD,3.0,1,,,,1,1,,,,
B4IU15,B4IU15_DROYA,3.0,1,,,,1,1,,,,
B4KUJ6,B4KUJ6_DROMO,3.0,1,,1,,1,,,,,
Q4S8G0,Q4S8G0_TETNG,3.0,,1,,,1,,,1,,
D6X2M4,D6X2M4_TRICA,3.0,1,,1,,1,,,,,
C3ZB97,C3ZB97_BRAFL,3.0,1,,,,,1,,,,1
Q8I3H7,TIP_PLAF7,3.0,1,,,,,1,,,,1
E0VK52,E0VK52_PEDHC,3.0,1,,1,,1,,,,,
Q5R9I8,Q5R9I8_PONAB,3.0,1,,,,,,1,1,,
Q5KPT7,Q5KPT7_CRYNJ,3.0,1,,1,,,,,,,1
F1NWE2,F1NWE2_CHICK,3.0,,1,1,,1,,,,,
H2MJS1,H2MJS1_ORYLA,2.0,,1,,,1,,,,,
B4QL35,B4QL35_DROSI,2.0,1,,,,1,,,,,
B4HIG3,B4HIG3_DROSE,2.0,1,,,,1,,,,,
W5MDJ3,W5MDJ3_LEPOC,2.0,,1,1,,,,,,,
H2Y720,H2Y720_CIOSA,2.0,,1,,,1,,,,,
B4GUA6,B4GUA6_DROPE,2.0,1,,,,1,,,,,
F0ZUQ5,F0ZUQ5_DICPU,2.0,1,,1,,,,,,,
B3NI39,B3NI39_DROER,2.0,1,,,,1,,,,,
F6WZ97,F6WZ97_CIOIN,2.0,,1,,,1,,,,,
W5Q3P7,W5Q3P7_SHEEP,2.0,,1,1,,,,,,,
H2Y719,H2Y719_CIOSA,2.0,,1,,,1,,,,,
Q2M1C8,Q2M1C8_DROPS,2.0,1,,,,1,,,,,
L7N0R1,L7N0R1_CIOIN,2.0,,1,,,1,,,,,
Q383A8,Q383A8_TRYB2,2.0,1,,,,,1,,,,
U3JBH9,U3JBH9_FICAL,2.0,,1,1,,,,,,,
M4AC96,M4AC96_XIPMA,2.0,,1,,,1,,,,,
M3XV44,M3XV44_MUSPF,2.0,,1,,,1,,,,,
U3IT24,U3IT24_ANAPL,2.0,,1,1,,,,,,,
Q4UAP4,Q4UAP4_THEAN,2.0,1,,,,,1,,,,
K7E7Y1,K7E7Y1_ORNAN,2.0,,1,,,1,,,,,
V4AEZ0,V4AEZ0_LOTGI,2.0,1,,1,,,,,,,
Q7RRM4,TIP_PLAYO,2.0,1,,,,,1,,,,
Q8SUC0,Q8SUC0_ENCCU,2.0,1,,,,,1,,,,
Q95KC8,TIP_MACFA,1.0,,,,,,,,1,,
E2LZ11,E2LZ11_MONPE,1.0,1,,,,,,,,,
B4DXC2,B4DXC2_HUMAN,1.0,,,,,,,,1,,
V2WZG9,V2WZG9_MONRO,1.0,1,,,,,,,,,
E0S9S5,E0S9S5_ENCIT,1.0,1,,,,,,,,,
D8PU31,D8PU31_SCHCM,1.0,1,,,,,,,,,
U3DWU5,U3DWU5_CALJA,1.0,1,,,,,,,,,
C4LZ19,C4LZ19_ENTHI,1.0,1,,,,,,,,,
C4V815,C4V815_NOSCE,1.0,1,,,,,,,,,
T1ELD7,T1ELD7_HELRO,1.0,1,,,,,,,,,
S7QFN9,S7QFN9_GLOTA,1.0,1,,,,,,,,,
R9AHC6,R9AHC6_WALI9,1.0,1,,,,,,,,,
B4DSA2,B4DSA2_HUMAN,1.0,,,,,,,,1,,
R7QR67,R7QR67_CHOCR,1.0,1,,,,,,,,,
R1FJF9,R1FJF9_EMIHU,1.0,1,,,,,,,,,
R1D1Q2,R1D1Q2_EMIHU,1.0,1,,,,,,,,,
