,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,TF331273,EOG71P29R,NOG74230,NA,HBG107724,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y471,CMAH_HUMAN,4.0,,,,1,1,1,,1,,
Q6GML1,CMAH_DANRE,3.0,,,,1,1,1,,,,
Q61419,CMAH_MOUSE,3.0,,,,1,1,1,,,,
O97598,CMAH_PANTR,3.0,,,,1,1,1,,,,
A6Y8N5,A6Y8N5_FELCA,2.0,,,,1,,1,,,,
F1LNX8,F1LNX8_RAT,2.0,,,,1,1,,,,,
H2PI34,H2PI34_PONAB,2.0,,,,1,1,,,,,
H2MYG3,H2MYG3_ORYLA,2.0,,,,1,1,,,,,
H0WJ77,H0WJ77_OTOGA,2.0,,,,1,1,,,,,
H0W4Z4,H0W4Z4_CAVPO,2.0,,,,1,1,,,,,
G3SM54,G3SM54_LOXAF,2.0,,,,1,1,,,,,
G3Q7A3,G3Q7A3_GASAC,2.0,,,,1,1,,,,,
G1SLT1,G1SLT1_RABIT,2.0,,,,1,1,,,,,
G1QQM2,G1QQM2_NOMLE,2.0,,,,1,1,,,,,
G1LUA6,G1LUA6_AILME,2.0,,,,1,1,,,,,
G1K9Z5,G1K9Z5_ANOCA,2.0,,,,1,1,,,,,
H2ZVX4,H2ZVX4_LATCH,2.0,,,,1,1,,,,,
F7E4I4,F7E4I4_XENTR,2.0,,,,1,1,,,,,
F7CW19,F7CW19_MONDO,2.0,,,,1,1,,,,,
F6UMF9,F6UMF9_MACMU,2.0,,,,1,1,,,,,
F6Q6D8,F6Q6D8_HORSE,2.0,,,,1,1,,,,,
F1RUD5,F1RUD5_PIG,2.0,,,,1,1,,,,,
F1MD44,F1MD44_BOVIN,2.0,,,,1,1,,,,,
H2S8U4,H2S8U4_TAKRU,2.0,,,,1,1,,,,,
G3VG75,G3VG75_SARHA,2.0,,,,1,1,,,,,
I3JMS6,I3JMS6_ORENI,2.0,,,,1,1,,,,,
I3MKB3,I3MKB3_SPETR,2.0,,,,1,1,,,,,
J9NZG1,J9NZG1_CANFA,2.0,,,,1,1,,,,,
H3C0N6,H3C0N6_TETNG,1.0,,,,1,,,,,,
C3ZDW0,C3ZDW0_BRAFL,1.0,,,,,,1,,,,
Q501W3,Q501W3_RAT,1.0,,,,,,1,,,,
Q53IM4,Q53IM4_TAKRU,1.0,,,,,,1,,,,
Q5R781,Q5R781_PONAB,1.0,,,,,,,,1,,
C3ZZK3,C3ZZK3_BRAFL,1.0,,,,,,1,,,,
C3ZSG5,C3ZSG5_BRAFL,1.0,,,,,,1,,,,
C3ZDW1,C3ZDW1_BRAFL,1.0,,,,,,1,,,,
C3Y0T3,C3Y0T3_BRAFL,1.0,,,,,,1,,,,
C3YZ89,C3YZ89_BRAFL,1.0,,,,,,1,,,,
Q1IKT4,Q1IKT4_KORVE,1.0,,,,,,1,,,,
B7Z8E8,B7Z8E8_HUMAN,1.0,,,,,,1,,,,
B5DEW6,B5DEW6_XENTR,1.0,,,,,,1,,,,
A8G688,A8G688_PROM2,1.0,,,,,,1,,,,
Q8MJC6,CMAH_PONPY,1.0,,,,,,1,,,,
Q4T720,Q4T720_TETNG,1.0,,,,,,1,,,,
Q00S34,Q00S34_OSTTA,1.0,,,,,,1,,,,
Q1DEW8,Q1DEW8_MYXXD,1.0,,,,,,1,,,,
H3CDR9,H3CDR9_TETNG,1.0,,,,,1,,,,,
F7I525,F7I525_CALJA,1.0,,,,,1,,,,,
O19074,CMAH_PIG,1.0,,,,,,1,,,,
M4A6C7,M4A6C7_XIPMA,1.0,,,,,1,,,,,
M3ZW04,M3ZW04_XIPMA,1.0,,,,,1,,,,,
M3VZ61,M3VZ61_FELCA,1.0,,,,,1,,,,,
G3Q797,G3Q797_GASAC,1.0,,,,,1,,,,,
G3Q799,G3Q799_GASAC,1.0,,,,1,,,,,,
J9P1X1,J9P1X1_CANFA,1.0,,,,,1,,,,,
G3QPH8,G3QPH8_GORGO,1.0,,,,1,,,,,,
G3SHR4,G3SHR4_GORGO,1.0,,,,,1,,,,,
Q9TUJ2,CMAH_MACMU,1.0,,,,,,1,,,,
I3JML4,I3JML4_ORENI,1.0,,,,1,,,,,,
A2C1R5,A2C1R5_PROM1,1.0,,,,,,1,,,,
