,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K13157,ENSGT00530000063786,NKKIEFH,TF324298,EOG7JDQXS,NOG128363,HOG000007217,HBG057088,NA,Q96LT9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4G055,RBM40_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q96LT9,RBM40_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q4G055,RBM40_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q3UZ01,RBM40_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q3UZ01,RBM40_MOUSE,8.0,1,1,1,1,,1,1,1,,1
F7CKT0,F7CKT0_CALJA,5.0,1,1,1,1,1,,,,,
H3A9X6,H3A9X6_LATCH,5.0,1,1,1,1,1,,,,,
F1PE39,F1PE39_CANFA,5.0,1,1,1,1,1,,,,,
H2QZU7,H2QZU7_PANTR,5.0,1,1,1,1,1,,,,,
A7RZI8,A7RZI8_NEMVE,5.0,1,,,,1,1,1,,,1
F6PKA9,F6PKA9_MONDO,5.0,1,1,1,1,1,,,,,
Q29RB3,Q29RB3_DANRE,5.0,1,,,,,1,1,1,,1
Q3MHP0,RBM40_BOVIN,4.0,1,,,,,1,1,1,,
Q17B54,Q17B54_AEDAE,4.0,1,,1,,1,1,,,,
G3UCW0,G3UCW0_LOXAF,4.0,,1,1,1,1,,,,,
M3X571,M3X571_FELCA,4.0,1,1,1,,1,,,,,
G3WEL2,G3WEL2_SARHA,4.0,,1,1,1,1,,,,,
C3YIT3,C3YIT3_BRAFL,4.0,1,,1,,,1,,,,1
Q5TWC9,Q5TWC9_ANOGA,4.0,1,,,,1,1,,,,1
B3S354,B3S354_TRIAD,4.0,1,,,,1,1,1,,,
H0XTE4,H0XTE4_OTOGA,4.0,,1,1,1,1,,,,,
B7QBY1,B7QBY1_IXOSC,4.0,1,,,,1,1,,,,1
H2LM89,H2LM89_ORYLA,4.0,,1,1,1,1,,,,,
H2RR56,H2RR56_TAKRU,4.0,,1,1,1,1,,,,,
I3N9R4,I3N9R4_SPETR,4.0,,1,1,1,1,,,,,
H2YH96,H2YH96_CIOSA,4.0,,1,1,1,1,,,,,
G1SKW8,G1SKW8_RABIT,4.0,1,1,,1,1,,,,,
H2XSI8,H2XSI8_CIOIN,4.0,,1,1,1,1,,,,,
G1Q5B4,G1Q5B4_MYOLU,4.0,,1,1,1,1,,,,,
G1L4I6,G1L4I6_AILME,4.0,,1,1,1,1,,,,,
F1S572,F1S572_PIG,4.0,,1,1,1,1,,,,,
