,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000009502,NA,NA,EOG7XSTGJ,NOG129282,HOG000170934,HBG108703,NA,A6NFR6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6NFR6,CE060_HUMAN,6.0,,1,,,1,1,1,1,,1
A6NFR6,CE060_HUMAN,6.0,,1,,,1,1,1,1,,1
Q8NA96,YE027_HUMAN,2.0,,,,,,1,1,,,
H2RIM0,H2RIM0_PANTR,2.0,,1,,,1,,,,,
G3RG83,G3RG83_GORGO,2.0,,1,,,1,,,,,
H2R542,H2R542_PANTR,1.0,,1,,,,,,,,
H2PHL4,H2PHL4_PONAB,1.0,,1,,,,,,,,
H2PHL3,H2PHL3_PONAB,1.0,,1,,,,,,,,
G3S8R1,G3S8R1_GORGO,1.0,,1,,,,,,,,
F7GBL7,F7GBL7_MACMU,1.0,,1,,,,,,,,
A0A096P506,A0A096P506_PAPAN,1.0,,1,,,,,,,,
