,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,RRDRFKQ,TF331362,EOG76HQ1F,NOG130045,HOG000033965,HBG100446,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8BLS7,SWAHA_MOUSE,6.0,,,1,1,1,1,1,1,,
Q2M3V2,SWAHA_HUMAN,6.0,,,1,1,1,1,1,1,,
I3MNV0,I3MNV0_SPETR,3.0,,,1,1,1,,,,,
F1MUK1,F1MUK1_BOVIN,3.0,,,1,1,1,,,,,
H2R5D1,H2R5D1_PANTR,3.0,,,1,1,1,,,,,
G3UFS9,G3UFS9_LOXAF,3.0,,,1,1,1,,,,,
G3R9C5,G3R9C5_GORGO,3.0,,,1,1,1,,,,,
G1SB69,G1SB69_NOMLE,3.0,,,1,1,1,,,,,
G1MHB8,G1MHB8_AILME,3.0,,,1,1,1,,,,,
F6YUQ5,F6YUQ5_HORSE,3.0,,,1,1,1,,,,,
F1RJU8,F1RJU8_PIG,3.0,,,1,1,1,,,,,
H0XRT7,H0XRT7_OTOGA,3.0,,,1,1,1,,,,,
Q8BZW2,SWAHB_MOUSE,3.0,,,,1,1,1,,,,
A6NEL2,SWAHB_HUMAN,3.0,,,,1,1,1,,,,
F1MCD1,F1MCD1_BOVIN,2.0,,,,1,1,,,,,
G3QXB6,G3QXB6_GORGO,2.0,,,,1,1,,,,,
G1QAJ6,G1QAJ6_MYOLU,2.0,,,,1,1,,,,,
G1S9P5,G1S9P5_NOMLE,2.0,,,,1,1,,,,,
A7SI56,A7SI56_NEMVE,2.0,,,,,1,1,,,,
G1SJG5,G1SJG5_RABIT,2.0,,,,1,1,,,,,
G3N308,G3N308_BOVIN,2.0,,,,1,1,,,,,
G3PR55,G3PR55_GASAC,2.0,,,,1,1,,,,,
G3PR59,G3PR59_GASAC,2.0,,,,1,1,,,,,
G3QJS8,G3QJS8_GORGO,2.0,,,,1,1,,,,,
A6NJG2,SWAHD_HUMAN,2.0,,,,1,1,,,,,
G1L438,G1L438_AILME,2.0,,,,1,1,,,,,
G3RED0,G3RED0_GORGO,2.0,,,,1,1,,,,,
G3TPI7,G3TPI7_LOXAF,2.0,,,,1,1,,,,,
G3TQ03,G3TQ03_LOXAF,2.0,,,,1,1,,,,,
H0UW21,H0UW21_CAVPO,2.0,,,,1,1,,,,,
H0W092,H0W092_CAVPO,2.0,,,,1,1,,,,,
H0W8G1,H0W8G1_CAVPO,2.0,,,,1,1,,,,,
H0XKY7,H0XKY7_OTOGA,2.0,,,,1,1,,,,,
B0JYQ5,B0JYQ5_BOVIN,2.0,,,,,,1,,1,,
G1KZX2,G1KZX2_AILME,2.0,,,,1,1,,,,,
F1NCP0,F1NCP0_CHICK,2.0,,,,1,1,,,,,
G1KMB9,G1KMB9_ANOCA,2.0,,,,1,1,,,,,
F1QVJ1,F1QVJ1_DANRE,2.0,,,,1,1,,,,,
F1QX58,F1QX58_DANRE,2.0,,,,1,1,,,,,
D4A4Q1,D4A4Q1_RAT,2.0,,,,1,1,,,,,
F1RUA2,F1RUA2_PIG,2.0,,,,1,1,,,,,
F1RYS6,F1RYS6_PIG,2.0,,,,1,1,,,,,
F6T2C3,F6T2C3_HORSE,2.0,,,,1,1,,,,,
F6ULP0,F6ULP0_CANFA,2.0,,,1,1,,,,,,
F6W9A4,F6W9A4_MONDO,2.0,,,,1,1,,,,,
F6XUV9,F6XUV9_ORNAN,2.0,,,,1,1,,,,,
B3S7H6,B3S7H6_TRIAD,2.0,,,,,1,1,,,,
F7BN61,F7BN61_MACMU,2.0,,,,1,1,,,,,
F7BYX3,F7BYX3_XENTR,2.0,,,,1,1,,,,,
F7CVZ5,F7CVZ5_CALJA,2.0,,,,1,1,,,,,
