,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,RVSKGRW,NA,EOG7BS4D9,NA,HOG000063012,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9P1J3,DHAS1_HUMAN,3.0,,,1,,1,,1,,,
H2R9E9,H2R9E9_PANTR,2.0,,,1,,1,,,,,
G3SET0,G3SET0_GORGO,2.0,,,1,,1,,,,,
G1SC79,G1SC79_NOMLE,2.0,,,1,,1,,,,,
B4RQ62,B4RQ62_NEIG2,1.0,,,,,,,1,,,
B1J9T4,B1J9T4_PSEPW,1.0,,,,,,,1,,,
B2HYJ4,B2HYJ4_ACIBC,1.0,,,,,,,1,,,
B2SDM8,B2SDM8_FRATM,1.0,,,,,,,1,,,
B7GWQ1,B7GWQ1_ACIB3,1.0,,,,,,,1,,,
C6XYC3,C6XYC3_PEDHD,1.0,,,,,,,1,,,
B7I8K5,B7I8K5_ACIB5,1.0,,,,,,,1,,,
B8EPS7,B8EPS7_METSB,1.0,,,,,,,1,,,
C4LCP6,C4LCP6_TOLAT,1.0,,,,,,,1,,,
C6C4L6,C6C4L6_DICDC,1.0,,,,,,,1,,,
C6CMI1,C6CMI1_DICZE,1.0,,,,,,,1,,,
C6DKG3,C6DKG3_PECCP,1.0,,,,,,,1,,,
B0V525,B0V525_ACIBY,1.0,,,,,,,1,,,
B0TZ32,B0TZ32_FRAP2,1.0,,,,,,,1,,,
B0KKL3,B0KKL3_PSEPG,1.0,,,,,,,1,,,
A9M1Z0,A9M1Z0_NEIM0,1.0,,,,,,,1,,,
A9BA61,A9BA61_PROM4,1.0,,,,,,,1,,,
A5WE53,A5WE53_PSYWF,1.0,,,,,,,1,,,
A5W4U4,A5W4U4_PSEP1,1.0,,,,,,,1,,,
A5GVK8,A5GVK8_SYNR3,1.0,,,,,,,1,,,
A5GKZ7,A5GKZ7_SYNPW,1.0,,,,,,,1,,,
A3PEN2,A3PEN2_PROM0,1.0,,,,,,,1,,,
A3M8N6,A3M8N6_ACIBT,1.0,,,,,,,1,,,
A2C8L7,A2C8L7_PROM3,1.0,,,,,,,1,,,
A2C1D5,A2C1D5_PROM1,1.0,,,,,,,1,,,
A2BYC3,A2BYC3_PROM5,1.0,,,,,,,1,,,
A2BSX3,A2BSX3_PROMS,1.0,,,,,,,1,,,
A1KSD5,A1KSD5_NEIMF,1.0,,,,,,,1,,,
A1IQC8,A1IQC8_NEIMA,1.0,,,,,,,1,,,
C6S5E7,C6S5E7_NEIML,1.0,,,,,,,1,,,
C9X192,C9X192_NEIM8,1.0,,,,,,,1,,,
C7PKC3,C7PKC3_CHIPD,1.0,,,,,,,1,,,
Q1RJK6,Q1RJK6_RICBR,1.0,,,,,,,1,,,
Q88JC1,Q88JC1_PSEPK,1.0,,,,,,,1,,,
Q7V083,Q7V083_PROMP,1.0,,,,,,,1,,,
Q7U6L4,Q7U6L4_SYNPX,1.0,,,,,,,1,,,
Q6FEF0,Q6FEF0_ACIAD,1.0,,,,,,,1,,,
Q5QU98,Q5QU98_IDILO,1.0,,,,,,,1,,,
Q5NHG0,Q5NHG0_FRATT,1.0,,,,,,,1,,,
Q5FA98,Q5FA98_NEIG1,1.0,,,,,,,1,,,
Q4KDR4,Q4KDR4_PSEF5,1.0,,,,,,,1,,,
Q46LM5,Q46LM5_PROMT,1.0,,,,,,,1,,,
Q3IK71,Q3IK71_PSEHT,1.0,,,,,,,1,,,
Q3AY25,Q3AY25_SYNS9,1.0,,,,,,,1,,,
Q3AJL1,Q3AJL1_SYNSC,1.0,,,,,,,1,,,
Q319A2,Q319A2_PROM9,1.0,,,,,,,1,,,
Q1QAV4,Q1QAV4_PSYCK,1.0,,,,,,,1,,,
Q9K0Q8,Q9K0Q8_NEIMB,1.0,,,,,,,1,,,
Q14IW2,Q14IW2_FRAT1,1.0,,,,,,,1,,,
Q11QZ2,Q11QZ2_CYTH3,1.0,,,,,,,1,,,
Q0I7A0,Q0I7A0_SYNS3,1.0,,,,,,,1,,,
Q0C3Q6,Q0C3Q6_HYPNA,1.0,,,,,,,1,,,
E6WIZ0,E6WIZ0_PANSA,1.0,,,,,,,1,,,
E6RGW7,E6RGW7_PSEU9,1.0,,,,,,,1,,,
E4ZEY3,E4ZEY3_NEIL0,1.0,,,,,,,1,,,
E4TRV5,E4TRV5_MARTH,1.0,,,,,,,1,,,
E0SHB4,E0SHB4_DICD3,1.0,,,,,,,1,,,
D9QK95,D9QK95_BRESC,1.0,,,,,,,1,,,
D8JNS7,D8JNS7_ACISD,1.0,,,,,,,1,,,
D3VC55,D3VC55_XENNA,1.0,,,,,,,1,,,
D2C1Z7,D2C1Z7_DICD5,1.0,,,,,,,1,,,
A0Q5G6,A0Q5G6_FRATN,1.0,,,,,,,1,,,
