,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K06560,ENSGT00720000108514,MEMNEQQ,TF316663,EOG7FFMQR,NOG288621,HOG000231191,HBG053606,NA,Q9UBG0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UBG0,MRC2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q64449,MRC2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
P49259,PLA2R_BOVIN,6.0,1,1,,1,1,1,1,,,
Q62028,PLA2R_MOUSE,6.0,1,1,,1,1,1,1,,,
Q13018,PLA2R_HUMAN,5.0,1,1,,1,1,1,,,,
F6U941,F6U941_MACMU,5.0,1,1,1,1,1,,,,,
Q4TU93,MRC2_RAT,5.0,1,,,,,1,1,1,,1
P22897,MRC1_HUMAN,5.0,1,1,,1,1,1,,,,
Q61830,MRC1_MOUSE,5.0,1,1,,1,1,1,,,,
F6SEM5,F6SEM5_HORSE,4.0,,1,1,1,1,,,,,
H3D2D8,H3D2D8_TETNG,4.0,,1,1,1,1,,,,,
K7GIE6,K7GIE6_PELSI,4.0,1,1,,1,1,,,,,
F1MPD1,F1MPD1_BOVIN,4.0,,1,1,1,1,,,,,
G3ULH7,G3ULH7_LOXAF,4.0,,1,1,1,1,,,,,
F6TAW5,F6TAW5_MONDO,4.0,,1,1,1,1,,,,,
K7FWA7,K7FWA7_PELSI,4.0,1,1,,1,1,,,,,
F1NP60,F1NP60_CHICK,4.0,,1,1,1,1,,,,,
H2R6G4,H2R6G4_PANTR,4.0,1,1,,1,1,,,,,
K7FQV1,K7FQV1_PELSI,4.0,,1,1,1,1,,,,,
A7RGE1,A7RGE1_NEMVE,4.0,1,,,,1,1,,,,1
H0YXY6,H0YXY6_TAEGU,4.0,,1,1,1,1,,,,,
F7DNC3,F7DNC3_MONDO,4.0,1,1,,1,1,,,,,
F1QF75,F1QF75_DANRE,4.0,1,1,,1,1,,,,,
F6Y2F6,F6Y2F6_MONDO,4.0,1,1,,1,1,,,,,
G1MRM7,G1MRM7_MELGA,4.0,,1,1,1,1,,,,,
H3A816,H3A816_LATCH,4.0,,1,1,1,1,,,,,
H0VIL3,H0VIL3_CAVPO,4.0,,1,1,1,1,,,,,
G1SJC1,G1SJC1_RABIT,4.0,1,1,,1,1,,,,,
E1BZ32,E1BZ32_CHICK,4.0,1,1,,1,1,,,,,
F6QI00,F6QI00_XENTR,4.0,,1,1,1,1,,,,,
H2NUD5,H2NUD5_PONAB,4.0,,1,1,1,1,,,,,
G1TF09,G1TF09_RABIT,4.0,,1,1,1,1,,,,,
H0WG64,H0WG64_OTOGA,4.0,,1,1,1,1,,,,,
E7F250,E7F250_DANRE,4.0,,1,1,1,1,,,,,
G3P2Y4,G3P2Y4_GASAC,4.0,,1,1,1,1,,,,,
G3QHG6,G3QHG6_GORGO,4.0,,1,1,1,1,,,,,
F6PK24,F6PK24_MACMU,4.0,1,1,,1,1,,,,,
G1PJL6,G1PJL6_MYOLU,4.0,,1,1,1,1,,,,,
A1A5G9,A1A5G9_XENTR,4.0,1,,,,,1,1,1,,
H2LDS4,H2LDS4_ORYLA,4.0,,1,1,1,1,,,,,
F1LMA7,F1LMA7_RAT,4.0,,1,1,1,1,,,,,
H2Q1P6,H2Q1P6_PANTR,4.0,1,1,,1,1,,,,,
H2QDM3,H2QDM3_PANTR,4.0,,1,1,1,1,,,,,
G3VV50,G3VV50_SARHA,4.0,,1,1,1,1,,,,,
F6T5S3,F6T5S3_HORSE,3.0,,1,,1,1,,,,,
F6QVN1,F6QVN1_XENTR,3.0,,1,,1,1,,,,,
H2UY07,H2UY07_TAKRU,3.0,,1,1,1,,,,,,
M4A2D0,M4A2D0_XIPMA,3.0,,1,1,,1,,,,,
M3YU85,M3YU85_MUSPF,3.0,,1,1,,1,,,,,
G1QLJ9,G1QLJ9_NOMLE,3.0,,1,,1,1,,,,,
F6TDB0,F6TDB0_CIOIN,3.0,,1,,1,1,,,,,
F6TGD6,F6TGD6_CIOIN,3.0,,1,,1,1,,,,,
F6TKD4,F6TKD4_CALJA,3.0,,1,1,1,,,,,,
F6Y1A5,F6Y1A5_HORSE,3.0,,1,,1,1,,,,,
H2QIV7,H2QIV7_PANTR,3.0,,1,,1,1,,,,,
F6PSN6,F6PSN6_MACMU,3.0,,1,,1,1,,,,,
O60449,LY75_HUMAN,3.0,,1,,1,1,,,,,
H2P7M3,H2P7M3_PONAB,3.0,,1,,1,1,,,,,
P49260,PLA2R_RABIT,3.0,1,,,,,1,1,,,
H2P7M2,H2P7M2_PONAB,3.0,,1,,1,1,,,,,
P91429,P91429_CAEEL,3.0,,1,,,1,1,,,,
F6PVH0,F6PVH0_XENTR,3.0,,1,,1,1,,,,,
F1QYF2,F1QYF2_DANRE,3.0,1,1,,1,,,,,,
M3XIW0,M3XIW0_LATCH,3.0,1,1,,,1,,,,,
H9GHS9,H9GHS9_ANOCA,3.0,,1,,1,1,,,,,
F1MWM8,F1MWM8_BOVIN,3.0,,1,,1,1,,,,,
J9P8S7,J9P8S7_CANFA,3.0,1,1,,,1,,,,,
J9NY60,J9NY60_CANFA,3.0,,1,1,,1,,,,,
H9GSW6,H9GSW6_ANOCA,3.0,,1,,1,1,,,,,
F1M495,F1M495_RAT,3.0,1,1,,,1,,,,,
I3NFG0,I3NFG0_SPETR,3.0,,1,1,1,,,,,,
I3MQM0,I3MQM0_SPETR,3.0,,1,,1,1,,,,,
I3IX42,I3IX42_ORENI,3.0,,,1,1,1,,,,,
I3MB76,I3MB76_SPETR,3.0,,1,,1,1,,,,,
I3M5P5,I3M5P5_SPETR,3.0,,1,,1,1,,,,,
E7FBB7,E7FBB7_DANRE,3.0,,1,,1,1,,,,,
I3L5Y3,I3L5Y3_PIG,3.0,,1,,1,1,,,,,
D3ZQK8,D3ZQK8_RAT,3.0,,1,,1,1,,,,,
E1BC77,E1BC77_BOVIN,3.0,,1,,1,1,,,,,
G1QXE8,G1QXE8_NOMLE,3.0,,1,,1,1,,,,,
H9GIX6,H9GIX6_ANOCA,3.0,,1,,1,1,,,,,
K7FSE1,K7FSE1_PELSI,3.0,,1,,1,1,,,,,
F6PSM7,F6PSM7_MACMU,3.0,,1,,1,1,,,,,
F1NLS1,F1NLS1_CHICK,3.0,,1,,1,1,,,,,
F1RRU7,F1RRU7_PIG,3.0,,1,,1,1,,,,,
H2XKA0,H2XKA0_CIOIN,3.0,,1,,1,1,,,,,
M3WE80,M3WE80_FELCA,3.0,,1,1,,1,,,,,
H2YKM0,H2YKM0_CIOSA,3.0,,1,,1,1,,,,,
H2YLM3,H2YLM3_CIOSA,3.0,,1,,1,1,,,,,
H3A292,H3A292_LATCH,3.0,,1,,1,1,,,,,
F6ZV66,F6ZV66_XENTR,3.0,,1,,1,1,,,,,
H3CQ11,H3CQ11_TETNG,3.0,,1,,1,1,,,,,
H3CVR3,H3CVR3_TETNG,3.0,,1,,1,1,,,,,
K7G0E6,K7G0E6_PELSI,3.0,,1,,1,1,,,,,
F1PGD5,F1PGD5_CANFA,3.0,,1,,1,1,,,,,
F1PGC5,F1PGC5_CANFA,3.0,,1,,1,1,,,,,
H3DIA4,H3DIA4_TETNG,3.0,,1,,1,1,,,,,
F1PCR2,F1PCR2_CANFA,3.0,1,1,,1,,,,,,
K7FXD1,K7FXD1_PELSI,3.0,,1,,1,1,,,,,
F6ZH33,F6ZH33_HORSE,3.0,,1,,1,1,,,,,
H2N9W2,H2N9W2_PONAB,3.0,,1,,1,1,,,,,
Q17450,Q17450_CAEEL,3.0,,1,,,1,1,,,,
G1KNV4,G1KNV4_ANOCA,3.0,,1,,1,1,,,,,
U3K0A9,U3K0A9_FICAL,3.0,1,1,1,,,,,,,
G1LW45,G1LW45_AILME,3.0,,1,,1,1,,,,,
G3T532,G3T532_LOXAF,3.0,,1,,1,1,,,,,
G1LBC3,G1LBC3_AILME,3.0,,1,1,1,,,,,,
G3UMT7,G3UMT7_LOXAF,3.0,,1,,1,1,,,,,
G1L1I6,G1L1I6_AILME,3.0,,1,,1,1,,,,,
G1KWP1,G1KWP1_ANOCA,3.0,,1,,1,1,,,,,
G3UUE4,G3UUE4_MELGA,3.0,,1,,1,1,,,,,
G3W154,G3W154_SARHA,3.0,,1,,1,1,,,,,
H0WZ04,H0WZ04_OTOGA,3.0,,1,,1,1,,,,,
G1KE51,G1KE51_ANOCA,3.0,,1,,1,1,,,,,
G3W6Z4,G3W6Z4_SARHA,3.0,,1,,1,1,,,,,
Q17452,Q17452_CAEEL,3.0,,1,,,1,1,,,,
G3WGQ2,G3WGQ2_SARHA,3.0,,1,,1,1,,,,,
H0V7A3,H0V7A3_CAVPO,3.0,,1,,1,1,,,,,
H0VC75,H0VC75_CAVPO,3.0,,1,,1,1,,,,,
H0VC96,H0VC96_CAVPO,3.0,,1,,1,1,,,,,
F7GGF4,F7GGF4_CALJA,3.0,,1,,1,1,,,,,
G3SDA5,G3SDA5_GORGO,3.0,,1,,1,1,,,,,
G3RVF3,G3RVF3_GORGO,3.0,,1,,1,1,,,,,
G1N6I5,G1N6I5_MELGA,3.0,,1,,1,1,,,,,
G1N6N6,G1N6N6_MELGA,3.0,,1,,1,1,,,,,
G1QL03,G1QL03_NOMLE,3.0,,1,,1,1,,,,,
G1T418,G1T418_RABIT,3.0,,1,,1,1,,,,,
G1T882,G1T882_RABIT,3.0,,1,,1,1,,,,,
G1QKV3,G1QKV3_NOMLE,3.0,,1,,1,1,,,,,
G3NJ53,G3NJ53_GASAC,3.0,,1,,1,1,,,,,
G3PQY9,G3PQY9_GASAC,3.0,,1,,1,1,,,,,
G1PP42,G1PP42_MYOLU,3.0,,1,,1,1,,,,,
G3PQZ3,G3PQZ3_GASAC,3.0,,1,,1,1,,,,,
G3PVE2,G3PVE2_GASAC,3.0,,1,,1,1,,,,,
A2AAA9,A2AAA9_MOUSE,3.0,,1,,,,,1,1,,
A2AW86,A2AW86_MOUSE,3.0,,1,,1,1,,,,,
G3PY25,G3PY25_GASAC,3.0,,1,,1,1,,,,,
G1PD26,G1PD26_MYOLU,3.0,,1,,1,1,,,,,
G1P762,G1P762_MYOLU,3.0,,1,,1,1,,,,,
G1NF25,G1NF25_MELGA,3.0,,1,,1,1,,,,,
G3QPC2,G3QPC2_GORGO,3.0,,1,,1,1,,,,,
G3QZ30,G3QZ30_GORGO,3.0,,1,,1,1,,,,,
H0WX08,H0WX08_OTOGA,3.0,,1,,1,1,,,,,
E1C5Y7,E1C5Y7_CHICK,3.0,,1,,1,1,,,,,
H0WZ14,H0WZ14_OTOGA,3.0,,1,,1,1,,,,,
H2M5Q4,H2M5Q4_ORYLA,3.0,,1,,1,1,,,,,
H0Z7W0,H0Z7W0_TAEGU,3.0,,1,,1,1,,,,,
Q9XVE1,Q9XVE1_CAEEL,3.0,,1,,,1,1,,,,
H0YSR0,H0YSR0_TAEGU,3.0,,1,,1,1,,,,,
F7DSZ1,F7DSZ1_CALJA,3.0,1,1,,,1,,,,,
H0YSP9,H0YSP9_TAEGU,3.0,,1,,1,1,,,,,
F7BYB6,F7BYB6_ORNAN,3.0,,1,,1,1,,,,,
F7BSG8,F7BSG8_ORNAN,3.0,,1,,1,1,,,,,
F7BS00,F7BS00_ORNAN,3.0,,1,,1,1,,,,,
H2LH02,H2LH02_ORYLA,3.0,,1,,1,1,,,,,
H2LPS7,H2LPS7_ORYLA,3.0,,1,,1,1,,,,,
