,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K02911,ENSGT00390000014996,VPPWPAA,TF106139,EOG7C2R2G,NOG297873,HOG000252980,HBG036112,NA,Q9BYC8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BYC8,RM32_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9DCI9,RM32_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q2TBI6,RM32_BOVIN,8.0,1,1,1,1,1,1,1,1,,
D4AEG6,D4AEG6_RAT,6.0,1,1,1,1,1,,,,,1
D2HM12,D2HM12_AILME,6.0,1,1,1,1,1,,1,,,
F7AC10,F7AC10_MACMU,5.0,1,1,1,1,1,,,,,
Q7QEA1,Q7QEA1_ANOGA,5.0,1,,,,1,1,1,,,1
F1R044,F1R044_DANRE,5.0,1,1,1,1,1,,,,,
F1NAM9,F1NAM9_CHICK,5.0,1,1,1,1,1,,,,,
K7GIV5,K7GIV5_PELSI,5.0,1,1,1,1,1,,,,,
H3B0R1,H3B0R1_LATCH,5.0,1,1,1,1,1,,,,,
H2UI20,H2UI20_TAKRU,5.0,1,1,1,1,1,,,,,
H2QUH2,H2QUH2_PANTR,5.0,1,1,1,1,1,,,,,
H2PMA3,H2PMA3_PONAB,5.0,1,1,1,1,1,,,,,
F7I9G9,F7I9G9_CALJA,5.0,1,1,1,1,1,,,,,
E2QWZ9,E2QWZ9_CANFA,5.0,1,1,1,1,1,,,,,
Q9V9Z1,RM32_DROME,5.0,1,1,,,1,1,,,,1
G1QSF9,G1QSF9_NOMLE,5.0,1,1,1,1,1,,,,,
G1KU15,G1KU15_ANOCA,5.0,1,1,1,1,1,,,,,
F6Y7I1,F6Y7I1_XENTR,4.0,1,1,,1,1,,,,,
H9H605,H9H605_MONDO,4.0,,1,1,1,1,,,,,
B0X3C1,B0X3C1_CULQU,4.0,1,,,,1,1,1,,,
F6Y3H3,F6Y3H3_HORSE,4.0,,1,1,1,1,,,,,
G1T2L3,G1T2L3_RABIT,4.0,,1,1,1,1,,,,,
M3X7R3,M3X7R3_FELCA,4.0,1,1,1,,1,,,,,
M4A3B0,M4A3B0_XIPMA,4.0,1,1,1,,1,,,,,
G1PF82,G1PF82_MYOLU,4.0,,1,1,1,1,,,,,
H0VN19,H0VN19_CAVPO,4.0,,1,1,1,1,,,,,
G3T7F6,G3T7F6_LOXAF,4.0,,1,1,1,1,,,,,
I3LTC4,I3LTC4_PIG,4.0,,1,1,1,1,,,,,
I3MKT4,I3MKT4_SPETR,4.0,,1,1,1,1,,,,,
G3S9M7,G3S9M7_GORGO,4.0,,1,1,1,1,,,,,
F6SDN5,F6SDN5_ORNAN,4.0,1,1,,1,1,,,,,
H0XG60,H0XG60_OTOGA,4.0,,1,1,1,1,,,,,
B5G048,B5G048_TAEGU,4.0,1,,,,,1,1,1,,
A4D1V4,A4D1V4_HUMAN,3.0,1,,1,,,,,1,,
G3VST7,G3VST7_SARHA,3.0,,1,,1,1,,,,,
G3NQH0,G3NQH0_GASAC,3.0,,1,,1,1,,,,,
U3JR68,U3JR68_FICAL,3.0,1,1,1,,,,,,,
Q04907,RM32_CAEEL,3.0,,1,,,1,1,,,,
W5Q7B1,W5Q7B1_SHEEP,3.0,1,1,1,,,,,,,
G1TLG9,G1TLG9_RABIT,3.0,,1,,1,1,,,,,
B4PNB9,B4PNB9_DROYA,3.0,1,,,,1,1,,,,
