,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K16605,ENSGT00390000018344,NA,TF325540,NA,NOG74715,HOG000294114,HBG073636,NA,Q68CL5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q68CL5,TPGS2_HUMAN,7.0,1,1,,1,,1,1,1,,1
Q68CL5,TPGS2_HUMAN,7.0,1,1,,1,,1,1,1,,1
Q6GMH5,Q6GMH5_DANRE,7.0,1,1,,1,,1,1,1,,1
A6QNU8,A6QNU8_BOVIN,6.0,1,1,,1,,1,1,1,,
Q66JT5,TPGS2_MOUSE,4.0,1,,,,,1,1,1,,
A7RSC3,A7RSC3_NEMVE,4.0,1,,,,,1,1,,,1
Q6AXS8,TPGS2_RAT,4.0,1,,,,,1,1,1,,
D2HQD9,D2HQD9_AILME,4.0,1,1,,1,,,1,,,
Q9VTS1,Q9VTS1_DROME,4.0,1,1,,,,1,,,,1
Q4SD68,Q4SD68_TETNG,3.0,,1,,1,,,,1,,
C3Z9X1,C3Z9X1_BRAFL,3.0,1,,,,,1,,,,1
Q3YAK6,Q3YAK6_MACMU,3.0,,,,,,1,1,1,,
Q5RBT9,Q5RBT9_PONAB,3.0,1,,,,,,1,1,,
E9QLP0,E9QLP0_MOUSE,3.0,1,1,,1,,,,,,
G1R2M4,G1R2M4_NOMLE,3.0,1,1,,1,,,,,,
F6VQG6,F6VQG6_HORSE,3.0,1,1,,1,,,,,,
F6VUY6,F6VUY6_MONDO,3.0,1,1,,1,,,,,,
F7E6D1,F7E6D1_MONDO,3.0,1,1,,1,,,,,,
K7GAY9,K7GAY9_PELSI,3.0,1,1,,1,,,,,,
H2QEG2,H2QEG2_PANTR,3.0,1,1,,1,,,,,,
G3R646,G3R646_GORGO,3.0,1,1,,1,,,,,,
Q7QDY1,Q7QDY1_ANOGA,3.0,1,,,,,1,,,,1
B3RSV5,B3RSV5_TRIAD,3.0,1,,,,,1,1,,,
H2LYE2,H2LYE2_ORYLA,3.0,1,1,,1,,,,,,
A9UY51,A9UY51_MONBE,3.0,1,,,,,1,,,,1
H9GIY5,H9GIY5_ANOCA,3.0,1,1,,1,,,,,,
F7CVU1,F7CVU1_CALJA,3.0,1,1,,1,,,,,,
F7E580,F7E580_ORNAN,2.0,,1,,1,,,,,,
G3SS59,G3SS59_LOXAF,2.0,,1,,1,,,,,,
G3P1U8,G3P1U8_GASAC,2.0,,1,,1,,,,,,
G3WBU3,G3WBU3_SARHA,2.0,,1,,1,,,,,,
G1SDW4,G1SDW4_RABIT,2.0,,1,,1,,,,,,
H0WXZ9,H0WXZ9_OTOGA,2.0,,1,,1,,,,,,
H0YTT8,H0YTT8_TAEGU,2.0,,1,,1,,,,,,
G1NW99,G1NW99_MYOLU,2.0,,1,,1,,,,,,
F7F8U8,F7F8U8_MACMU,2.0,1,1,,,,,,,,
W5P5H7,W5P5H7_SHEEP,2.0,1,1,,,,,,,,
F7CFM5,F7CFM5_MACMU,2.0,,1,,1,,,,,,
F6YBL4,F6YBL4_XENTR,2.0,,1,,1,,,,,,
F6WFE5,F6WFE5_CIOIN,2.0,,1,,1,,,,,,
F1LR55,F1LR55_RAT,2.0,,1,,1,,,,,,
E9PUD7,E9PUD7_MOUSE,2.0,1,1,,,,,,,,
E2RDQ8,E2RDQ8_CANFA,2.0,,1,,1,,,,,,
B4PG76,B4PG76_DROYA,2.0,1,,,,,1,,,,
B4MKX2,B4MKX2_DROWI,2.0,1,,,,,1,,,,
B4LHU0,B4LHU0_DROVI,2.0,1,,,,,1,,,,
B4J0P9,B4J0P9_DROGR,2.0,1,,,,,1,,,,
B3M4N7,B3M4N7_DROAN,2.0,1,,,,,1,,,,
B0WLG5,B0WLG5_CULQU,2.0,1,,,,,1,,,,
A0A087X1R7,A0A087X1R7_HUMAN,2.0,1,1,,,,,,,,
H2NW77,H2NW77_PONAB,2.0,,1,,1,,,,,,
H0UW11,H0UW11_CAVPO,2.0,,1,,1,,,,,,
A0A087WUC8,A0A087WUC8_HUMAN,2.0,1,1,,,,,,,,
I3MGL1,I3MGL1_SPETR,2.0,,1,,1,,,,,,
H2Y5U7,H2Y5U7_CIOSA,2.0,,1,,1,,,,,,
Q0IEX6,Q0IEX6_AEDAE,2.0,1,,,,,1,,,,
Q5R4L8,Q5R4L8_PONAB,2.0,,,,,,,1,1,,
Q66KV1,Q66KV1_XENLA,2.0,1,,,,,,,1,,
R4GFX4,R4GFX4_CHICK,2.0,1,1,,,,,,,,
Q4SD63,Q4SD63_TETNG,2.0,,,,,,1,1,,,
I3LA68,I3LA68_PIG,2.0,,1,,1,,,,,,
A0A096MUX8,A0A096MUX8_PAPAN,1.0,,1,,,,,,,,
