,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,NA,TF341151,EOG7GBFWV,NOG116165,NA,HBG058300,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8N660,NBPFF_HUMAN,4.0,,,,1,1,1,,1,,
Q5SXJ2,NBPFG_HUMAN,4.0,,,,1,1,1,,1,,
Q5TAG4,NBPFC_HUMAN,4.0,,,,1,1,1,,1,,
Q9H094,NBPF3_HUMAN,3.0,,,,1,1,,,1,,
Q86T75,NBPFB_HUMAN,3.0,,,,1,1,,,1,,
G3RC64,G3RC64_GORGO,2.0,,,,1,1,,,,,
Q3BBV2,NBPF8_HUMAN,2.0,,,,,,1,,1,,
F7HA30,F7HA30_MACMU,2.0,,,,1,1,,,,,
G3S801,G3S801_GORGO,2.0,,,,1,1,,,,,
H2RDL3,H2RDL3_PANTR,2.0,,,,1,1,,,,,
H2RDA6,H2RDA6_PANTR,2.0,,,,1,1,,,,,
H2RBV2,H2RBV2_PANTR,2.0,,,,1,1,,,,,
H2R8U4,H2R8U4_PANTR,2.0,,,,1,1,,,,,
H2R8T3,H2R8T3_PANTR,2.0,,,,1,1,,,,,
H2R773,H2R773_PANTR,2.0,,,,1,1,,,,,
H2PY92,H2PY92_PANTR,2.0,,,,1,1,,,,,
F6ZZL3,F6ZZL3_MACMU,2.0,,,,1,1,,,,,
H2PUI1,H2PUI1_PONAB,2.0,,,,1,1,,,,,
Q96M43,NBPF4_HUMAN,2.0,,,,1,1,,,,,
H2P0W4,H2P0W4_PONAB,2.0,,,,1,1,,,,,
H2N6K6,H2N6K6_PONAB,2.0,,,,1,1,,,,,
H2N657,H2N657_PONAB,2.0,,,,1,1,,,,,
H2N649,H2N649_PONAB,2.0,,,,1,1,,,,,
H2N636,H2N636_PONAB,2.0,,,,1,1,,,,,
G3RUM3,G3RUM3_GORGO,2.0,,,,1,1,,,,,
H0UYJ9,H0UYJ9_CAVPO,2.0,,,,1,1,,,,,
G3SG35,G3SG35_GORGO,2.0,,,,1,1,,,,,
G3SEY4,G3SEY4_GORGO,2.0,,,,1,1,,,,,
F7F9R2,F7F9R2_MACMU,2.0,,,,1,1,,,,,
G1R8H7,G1R8H7_NOMLE,2.0,,,,1,1,,,,,
G3RYR5,G3RYR5_GORGO,2.0,,,,1,1,,,,,
A8K9F1,A8K9F1_HUMAN,2.0,,,,,,1,,1,,
F1SB06,F1SB06_PIG,2.0,,,,1,1,,,,,
Q5VWK0,NBPF6_HUMAN,2.0,,,,1,1,,,,,
Q5VTG8,Q5VTG8_HUMAN,2.0,,,,,1,,,1,,
F6ZSJ1,F6ZSJ1_MACMU,2.0,,,,1,1,,,,,
F1SDB5,F1SDB5_PIG,2.0,,,,1,1,,,,,
F6QQV1,F6QQV1_CALJA,2.0,,,,1,1,,,,,
B4DS78,B4DS78_HUMAN,2.0,,,,,,1,,1,,
F1MXD9,F1MXD9_BOVIN,2.0,,,,1,1,,,,,
B4DH59,NBPFP_HUMAN,2.0,,,,,,1,,1,,
Q5TI25,NBPFE_HUMAN,2.0,,,,,,1,,1,,
Q5RGN0,NBPFN_HUMAN,2.0,,,,1,,,,1,,
F6TSL9,F6TSL9_CALJA,2.0,,,,1,1,,,,,
A2BH96,A2BH96_HUMAN,2.0,,,,1,1,,,,,
F1N186,F1N186_BOVIN,2.0,,,,1,1,,,,,
B3KX56,B3KX56_HUMAN,1.0,,,,,,,,1,,
B4DG53,B4DG53_HUMAN,1.0,,,,,,,,1,,
G3RWP1,G3RWP1_GORGO,1.0,,,,1,,,,,,
B4DRP3,B4DRP3_HUMAN,1.0,,,,,,,,1,,
A8K2N7,A8K2N7_HUMAN,1.0,,,,,,,,1,,
B4DUQ6,B4DUQ6_HUMAN,1.0,,,,,,,,1,,
G3RQU9,G3RQU9_GORGO,1.0,,,,,1,,,,,
A8K277,A8K277_HUMAN,1.0,,,,,,,,1,,
B7Z3A0,B7Z3A0_HUMAN,1.0,,,,,,,,1,,
G3RXQ3,G3RXQ3_GORGO,1.0,,,,,1,,,,,
F6ZVC2,F6ZVC2_CALJA,1.0,,,,,1,,,,,
G3RL46,G3RL46_GORGO,1.0,,,,,1,,,,,
F6PU98,F6PU98_MACMU,1.0,,,,,1,,,,,
G1U6N1,G1U6N1_RABIT,1.0,,,,,1,,,,,
G1TYP8,G1TYP8_RABIT,1.0,,,,,1,,,,,
G1TSV0,G1TSV0_RABIT,1.0,,,,,1,,,,,
G1TR79,G1TR79_RABIT,1.0,,,,,1,,,,,
G1TMJ0,G1TMJ0_RABIT,1.0,,,,,1,,,,,
G1TLG1,G1TLG1_RABIT,1.0,,,,,1,,,,,
G1TIF4,G1TIF4_RABIT,1.0,,,,,1,,,,,
G1TGE8,G1TGE8_RABIT,1.0,,,,,1,,,,,
G1TEL3,G1TEL3_RABIT,1.0,,,,,1,,,,,
G1SV70,G1SV70_RABIT,1.0,,,,,1,,,,,
G1SQX5,G1SQX5_RABIT,1.0,,,,,1,,,,,
F6THT9,F6THT9_CALJA,1.0,,,,1,,,,,,
F7D5T5,F7D5T5_CALJA,1.0,,,,,1,,,,,
G3QSI7,G3QSI7_GORGO,1.0,,,,,1,,,,,
H2P0Y1,H2P0Y1_PONAB,1.0,,,,,1,,,,,
G3SAM5,G3SAM5_GORGO,1.0,,,,,1,,,,,
Q8IX71,Q8IX71_HUMAN,1.0,,,,,,,,1,,
Q4VC10,Q4VC10_HUMAN,1.0,,,,,,,,1,,
Q5RBH6,Q5RBH6_PONAB,1.0,,,,,,,,1,,
Q5TB04,Q5TB04_HUMAN,1.0,,,,,,,,1,,
Q5U227,Q5U227_HUMAN,1.0,,,,,,,,1,,
Q5VTG6,Q5VTG6_HUMAN,1.0,,,,,,,,1,,
Q5VTG7,Q5VTG7_HUMAN,1.0,,,,,,,,1,,
Q6P3W6,NBPFA_HUMAN,1.0,,,,,,,,1,,
Q8IX62,Q8IX62_HUMAN,1.0,,,,,,,,1,,
Q8IX70,Q8IX70_HUMAN,1.0,,,,,,,,1,,
Q8IX72,Q8IX72_HUMAN,1.0,,,,,,,,1,,
G3SF97,G3SF97_GORGO,1.0,,,,,1,,,,,
Q8IX73,Q8IX73_HUMAN,1.0,,,,,,,,1,,
Q8IX74,Q8IX74_HUMAN,1.0,,,,,,,,1,,
Q8IX79,Q8IX79_HUMAN,1.0,,,,,,,,1,,
Q8IX81,Q8IX81_HUMAN,1.0,,,,,,,,1,,
Q8IX82,Q8IX82_HUMAN,1.0,,,,,,,,1,,
Q8IX84,Q8IX84_HUMAN,1.0,,,,,,,,1,,
Q8IX85,Q8IX85_HUMAN,1.0,,,,,,,,1,,
