,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000007227,FTTQCEK,TF300197,EOG71K63V,NA,HOG000174236,HBG058276,NA,A6XGL0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A6XGL0,YJEN3_HUMAN,7.0,,1,1,1,1,,1,1,,1
A6XGL0,YJEN3_HUMAN,7.0,,1,1,1,1,,1,1,,1
Q1LVI2,Q1LVI2_DANRE,7.0,,1,1,1,1,,1,1,,1
Q6DHK1,NNRE_DANRE,5.0,,1,,1,1,,1,1,,
B0BNM1,NNRE_RAT,5.0,,1,,1,1,,1,1,,
Q8K4Z3,NNRE_MOUSE,5.0,,1,,1,1,,1,1,,
Q6QRN6,NNRE_BOVIN,5.0,,1,,1,1,,1,1,,
G3PI19,G3PI19_GASAC,4.0,,1,1,1,1,,,,,
G3T3T5,G3T3T5_LOXAF,4.0,,1,1,1,1,,,,,
H0W258,H0W258_CAVPO,4.0,,1,1,1,1,,,,,
H0XTU0,H0XTU0_OTOGA,4.0,,1,1,1,1,,,,,
H2RBN2,H2RBN2_PANTR,4.0,,1,1,1,1,,,,,
G1PWQ0,G1PWQ0_MYOLU,4.0,,1,1,1,1,,,,,
H2VAZ0,H2VAZ0_TAKRU,4.0,,1,1,1,1,,,,,
H3A7M7,H3A7M7_LATCH,4.0,,1,1,1,1,,,,,
H3D6P3,H3D6P3_TETNG,4.0,,1,1,1,1,,,,,
H9GJM0,H9GJM0_ANOCA,4.0,,1,1,1,1,,,,,
H9H1C3,H9H1C3_MELGA,4.0,,1,1,1,1,,,,,
I3N5Q0,I3N5Q0_SPETR,4.0,,1,1,1,1,,,,,
K7GB26,K7GB26_PELSI,4.0,,1,1,1,1,,,,,
G1R384,G1R384_NOMLE,4.0,,1,1,1,1,,,,,
G3VLD8,G3VLD8_SARHA,4.0,,1,1,1,1,,,,,
F1S6Q2,F1S6Q2_PIG,4.0,,1,1,1,1,,,,,
F1M695,F1M695_RAT,4.0,,1,1,1,1,,,,,
F6WQD6,F6WQD6_MONDO,4.0,,1,1,1,1,,,,,
Q8NCW5,NNRE_HUMAN,4.0,,1,,1,,,1,1,,
F1MXN3,F1MXN3_BOVIN,4.0,,1,1,1,1,,,,,
F6Q440,F6Q440_HORSE,4.0,,1,1,1,1,,,,,
G1PDY7,G1PDY7_MYOLU,3.0,,1,,1,1,,,,,
H2Q098,H2Q098_PANTR,3.0,,1,,1,1,,,,,
F6W8I0,YJEN3_MOUSE,3.0,,,,1,1,,1,,,
H2Y1D7,H2Y1D7_CIOIN,3.0,,1,,1,1,,,,,
F6Q0R4,F6Q0R4_XENTR,3.0,,1,,1,1,,,,,
H3AMA5,H3AMA5_LATCH,3.0,,1,,1,1,,,,,
F1RP34,F1RP34_PIG,3.0,,1,,1,1,,,,,
F1S2Y1,F1S2Y1_PIG,3.0,,1,,1,1,,,,,
H2N5C8,H2N5C8_PONAB,3.0,,1,,1,1,,,,,
H9GUT1,H9GUT1_ANOCA,3.0,,1,,1,1,,,,,
F1PNH7,F1PNH7_CANFA,3.0,,1,1,1,,,,,,
H9KW93,H9KW93_CALJA,3.0,,1,,1,1,,,,,
I3J2H5,I3J2H5_ORENI,3.0,,,1,1,1,,,,,
K7FUE6,K7FUE6_PELSI,3.0,,1,,1,1,,,,,
M3WKI2,M3WKI2_FELCA,3.0,,1,1,,1,,,,,
H2NY66,H2NY66_PONAB,3.0,,1,,1,1,,,,,
H2L517,H2L517_ORYLA,3.0,,1,,1,1,,,,,
H2LYI8,H2LYI8_ORYLA,3.0,,1,,1,1,,,,,
G1RQ60,G1RQ60_NOMLE,3.0,,1,,1,1,,,,,
G1TB49,G1TB49_RABIT,3.0,,1,,1,1,,,,,
G3ND60,G3ND60_GASAC,3.0,,1,,1,1,,,,,
G1M8D7,G1M8D7_AILME,3.0,,1,,1,1,,,,,
