,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K15732,ENSGT00390000015641,EAPDIRK,TF315104,EOG7WMCJ8,COG5190,HOG000112039,HBG051213,NA,Q9Y5B0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q7TSG2,CTDP1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9Y5B0,CTDP1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9Y5B0,CTDP1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q6DRN5,Q6DRN5_DANRE,5.0,1,,,,,1,1,1,,1
D3ZMS2,D3ZMS2_RAT,5.0,1,1,1,1,1,,,,,
E2R1Y2,E2R1Y2_CANFA,5.0,1,1,1,1,1,,,,,
F6PKT6,F6PKT6_CIOIN,4.0,,1,1,1,1,,,,,
H0Z8E0,H0Z8E0_TAEGU,4.0,,1,1,1,1,,,,,
G1PIU1,G1PIU1_MYOLU,4.0,,1,1,1,1,,,,,
G3P1I5,G3P1I5_GASAC,4.0,,1,1,1,1,,,,,
G3R674,G3R674_GORGO,4.0,,1,1,1,1,,,,,
G3TL65,G3TL65_LOXAF,4.0,,1,1,1,1,,,,,
G3WH29,G3WH29_SARHA,4.0,,1,1,1,1,,,,,
H0UYY7,H0UYY7_CAVPO,4.0,,1,1,1,1,,,,,
H0XQT5,H0XQT5_OTOGA,4.0,,1,1,1,1,,,,,
H2QER0,H2QER0_PANTR,4.0,,1,1,1,1,,,,,
H2MEM1,H2MEM1_ORYLA,4.0,,1,1,1,1,,,,,
H2NWM9,H2NWM9_PONAB,4.0,,1,1,1,1,,,,,
G1LUZ4,G1LUZ4_AILME,4.0,,1,1,1,1,,,,,
H2U7R2,H2U7R2_TAKRU,4.0,,1,1,1,1,,,,,
Q95QG8,Q95QG8_CAEEL,4.0,1,1,,,1,1,,,,
H3D945,H3D945_TETNG,4.0,,1,1,1,1,,,,,
I3MHY0,I3MHY0_SPETR,4.0,,1,1,1,1,,,,,
K7FCQ3,K7FCQ3_PELSI,4.0,,1,1,1,1,,,,,
Q7Q9P7,Q7Q9P7_ANOGA,4.0,1,,,,1,1,,,,1
Q03254,FCP1_YEAST,4.0,1,1,,,,1,,,,1
G1MTK5,G1MTK5_MELGA,4.0,,1,1,1,1,,,,,
H2ZXN9,H2ZXN9_LATCH,4.0,,1,1,1,1,,,,,
G1KVK5,G1KVK5_ANOCA,4.0,,1,1,1,1,,,,,
F1RWS7,F1RWS7_PIG,4.0,,1,1,1,1,,,,,
F7G7V6,F7G7V6_CALJA,4.0,,1,1,1,1,,,,,
F7E4V3,F7E4V3_MACMU,4.0,,1,1,1,1,,,,,
F7B931,F7B931_MONDO,4.0,,1,1,1,1,,,,,
F1NZN8,F1NZN8_CHICK,4.0,,1,1,1,1,,,,,
F6WRF7,F6WRF7_HORSE,4.0,,1,1,1,1,,,,,
M3YYY9,M3YYY9_MUSPF,3.0,,1,1,,1,,,,,
M3ZU95,M3ZU95_XIPMA,3.0,,1,1,,1,,,,,
B4PBC8,B4PBC8_DROYA,3.0,1,,,,1,1,,,,
B4N3A4,B4N3A4_DROWI,3.0,1,,,,1,1,,,,
B4MP75,B4MP75_DROWI,3.0,1,,,,1,1,,,,
Q16EJ3,Q16EJ3_AEDAE,3.0,1,,,,1,1,,,,
Q28F82,Q28F82_XENTR,3.0,1,,,,,1,1,,,
B4LJJ1,B4LJJ1_DROVI,3.0,1,,,,1,1,,,,
U3KFV6,U3KFV6_FICAL,3.0,1,1,1,,,,,,,
B4J817,B4J817_DROGR,3.0,1,,,,1,1,,,,
B3RS41,B3RS41_TRIAD,3.0,1,,,,1,1,,,,
B3MG83,B3MG83_DROAN,3.0,1,,,,1,1,,,,
B0WCB3,B0WCB3_CULQU,3.0,1,,,,1,1,,,,
Q5ADU9,Q5ADU9_CANAL,3.0,1,,,,,1,,,,1
Q5ADU9,Q5ADU9_CANAL,3.0,1,,,,,1,,,,1
B7PHL5,B7PHL5_IXOSC,3.0,1,,,,1,1,,,,
M3VV05,M3VV05_FELCA,3.0,,1,1,,1,,,,,
I3LL95,I3LL95_PIG,3.0,,1,,1,1,,,,,
E7FFL3,E7FFL3_DANRE,3.0,,1,1,1,,,,,,
G1RAC3,G1RAC3_NOMLE,3.0,,1,,1,1,,,,,
Q9P376,FCP1_SCHPO,3.0,1,,,,,1,,,,1
G1SKL9,G1SKL9_RABIT,3.0,,1,,1,1,,,,,
F7F664,F7F664_ORNAN,3.0,,1,,1,1,,,,,
F7B1B3,F7B1B3_XENTR,3.0,,1,1,1,,,,,,
H2YDS9,H2YDS9_CIOSA,3.0,,1,,1,1,,,,,
F7AG65,F7AG65_XENTR,3.0,1,1,,,1,,,,,
A7S820,A7S820_NEMVE,3.0,1,,,,1,1,,,,
I3JLE3,I3JLE3_ORENI,3.0,,,1,1,1,,,,,
B3NQU4,B3NQU4_DROER,2.0,1,,,,1,,,,,
Q5B978,Q5B978_EMENI,2.0,1,,,,,1,,,,
C5DDU6,C5DDU6_LACTC,2.0,1,,,,,1,,,,
A7TSR4,A7TSR4_VANPO,2.0,1,,,,,1,,,,
Q569U3,Q569U3_XENLA,2.0,1,,,,,,,1,,
A8XFD8,A8XFD8_CAEBR,2.0,,,,,1,1,,,,
A9UW87,A9UW87_MONBE,2.0,1,,,,,1,,,,
Q4UFS5,Q4UFS5_THEAN,2.0,1,,,,,1,,,,
B6H4I0,B6H4I0_PENCW,2.0,1,,,,,1,,,,
C5P9L2,C5P9L2_COCP7,2.0,1,,,,,1,,,,
Q4S035,Q4S035_TETNG,2.0,,,,,,1,,1,,
B9WEX0,B9WEX0_CANDC,2.0,1,,,,,1,,,,
Q4N3P5,Q4N3P5_THEPA,2.0,1,,,,,1,,,,
H9J3M1,H9J3M1_BOMMO,2.0,1,,,,1,,,,,
H3DPH2,H3DPH2_TETNG,2.0,,1,,,1,,,,,
B4H559,B4H559_DROPE,2.0,1,,,,1,,,,,
B4IH38,B4IH38_DROSE,2.0,1,,,,1,,,,,
B4QC18,B4QC18_DROSI,2.0,1,,,,1,,,,,
J9JN04,J9JN04_ACYPI,2.0,1,,,,1,,,,,
B4KQ63,B4KQ63_DROMO,2.0,1,,,,1,,,,,
C3YBP7,C3YBP7_BRAFL,2.0,1,,,,,1,,,,
E0VQI4,E0VQI4_PEDHC,2.0,1,,,,1,,,,,
Q0UY54,Q0UY54_PHANO,2.0,1,,,,,,,,,1
C4R0N6,C4R0N6_PICPG,2.0,1,,,,,1,,,,
C5E0N1,C5E0N1_ZYGRC,2.0,1,,,,,1,,,,
D6WSR3,D6WSR3_TRICA,2.0,1,,,,1,,,,,
A7ERM6,A7ERM6_SCLS1,2.0,1,,,,,1,,,,
F8W4I4,F8W4I4_DANRE,2.0,,1,,,1,,,,,
B5YMZ1,B5YMZ1_THAPS,2.0,1,,,,,1,,,,
Q28X88,Q28X88_DROPS,2.0,1,,,,1,,,,,
