,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K08370,ENSGT00390000010986,MEGYRGF,TF314222,EOG7SJD5W,NOG259716,HOG000143632,HBG054164,NA,Q53TN4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q53TN4,CYBR1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q53TN4,CYBR1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q5RKJ2,CYBR1_RAT,8.0,1,1,1,1,1,1,,1,,1
Q925G2,CYBR1_MOUSE,8.0,1,1,1,1,1,1,,1,,1
B2ZPK1,B2ZPK1_PIG,7.0,1,1,1,1,1,1,,1,,
G3WP96,G3WP96_SARHA,5.0,1,1,1,1,1,,,,,
A8WHQ9,A8WHQ9_DANRE,5.0,,1,1,1,1,,,1,,
D2HNC5,D2HNC5_AILME,5.0,1,1,1,1,1,,,,,
G1T863,G1T863_RABIT,5.0,1,1,1,1,1,,,,,
K7G970,K7G970_PELSI,5.0,1,1,1,1,1,,,,,
G1R031,G1R031_NOMLE,5.0,1,1,1,1,1,,,,,
H2MSA4,H2MSA4_ORYLA,5.0,1,1,1,1,1,,,,,
F7F7X7,F7F7X7_MACMU,5.0,1,1,1,1,1,,,,,
F7B047,F7B047_CALJA,5.0,1,1,1,1,1,,,,,
G3QEJ7,G3QEJ7_GORGO,5.0,1,1,1,1,1,,,,,
F1MLZ1,F1MLZ1_BOVIN,5.0,1,1,1,1,1,,,,,
H2QIZ1,H2QIZ1_PANTR,5.0,1,1,1,1,1,,,,,
F6PUC5,F6PUC5_MONDO,5.0,1,1,1,1,1,,,,,
H0ZD08,H0ZD08_TAEGU,4.0,,1,1,1,1,,,,,
M3WK33,M3WK33_FELCA,4.0,1,1,1,,1,,,,,
Q5U2W7,CYAC3_RAT,4.0,,1,,1,1,,,1,,
Q60720,CY561_MOUSE,4.0,,1,,1,1,,,1,,
J9P922,J9P922_CANFA,4.0,,1,1,1,1,,,,,
G1PNF1,G1PNF1_MYOLU,4.0,,1,1,1,1,,,,,
F6U164,F6U164_XENTR,4.0,,1,1,1,1,,,,,
Q6P1H1,CYAC3_MOUSE,4.0,,1,,1,1,,,1,,
B5DFI2,B5DFI2_RAT,4.0,,1,,1,1,,,1,,
