,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K18463,ENSGT00390000014084,HTVRFLN,TF318955,NA,NOG261899,HOG000006526,HBG009789,NA,Q9Y3C0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9CR27,CCD53_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q9CR27,CCD53_MOUSE,8.0,1,1,1,1,,1,1,1,,1
Q5RGJ6,CCD53_DANRE,8.0,1,1,1,1,,1,1,1,,1
Q9Y3C0,CCD53_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q7Q9T7,Q7Q9T7_ANOGA,5.0,1,,1,,,1,1,,,1
Q9VLT8,CCD53_DROME,5.0,1,1,1,,,1,,,,1
A7RF75,A7RF75_NEMVE,5.0,1,,1,,,1,1,,,1
A9US63,A9US63_MONBE,4.0,1,,1,,,1,,,,1
D3ZKX1,D3ZKX1_RAT,4.0,1,1,1,1,,,,,,
G3VIX2,G3VIX2_SARHA,4.0,1,1,1,1,,,,,,
G3RG72,G3RG72_GORGO,4.0,1,1,1,1,,,,,,
B3RIX5,B3RIX5_TRIAD,4.0,1,,1,,,1,1,,,
O01901,CCD53_CAEEL,4.0,1,1,,,,1,,,,1
H2MLM4,H2MLM4_ORYLA,4.0,1,1,1,1,,,,,,
H2NIF0,H2NIF0_PONAB,4.0,1,1,1,1,,,,,,
H2Q6Q6,H2Q6Q6_PANTR,4.0,1,1,1,1,,,,,,
H2U2W6,H2U2W6_TAKRU,4.0,1,1,1,1,,,,,,
H3A7L5,H3A7L5_LATCH,4.0,1,1,1,1,,,,,,
C3Y2F7,C3Y2F7_BRAFL,4.0,1,,1,,,1,,,,1
Q05B58,CCD53_BOVIN,4.0,1,,,,,1,1,1,,
B7QHV5,B7QHV5_IXOSC,4.0,1,,1,,,1,,,,1
G1KSR9,G1KSR9_ANOCA,4.0,1,1,1,1,,,,,,
F6RA14,F6RA14_HORSE,4.0,1,1,1,1,,,,,,
G1T8V9,G1T8V9_RABIT,4.0,1,1,1,1,,,,,,
G1R3G5,G1R3G5_NOMLE,4.0,1,1,1,1,,,,,,
E2R836,E2R836_CANFA,4.0,1,1,1,1,,,,,,
G1NK74,G1NK74_MELGA,4.0,1,1,1,1,,,,,,
G1LIA8,G1LIA8_AILME,4.0,1,1,1,1,,,,,,
F7I4Q8,F7I4Q8_CALJA,4.0,1,1,1,1,,,,,,
F7G578,F7G578_MONDO,4.0,1,1,1,1,,,,,,
I3LZD0,I3LZD0_SPETR,3.0,,1,1,1,,,,,,
H3D1H5,H3D1H5_TETNG,3.0,,1,1,1,,,,,,
E1BYD1,E1BYD1_CHICK,3.0,,1,1,1,,,,,,
H2YXJ2,H2YXJ2_CIOSA,3.0,,1,1,1,,,,,,
K7G491,K7G491_PELSI,3.0,,1,1,1,,,,,,
F6UXP7,F6UXP7_CIOIN,3.0,,1,1,1,,,,,,
G3Q8N0,G3Q8N0_GASAC,3.0,,1,1,1,,,,,,
H0ZM25,H0ZM25_TAEGU,3.0,,1,1,1,,,,,,
H0WMJ4,H0WMJ4_OTOGA,3.0,,1,1,1,,,,,,
G1NT78,G1NT78_MYOLU,3.0,,1,1,1,,,,,,
G3T0S1,G3T0S1_LOXAF,3.0,,1,1,1,,,,,,
H0VK86,H0VK86_CAVPO,3.0,,1,1,1,,,,,,
F1MBF8,F1MBF8_BOVIN,3.0,,1,1,1,,,,,,
B0WAC7,B0WAC7_CULQU,3.0,1,,,,,1,1,,,
B4JBZ8,B4JBZ8_DROGR,3.0,1,,1,,,1,,,,
A2F9Y4,A2F9Y4_TRIVA,3.0,1,,,,,1,,,,1
Q9CYF6,Q9CYF6_MOUSE,3.0,1,,,,,,1,1,,
M3ZGV9,M3ZGV9_XIPMA,3.0,1,1,1,,,,,,,
Q17KA4,Q17KA4_AEDAE,3.0,1,,,,,1,1,,,
B4LSL3,B4LSL3_DROVI,3.0,1,,1,,,1,,,,
B4MUH8,B4MUH8_DROWI,3.0,1,,1,,,1,,,,
B4NWC7,B4NWC7_DROYA,3.0,1,,1,,,1,,,,
I3LN16,I3LN16_PIG,2.0,,1,,1,,,,,,
G3UWG7,G3UWG7_MOUSE,2.0,1,1,,,,,,,,
V3ZY91,V3ZY91_LOTGI,2.0,1,,1,,,,,,,
U3K368,U3K368_FICAL,2.0,,1,1,,,,,,,
U3J9C4,U3J9C4_ANAPL,2.0,,1,1,,,,,,,
J9P3J5,J9P3J5_CANFA,2.0,,1,,1,,,,,,
S4R287,S4R287_MOUSE,2.0,1,1,,,,,,,,
F6PZE9,F6PZE9_ORNAN,2.0,,1,,1,,,,,,
G3N338,G3N338_BOVIN,2.0,,1,,1,,,,,,
Q6DKA1,CCD53_XENLA,2.0,1,,,,,,,1,,
F6PG08,F6PG08_MONDO,2.0,,1,,1,,,,,,
Q4SA93,Q4SA93_TETNG,2.0,,,,,,1,1,,,
B3MJP9,B3MJP9_DROAN,2.0,1,,,,,1,,,,
I3ITX6,I3ITX6_ORENI,2.0,,,1,1,,,,,,
W5KIW1,W5KIW1_ASTMX,2.0,,1,1,,,,,,,
W5Q1R9,W5Q1R9_SHEEP,2.0,,1,1,,,,,,,
F6V173,F6V173_XENTR,2.0,,1,,1,,,,,,
C4WW73,C4WW73_ACYPI,2.0,1,,,,,,1,,,
M3YKE6,M3YKE6_MUSPF,2.0,,1,1,,,,,,,
M3WP73,M3WP73_FELCA,2.0,,1,1,,,,,,,
F5GZ97,F5GZ97_HUMAN,2.0,1,1,,,,,,,,
W5NDG3,W5NDG3_LEPOC,2.0,,1,1,,,,,,,
B4KEB9,B4KEB9_DROMO,2.0,1,,1,,,,,,,
E1FL87,E1FL87_LOALO,1.0,1,,,,,,,,,
A0A087ZZ45,A0A087ZZ45_APIME,1.0,1,,,,,,,,,
A0A096MU01,A0A096MU01_PAPAN,1.0,,1,,,,,,,,
B4Q690,B4Q690_DROSI,1.0,1,,,,,,,,,
E0W0B3,E0W0B3_PEDHC,1.0,1,,,,,,,,,
A0BE45,A0BE45_PARTE,1.0,1,,,,,,,,,
A4S9P5,A4S9P5_OSTLU,1.0,1,,,,,,,,,
A8WU99,A8WU99_CAEBR,1.0,,,,,,1,,,,
F4Q1Z4,F4Q1Z4_DICFS,1.0,1,,,,,,,,,
D2H1R7,D2H1R7_AILME,1.0,,,,,,,1,,,
B3N6Z4,B3N6Z4_DROER,1.0,1,,,,,,,,,
B4G8Z6,B4G8Z6_DROPE,1.0,1,,,,,,,,,
B4HYD7,B4HYD7_DROSE,1.0,1,,,,,,,,,
B5X3I1,CCD53_SALSA,1.0,,,,,,,,1,,
W5Q1S1,W5Q1S1_SHEEP,1.0,,1,,,,,,,,
F5GWI9,F5GWI9_HUMAN,1.0,,1,,,,,,,,
L8HA48,L8HA48_ACACA,1.0,1,,,,,,,,,
W4Z117,W4Z117_STRPU,1.0,1,,,,,,,,,
W4WZG6,W4WZG6_ATTCE,1.0,,,1,,,,,,,
W1PFK6,W1PFK6_AMBTC,1.0,1,,,,,,,,,
T1FDH4,T1FDH4_HELRO,1.0,1,,,,,,,,,
S4RGL3,S4RGL3_PETMA,1.0,,1,,,,,,,,
S4R1P7,S4R1P7_MOUSE,1.0,,1,,,,,,,,
S4R1K7,S4R1K7_MOUSE,1.0,,1,,,,,,,,
Q55FU3,CCD53_DICDI,1.0,,,,,,1,,,,
Q4SA98,Q4SA98_TETNG,1.0,,,,,,,,1,,
Q29MN7,Q29MN7_DROPS,1.0,1,,,,,,,,,
Q0JEA9,Q0JEA9_ORYSJ,1.0,1,,,,,,,,,
Q00SU6,Q00SU6_OSTTA,1.0,1,,,,,,,,,
M1EI65,M1EI65_MUSPF,1.0,,,1,,,,,,,
M0TE51,M0TE51_MUSAM,1.0,1,,,,,,,,,
L5LJ14,L5LJ14_MYODS,1.0,1,,,,,,,,,
F5GXZ4,F5GXZ4_HUMAN,1.0,,1,,,,,,,,
L1JZN8,L1JZN8_GUITH,1.0,1,,,,,,,,,
K8FIA5,K8FIA5_9CHLO,1.0,1,,,,,,,,,
K7IQL8,K7IQL8_NASVI,1.0,1,,,,,,,,,
K3YAT7,K3YAT7_SETIT,1.0,1,,,,,,,,,
K1R3M2,K1R3M2_CRAGI,1.0,,,1,,,,,,,
J3LWM0,J3LWM0_ORYBR,1.0,1,,,,,,,,,
I3LPP2,I3LPP2_PIG,1.0,,1,,,,,,,,
H0YGN0,H0YGN0_HUMAN,1.0,,1,,,,,,,,
G7PJB6,G7PJB6_MACFA,1.0,1,,,,,,,,,
G3UE68,G3UE68_LOXAF,1.0,,1,,,,,,,,
F6Y3U4,F6Y3U4_XENTR,1.0,,1,,,,,,,,
F5H2P1,F5H2P1_HUMAN,1.0,,1,,,,,,,,
F5H0A7,F5H0A7_HUMAN,1.0,,1,,,,,,,,
F5GXZ7,F5GXZ7_HUMAN,1.0,,1,,,,,,,,
A0A087XZ93,A0A087XZ93_POEFO,1.0,,1,,,,,,,,
