,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00510000049118,SHSDFPY,TF315053,NA,COG2519,HOG000245274,NA,NA,Q9BVS5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BVS5,TR61B_HUMAN,6.0,,1,1,1,,1,1,,,1
B0R3C0,B0R3C0_HALS3,3.0,,,,,,1,1,,,1
B8E2N0,B8E2N0_DICTD,3.0,,,,,,1,1,,,1
B5YKC3,B5YKC3_THEYD,3.0,,,,,,1,1,,,1
F6Y3V6,F6Y3V6_CALJA,3.0,,1,1,1,,,,,,
F6ZVS3,F6ZVS3_HORSE,3.0,,1,1,1,,,,,,
G1LEU6,G1LEU6_AILME,3.0,,1,1,1,,,,,,
Q5JGS7,Q5JGS7_THEKO,3.0,,,,,,1,1,,,1
G1N0Y4,G1N0Y4_MELGA,3.0,,1,1,1,,,,,,
G1NW26,G1NW26_MYOLU,3.0,,1,1,1,,,,,,
G1RZG7,G1RZG7_NOMLE,3.0,,1,1,1,,,,,,
G3RIP8,G3RIP8_GORGO,3.0,,1,1,1,,,,,,
G3SW91,G3SW91_LOXAF,3.0,,1,1,1,,,,,,
B1L6M5,B1L6M5_KORCO,3.0,,,,,,1,1,,,1
H0VHV0,H0VHV0_CAVPO,3.0,,1,1,1,,,,,,
H2P6L4,H2P6L4_PONAB,3.0,,1,1,1,,,,,,
H2QHP4,H2QHP4_PANTR,3.0,,1,1,1,,,,,,
H3AWF2,H3AWF2_LATCH,3.0,,1,1,1,,,,,,
I3MND3,I3MND3_SPETR,3.0,,1,1,1,,,,,,
B8E2N0,B8E2N0_DICTD,3.0,,,,,,1,1,,,1
F7D1K5,F7D1K5_MACMU,3.0,,1,1,1,,,,,,
Q97ZZ3,Q97ZZ3_SULSO,3.0,,,,,,1,1,,,1
