,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K12196,ENSGT00550000074466,THFKRVS,TF105012,EOG74BJS2,COG0464,HOG000225146,HBG057074,NA,Q9UN37
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UN37,VPS4A_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8VEJ9,VPS4A_MOUSE,8.0,1,1,,1,1,1,1,1,,1
Q4KLL7,Q4KLL7_RAT,7.0,1,1,,1,1,1,1,1,,
A5WWM0,A5WWM0_DANRE,7.0,1,1,,1,1,1,1,1,,
Q0VD48,VPS4B_BOVIN,7.0,1,1,,1,1,1,1,1,,
O75351,VPS4B_HUMAN,7.0,1,1,,1,1,1,1,1,,
P46467,VPS4B_MOUSE,6.0,1,,,1,1,1,1,1,,
Q9Y162,Q9Y162_DROME,6.0,1,1,1,,1,1,,,,1
Q5ZMI9,Q5ZMI9_CHICK,6.0,1,1,,1,1,,1,1,,
Q9Y162,Q9Y162_DROME,6.0,1,1,1,,1,1,,,,1
Q7QFR0,Q7QFR0_ANOGA,5.0,1,,,,1,1,1,,,1
H2NRC2,H2NRC2_PONAB,5.0,1,1,1,1,1,,,,,
Q9BL83,Q9BL83_CAEEL,5.0,1,1,,,,1,1,,,1
Q6IRG3,Q6IRG3_RAT,5.0,,1,,1,1,,1,1,,
G1R0B2,G1R0B2_NOMLE,5.0,1,1,1,1,1,,,,,
Q793F9,VPS4A_RAT,5.0,1,1,,,,1,1,1,,
P52917,VPS4_YEAST,5.0,1,1,,,,1,1,,,1
A7SK75,A7SK75_NEMVE,5.0,1,,,,1,1,1,,,1
B4M6S6,B4M6S6_DROVI,4.0,1,,1,,1,1,,,,
Q5U4Y4,Q5U4Y4_XENTR,4.0,1,,,,,1,1,1,,
Q2HJB1,Q2HJB1_BOVIN,4.0,1,1,,,,1,1,,,
B4Q2M1,B4Q2M1_DROYA,4.0,1,,1,,1,1,,,,
Q9ZNT0,VPS4_ARATH,4.0,1,,,,,1,1,,,1
G3QV21,G3QV21_GORGO,4.0,1,1,,1,1,,,,,
F6TW01,F6TW01_MACMU,4.0,1,1,,1,1,,,,,
H9G7G9,H9G7G9_ANOCA,4.0,1,1,,1,1,,,,,
F6ZXA3,F6ZXA3_XENTR,4.0,1,1,,1,1,,,,,
I3LL27,I3LL27_PIG,4.0,1,1,,1,1,,,,,
F7A7E6,F7A7E6_HORSE,4.0,1,1,,1,1,,,,,
F6RNS7,F6RNS7_CIOIN,4.0,1,1,,1,1,,,,,
Q09803,VPS4_SCHPO,4.0,1,,,,,1,1,,,1
B0XJH8,B0XJH8_CULQU,4.0,1,,,,1,1,1,,,
H2QEN0,H2QEN0_PANTR,4.0,1,1,,1,1,,,,,
Q7S0H4,Q7S0H4_NEUCR,4.0,1,,,,,1,1,,,1
Q5AG40,VPS4_CANAL,4.0,1,,,,,1,1,,,1
Q5AG40,VPS4_CANAL,4.0,1,,,,,1,1,,,1
Q17GP3,Q17GP3_AEDAE,4.0,1,,,,1,1,1,,,
Q08BZ6,Q08BZ6_DANRE,4.0,1,,,,,1,,1,,1
F1PVE5,F1PVE5_CANFA,4.0,1,1,,1,1,,,,,
B8LDI1,B8LDI1_THAPS,4.0,1,,,,,1,1,,,1
B3RJ28,B3RJ28_TRIAD,4.0,1,,,,1,1,1,,,
E9AEB2,E9AEB2_LEIMA,4.0,1,,1,,,,1,,,1
F7H6D5,F7H6D5_MACMU,4.0,1,1,,1,1,,,,,
G1RBR9,G1RBR9_NOMLE,4.0,1,1,,1,1,,,,,
B7PVD7,B7PVD7_IXOSC,4.0,1,,,,1,1,,,,1
F7E6U1,F7E6U1_MONDO,4.0,1,1,,1,1,,,,,
B8C9Z5,B8C9Z5_THAPS,4.0,1,,,,,1,1,,,1
Q5B8R9,Q5B8R9_EMENI,3.0,1,,,,,1,1,,,
Q9D3R6,KATL2_MOUSE,3.0,,1,,,,1,1,,,
Q9BW62,KATL1_HUMAN,3.0,,1,,,,1,,1,,
G3X047,G3X047_SARHA,3.0,1,1,,,1,,,,,
I3N6H1,I3N6H1_SPETR,3.0,,1,,1,1,,,,,
E0VZT1,E0VZT1_PEDHC,3.0,1,,1,,1,,,,,
Q5RII9,KTNA1_DANRE,3.0,,1,,,,1,,1,,
Q5R658,VPS4B_PONAB,3.0,1,,,,,,1,1,,
H2UWP5,H2UWP5_TAKRU,3.0,,1,,1,1,,,,,
C5XQ57,C5XQ57_SORBI,3.0,1,,,,,1,1,,,
B9WHM5,B9WHM5_CANDC,3.0,1,,,,,1,1,,,
H0V1H6,H0V1H6_CAVPO,3.0,,1,,1,1,,,,,
Q5JE76,Q5JE76_THEKO,3.0,,,,,,1,1,,,1
E2RA71,E2RA71_CANFA,3.0,,1,,1,1,,,,,
B4NPI4,B4NPI4_DROWI,3.0,1,,,,1,1,,,,
H0WKI8,H0WKI8_OTOGA,3.0,,1,,1,1,,,,,
H2MQM6,H2MQM6_ORYLA,3.0,,1,,1,1,,,,,
B4L2B2,B4L2B2_DROMO,3.0,1,,1,,1,,,,,
H2SDS3,H2SDS3_TAKRU,3.0,,1,,1,1,,,,,
H2S5W7,H2S5W7_TAKRU,3.0,,1,,1,1,,,,,
H2RA25,H2RA25_PANTR,3.0,,1,,1,1,,,,,
Q1HGK7,KTNA1_CHICK,3.0,,1,,,,1,,1,,
H2ZS68,H2ZS68_LATCH,3.0,1,1,,,1,,,,,
H2NWH7,H2NWH7_PONAB,3.0,,1,,1,1,,,,,
A4I4W4,A4I4W4_LEIIN,3.0,1,,1,,,1,,,,
Q8IKQ5,Q8IKQ5_PLAF7,3.0,1,,,,,,1,,,1
Q8IYT4,KATL2_HUMAN,3.0,,1,,,,1,1,,,
Q8K0T4,KATL1_MOUSE,3.0,,1,,,,1,,1,,
H3AK77,H3AK77_LATCH,3.0,1,1,,,1,,,,,
D0FH76,D0FH76_BOMMO,3.0,1,,1,,1,,,,,
H2MK58,H2MK58_ORYLA,3.0,1,1,,,1,,,,,
Q5XIK7,KATL1_RAT,3.0,,1,,,,1,,1,,
H2L7R4,H2L7R4_ORYLA,3.0,,1,,1,1,,,,,
H3DJT3,H3DJT3_TETNG,3.0,,1,,1,1,,,,,
A8Y1H5,A8Y1H5_CAEBR,3.0,,,,,1,1,1,,,
H9GPF5,H9GPF5_ANOCA,3.0,,1,,1,1,,,,,
A2F3P9,A2F3P9_TRIVA,3.0,1,,,,,1,,,,1
K7F680,K7F680_PELSI,3.0,,1,,1,1,,,,,
A2DHC0,A2DHC0_TRIVA,3.0,1,,,,,1,,,,1
H0YUZ8,H0YUZ8_TAEGU,3.0,,1,,1,1,,,,,
A2D8M7,A2D8M7_TRIVA,3.0,1,,,,,1,,,,1
H0XGJ0,H0XGJ0_OTOGA,3.0,,1,,1,1,,,,,
Q97ZJ7,Q97ZJ7_SULSO,3.0,,,,,,1,1,,,1
Q97ZJ7,Q97ZJ7_SULSO,3.0,,,,,,1,1,,,1
I3MJX2,I3MJX2_SPETR,3.0,,1,,1,1,,,,,
Q6CEE2,Q6CEE2_YARLI,3.0,1,,,,,,1,,,1
A9V5Z2,A9V5Z2_MONBE,3.0,1,,,,,1,,,,1
C4R134,C4R134_PICPG,3.0,1,,,,,1,1,,,
B2GUK1,B2GUK1_XENTR,3.0,,,,,,1,1,1,,
C5DBA6,C5DBA6_LACTC,3.0,1,,,,,1,1,,,
G1PJ26,G1PJ26_MYOLU,3.0,,1,,1,1,,,,,
Q57V58,Q57V58_TRYB2,3.0,1,,,,,1,1,,,
G3TCU6,G3TCU6_LOXAF,3.0,,1,,1,1,,,,,
F6RE75,F6RE75_ORNAN,3.0,,1,,1,1,,,,,
F7FPC8,F7FPC8_CALJA,3.0,,1,,1,1,,,,,
Q54PT2,VPS4_DICDI,3.0,1,,,,,1,,,,1
G1SSG2,G1SSG2_RABIT,3.0,,1,,1,1,,,,,
G1TE43,G1TE43_RABIT,3.0,,1,,1,1,,,,,
F6ZNA4,F6ZNA4_CALJA,3.0,1,1,,1,,,,,,
G3NBS1,G3NBS1_GASAC,3.0,,1,,1,1,,,,,
Q4UC87,Q4UC87_THEAN,3.0,1,,,,,1,1,,,
F7CT44,F7CT44_XENTR,3.0,,1,,1,1,,,,,
A7F3H9,A7F3H9_SCLS1,3.0,1,,,,,1,,,,1
F7D038,F7D038_HORSE,3.0,,1,,1,1,,,,,
F6TLZ7,F6TLZ7_ORNAN,3.0,,1,,1,1,,,,,
M3WMZ6,M3WMZ6_FELCA,3.0,,1,1,,1,,,,,
G3PAD9,G3PAD9_GASAC,3.0,,1,,1,1,,,,,
G1P7A0,G1P7A0_MYOLU,3.0,,1,,1,1,,,,,
G3U2Q7,G3U2Q7_LOXAF,3.0,,1,,1,1,,,,,
B6GYF9,B6GYF9_PENCW,3.0,1,,,,,1,1,,,
Q3TN07,Q3TN07_MOUSE,3.0,1,1,,,,,,1,,
G1MZT5,G1MZT5_MELGA,3.0,,1,,1,1,,,,,
G3WK44,G3WK44_SARHA,3.0,,1,,1,1,,,,,
K7FVF4,K7FVF4_PELSI,3.0,,1,,1,1,,,,,
G1N8Z0,G1N8Z0_MELGA,3.0,,1,,1,1,,,,,
O75449,KTNA1_HUMAN,3.0,,1,,,,1,,1,,
A7SXZ8,A7SXZ8_NEMVE,3.0,1,,,,,1,1,,,
B7NZ88,KATL1_RABIT,3.0,,1,,,,1,,1,,
G1LM37,G1LM37_AILME,3.0,,1,,1,1,,,,,
G1LIH9,G1LIH9_AILME,3.0,,1,,1,1,,,,,
M4APY7,M4APY7_XIPMA,3.0,1,1,,,1,,,,,
G3PJ54,G3PJ54_GASAC,3.0,,1,,1,1,,,,,
B3MXW2,B3MXW2_DROAN,3.0,1,,,,1,1,,,,
C3YEH0,C3YEH0_BRAFL,3.0,1,,,,,1,,,,1
F1RCE4,F1RCE4_DANRE,3.0,,1,,1,1,,,,,
F1SMW4,F1SMW4_PIG,3.0,,1,,1,1,,,,,
C5DUT4,C5DUT4_ZYGRC,3.0,1,,,,,1,1,,,
B8BQI7,B8BQI7_THAPS,2.0,,,,,,1,1,,,
H0ZW74,H0ZW74_TAEGU,2.0,,1,,1,,,,,,
A9A4K6,A9A4K6_NITMS,2.0,,,,,,1,1,,,
Q719N1,SPAST_PIG,2.0,,,,,,1,1,,,
Q29H77,Q29H77_DROPS,2.0,1,,,,1,,,,,
Q6NW58,SPAST_DANRE,2.0,,,,,,1,1,,,
A8Y1H3,A8Y1H3_CAEBR,2.0,1,,,,,1,,,,
A8XV40,SPAST_CAEBR,2.0,,,,,,1,1,,,
A4S3E8,A4S3E8_OSTLU,2.0,1,,,,,1,,,,
B4R6Q7,B4R6Q7_DROSI,2.0,1,,,,1,,,,,
A4S7N6,A4S7N6_OSTLU,2.0,,,,,,1,1,,,
A6ZJ67,A6ZJ67_CAEEL,2.0,,,,,,1,1,,,
Q6JDF5,Q6JDF5_CANFA,2.0,,,,,,1,1,,,
B7PAV0,B7PAV0_IXOSC,2.0,1,,,,,1,,,,
D0NW36,D0NW36_PHYIT,2.0,1,,,,,,1,,,
Q4RWB0,Q4RWB0_TETNG,2.0,,,,,,1,,1,,
A7T395,SPAST_NEMVE,2.0,,,,,,1,1,,,
B8D2W2,B8D2W2_DESK1,2.0,,,,,,1,1,,,
C9RH07,C9RH07_METVM,2.0,,,,,,1,1,,,
Q7RRP6,Q7RRP6_PLAYO,2.0,1,,,,,1,,,,
A7T8R6,A7T8R6_NEMVE,2.0,,,,,,1,1,,,
B8CGC6,B8CGC6_THAPS,2.0,,,,,,1,1,,,
A7TH89,A7TH89_VANPO,2.0,1,,,,,1,,,,
A4IAA1,A4IAA1_LEIIN,2.0,1,,,,,1,,,,
A9TBU2,A9TBU2_PHYPA,2.0,1,,,,,,,,,1
F7HIL2,F7HIL2_CALJA,2.0,,1,,,1,,,,,
A9SGM2,A9SGM2_PHYPA,2.0,1,,,,,,,,,1
D3Z0U5,D3Z0U5_MOUSE,2.0,,1,,,,,1,,,
Q4QPP5,Q4QPP5_DROME,2.0,,1,,,,1,,,,
Q4RKZ3,Q4RKZ3_TETNG,2.0,,,,,,1,,1,,
Q7Q265,Q7Q265_ANOGA,2.0,,,,,,1,1,,,
Q4RPK1,Q4RPK1_TETNG,2.0,,,,,,1,,1,,
H2MK61,H2MK61_ORYLA,2.0,,1,,1,,,,,,
B6TLN7,B6TLN7_MAIZE,2.0,1,,,,,,1,,,
Q758U9,Q758U9_ASHGO,2.0,1,,,,,,1,,,
A8AB71,A8AB71_IGNH4,2.0,,,,,,1,1,,,
A8X550,A8X550_CAEBR,2.0,,,,,,1,1,,,
D3Z4J2,D3Z4J2_MOUSE,2.0,,1,,,,,1,,,
Q6ETH5,Q6ETH5_ORYSJ,2.0,,,,,,1,1,,,
H0VQZ5,H0VQZ5_CAVPO,2.0,,1,,,1,,,,,
F6S3F6,F6S3F6_MONDO,2.0,,1,,1,,,,,,
Q5U3S1,KATL1_DANRE,2.0,,,,,,1,,1,,
A5BIG1,A5BIG1_VITVI,2.0,1,,,,,1,,,,
F6PI51,F6PI51_MONDO,2.0,,1,,,1,,,,,
Q386C7,Q386C7_TRYB2,2.0,,,,,,1,1,,,
B7ZBC8,B7ZBC8_HUMAN,2.0,,1,,,,,,1,,
Q5KC30,Q5KC30_CRYNJ,2.0,1,,,,,,,,,1
E1BYT2,E1BYT2_CHICK,2.0,,1,,,1,,,,,
A8K7S5,A8K7S5_HUMAN,2.0,,,,,,1,,1,,
G7JIF0,G7JIF0_MEDTR,2.0,1,,1,,,,,,,
Q5CSB4,Q5CSB4_CRYPI,2.0,1,,,,,,1,,,
Q581U1,Q581U1_TRYB2,2.0,1,,,,,1,,,,
E2RU40,E2RU40_GIAIC,2.0,1,,,,,,,,,1
E5SS71,E5SS71_TRISP,2.0,1,,1,,,,,,,
B7PUB7,B7PUB7_IXOSC,2.0,1,,,,,1,,,,
A8IAJ1,A8IAJ1_CHLRE,2.0,1,,,,,1,,,,
Q32PM7,Q32PM7_DANRE,2.0,,,,,,1,1,,,
E9ALH4,E9ALH4_LEIMU,2.0,1,,,,,,1,,,
B7PQ48,B7PQ48_IXOSC,2.0,1,,,,,1,,,,
A5K3I1,A5K3I1_PLAVS,2.0,1,,,,,,1,,,
G3X8E2,G3X8E2_BOVIN,2.0,,1,,1,,,,,,
G3X048,G3X048_SARHA,2.0,,1,,1,,,,,,
E9BL58,E9BL58_LEIDB,2.0,1,,,,,,1,,,
B7PAV2,B7PAV2_IXOSC,2.0,1,,,,,1,,,,
B8A796,B8A796_ORYSI,2.0,,,,,,1,1,,,
B8A9S1,B8A9S1_ORYSI,2.0,,,,,,1,1,,,
H0VYA8,H0VYA8_CAVPO,2.0,,1,,1,,,,,,
D6WFH6,D6WFH6_TRICA,2.0,1,,,,1,,,,,
Q6E0V2,KTNA1_RAT,2.0,,,,,,1,,1,,
Q6DJK7,Q6DJK7_XENLA,2.0,1,,,,,,,1,,
Q6CVM8,Q6CVM8_KLULA,2.0,1,,,,,,1,,,
Q4T5A1,Q4T5A1_TETNG,2.0,,,,,,1,,1,,
Q6BPY2,Q6BPY2_DEBHA,2.0,1,,,,,,1,,,
Q4T6Y7,Q4T6Y7_TETNG,2.0,,,,,,1,,1,,
Q66IY7,Q66IY7_XENLA,2.0,1,,,,,,,1,,
B7PAV1,B7PAV1_IXOSC,2.0,1,,,,,1,,,,
Q4TBE5,Q4TBE5_TETNG,2.0,,,,,,1,,1,,
D6RGM7,D6RGM7_MOUSE,2.0,,1,,,,,1,,,
B7GCY6,B7GCY6_PHATC,2.0,1,,,,,,1,,,
B8B1Z6,B8B1Z6_ORYSI,2.0,,,,,,1,1,,,
Q505J9,ATAD1_RAT,2.0,,,,,,1,,1,,
