,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000008686,SGPEDVC,NA,EOG7BS4B1,COG5233,HOG000054196,HBG051826,NA,Q9BQQ3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q91X51,GORS1_MOUSE,7.0,,1,1,,1,1,1,1,,1
Q9BQQ3,GORS1_HUMAN,7.0,,1,1,,1,1,1,1,,1
Q9BQQ3,GORS1_HUMAN,7.0,,1,1,,1,1,1,1,,1
B1WBR1,B1WBR1_RAT,4.0,,1,1,,1,,,1,,
Q5ZK65,Q5ZK65_CHICK,4.0,,,,,,1,1,1,,1
Q9H8Y8,GORS2_HUMAN,4.0,,1,,,1,1,,1,,
Q4S518,Q4S518_TETNG,4.0,,1,,,1,1,,1,,
B0S774,B0S774_DANRE,4.0,,1,,,1,1,,1,,
G1SNZ8,G1SNZ8_RABIT,3.0,,1,1,,1,,,,,
E2RJ37,E2RJ37_CANFA,3.0,,1,1,,1,,,,,
B3KPY8,B3KPY8_HUMAN,3.0,,1,,,,,1,1,,
G1L2Y5,G1L2Y5_AILME,3.0,,1,1,,1,,,,,
B4E1H8,B4E1H8_HUMAN,3.0,,1,,,,,1,1,,
G3S3A1,G3S3A1_GORGO,3.0,,1,1,,1,,,,,
G3TXT1,G3TXT1_LOXAF,3.0,,1,1,,1,,,,,
O35254,GORS1_RAT,3.0,,,,,,1,1,1,,
H0W836,H0W836_CAVPO,3.0,,1,1,,1,,,,,
H0WQL8,H0WQL8_OTOGA,3.0,,1,1,,1,,,,,
M3XTR7,M3XTR7_MUSPF,3.0,,1,1,,1,,,,,
M3XDC2,M3XDC2_FELCA,3.0,,1,1,,1,,,,,
H2PB48,H2PB48_PONAB,3.0,,1,1,,1,,,,,
H2QMB8,H2QMB8_PANTR,3.0,,1,1,,1,,,,,
I3MT25,I3MT25_SPETR,3.0,,1,1,,1,,,,,
I3L5E4,I3L5E4_PIG,3.0,,1,1,,1,,,,,
G3N105,G3N105_BOVIN,3.0,,1,1,,1,,,,,
G1R0J9,G1R0J9_NOMLE,3.0,,1,1,,1,,,,,
Q99JX3,GORS2_MOUSE,3.0,,1,,,,1,,1,,
F6T071,F6T071_RAT,3.0,,1,,,1,,,1,,
A2ATI9,A2ATI9_MOUSE,3.0,,1,,,1,,,1,,
Q9VW57,Q9VW57_DROME,3.0,,1,,,1,1,,,,
E7EYA3,E7EYA3_DANRE,2.0,,1,,,1,,,,,
H2MS71,H2MS71_ORYLA,2.0,,1,,,1,,,,,
F1P2L9,F1P2L9_CHICK,2.0,,1,,,1,,,,,
F1QI49,F1QI49_DANRE,2.0,,1,,,1,,,,,
F6V1V7,F6V1V7_CALJA,2.0,,1,1,,,,,,,
H0XFS1,H0XFS1_OTOGA,2.0,,1,,,1,,,,,
H0YQB3,H0YQB3_TAEGU,2.0,,1,,,1,,,,,
F1RBF9,F1RBF9_DANRE,2.0,,1,,,1,,,,,
H0ZCS5,H0ZCS5_TAEGU,2.0,,1,,,1,,,,,
F6TYU4,F6TYU4_MACMU,2.0,,1,1,,,,,,,
H2M1X4,H2M1X4_ORYLA,2.0,,1,,,1,,,,,
F6TYT5,F6TYT5_MACMU,2.0,,1,,,1,,,,,
H2P7T0,H2P7T0_PONAB,2.0,,1,,,1,,,,,
G3WFW0,G3WFW0_SARHA,2.0,,1,,,1,,,,,
H2QIY8,H2QIY8_PANTR,2.0,,1,,,1,,,,,
F6T9T0,F6T9T0_XENTR,2.0,,1,,,1,,,,,
H2SXD8,H2SXD8_TAKRU,2.0,,1,,,1,,,,,
H2T522,H2T522_TAKRU,2.0,,1,,,1,,,,,
H2V8V3,H2V8V3_TAKRU,2.0,,1,,,1,,,,,
