,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K06842,ENSGT00760000119134,LVSCACR,TF316102,EOG7SV0TJ,NOG293968,NA,HBG072910,NA,Q9H3T2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9WTL3,SEM6C_RAT,8.0,1,1,1,1,1,1,,1,,1
Q9H3T2,SEM6C_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q9H3T2,SEM6C_HUMAN,8.0,1,1,1,1,1,1,,1,,1
Q9WTL3,SEM6C_RAT,8.0,1,1,1,1,1,1,,1,,1
Q8NFY4,SEM6D_HUMAN,6.0,1,1,,1,1,1,,1,,
Q76KF0,SEM6D_MOUSE,6.0,1,1,,1,1,1,,1,,
B0JZE6,B0JZE6_XENTR,6.0,1,1,,1,1,1,,1,,
O35464,SEM6A_MOUSE,6.0,1,1,,1,1,1,,1,,
Q9WTM3,SEM6C_MOUSE,6.0,1,1,,,1,1,,1,,1
Q9WTM3,SEM6C_MOUSE,6.0,1,1,,,1,1,,1,,1
Q9H3T3,SEM6B_HUMAN,6.0,1,1,,1,1,1,,1,,
E2RD30,E2RD30_CANFA,5.0,1,1,1,1,1,,,,,
F7EDV4,F7EDV4_MONDO,5.0,1,1,1,1,1,,,,,
B8JMB1,B8JMB1_DANRE,5.0,,1,,1,1,1,,1,,
H2PZX8,H2PZX8_PANTR,5.0,1,1,1,1,1,,,,,
O54951,SEM6B_MOUSE,5.0,1,,,1,1,1,,1,,
A3KPS3,A3KPS3_DANRE,5.0,1,1,,,1,1,,1,,
Q9H2E6,SEM6A_HUMAN,5.0,1,,,1,1,1,,1,,
G1RGH6,G1RGH6_NOMLE,5.0,1,1,1,1,1,,,,,
G1R1V9,G1R1V9_NOMLE,4.0,1,1,,1,1,,,,,
G3RK95,G3RK95_GORGO,4.0,1,1,,1,1,,,,,
H0X2I8,H0X2I8_OTOGA,4.0,,1,1,1,1,,,,,
H3A1J8,H3A1J8_LATCH,4.0,1,1,,1,1,,,,,
G3S1I2,G3S1I2_GORGO,4.0,,1,1,1,1,,,,,
G3T6M1,G3T6M1_LOXAF,4.0,,1,1,1,1,,,,,
E1BP81,E1BP81_BOVIN,4.0,1,1,,1,1,,,,,
E1BNY3,E1BNY3_BOVIN,4.0,1,1,,1,1,,,,,
F7EIR1,F7EIR1_MONDO,4.0,1,1,,1,1,,,,,
H2N5W9,H2N5W9_PONAB,4.0,1,1,,1,1,,,,,
F1RLD2,F1RLD2_PIG,4.0,1,1,,1,1,,,,,
G1L287,G1L287_AILME,4.0,,1,1,1,1,,,,,
E1BG65,E1BG65_BOVIN,4.0,,1,1,1,1,,,,,
H2PGC0,H2PGC0_PONAB,4.0,1,1,,1,1,,,,,
K7GIL7,K7GIL7_PELSI,4.0,1,1,,1,1,,,,,
F1QI04,F1QI04_DANRE,4.0,1,1,,1,1,,,,,
H2QRD1,H2QRD1_PANTR,4.0,1,1,,1,1,,,,,
H2R398,H2R398_PANTR,4.0,1,1,,1,1,,,,,
E2RSC6,E2RSC6_CANFA,4.0,1,1,,1,1,,,,,
I3LWY4,I3LWY4_SPETR,4.0,,1,1,1,1,,,,,
G1TPI4,G1TPI4_RABIT,4.0,,1,1,1,1,,,,,
H3A4D1,H3A4D1_LATCH,4.0,1,1,,1,1,,,,,
H1A4L4,H1A4L4_TAEGU,4.0,1,1,,1,1,,,,,
F1SSX9,F1SSX9_PIG,4.0,,1,1,1,1,,,,,
O70141,SEM6B_RAT,4.0,1,1,,,1,,,1,,
E1C1C2,E1C1C2_CHICK,4.0,1,1,,1,1,,,,,
G1NZ41,G1NZ41_MYOLU,4.0,,1,1,1,1,,,,,
F1SN61,F1SN61_PIG,4.0,1,1,,1,1,,,,,
G1L5L8,G1L5L8_AILME,4.0,1,1,,1,1,,,,,
H9GDQ2,H9GDQ2_ANOCA,4.0,1,1,,1,1,,,,,
H0UXX8,H0UXX8_CAVPO,4.0,,1,1,1,1,,,,,
F6TB88,F6TB88_HORSE,4.0,,1,1,1,1,,,,,
H3BAI3,H3BAI3_LATCH,4.0,1,1,,1,1,,,,,
E2R4N4,E2R4N4_CANFA,4.0,1,1,,1,1,,,,,
F6RM83,F6RM83_MONDO,4.0,1,1,,1,1,,,,,
H9GDX0,H9GDX0_ANOCA,3.0,,1,,1,1,,,,,
H2SIU6,H2SIU6_TAKRU,3.0,,1,,1,1,,,,,
F1RC24,F1RC24_DANRE,3.0,,1,,1,1,,,,,
I3MPJ5,I3MPJ5_SPETR,3.0,,1,,1,1,,,,,
F7AIQ7,F7AIQ7_MACMU,3.0,1,1,,,1,,,,,
I3LZ35,I3LZ35_SPETR,3.0,,1,,1,1,,,,,
Q17330,SEM1A_CAEEL,3.0,,1,,,,1,,,,1
E3W9A6,E3W9A6_DANRE,3.0,,1,,1,,,,,,1
F6YMN8,F6YMN8_CALJA,3.0,1,1,,,1,,,,,
H3DD09,H3DD09_TETNG,3.0,,1,,1,1,,,,,
H2SEX3,H2SEX3_TAKRU,3.0,,1,,1,1,,,,,
H3DH11,H3DH11_TETNG,3.0,,1,,1,1,,,,,
E9Q613,E9Q613_MOUSE,3.0,1,1,1,,,,,,,
H9GBB9,H9GBB9_ANOCA,3.0,,1,,1,1,,,,,
F1PX52,F1PX52_CANFA,3.0,,1,,1,1,,,,,
H2S8F5,H2S8F5_TAKRU,3.0,,1,,1,1,,,,,
D3ZDA2,D3ZDA2_RAT,3.0,1,1,,,1,,,,,
K7GI39,K7GI39_PELSI,3.0,,1,,1,1,,,,,
